DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,
,,,2009,2010,2011,2012,2013
01000,ALABAMA                  ,AUTAUGA,"-31,313","-33,967","-37,712","-27,083","-9,587"
01010,ALABAMA                  ,BALDWIN,"-74,328","-65,222","-59,255","-35,554","19,363"
01020,ALABAMA                  ,BARBOUR,"-27,272","-23,446","-30,380","-36,580","-51,053"
01030,ALABAMA                  ,BIBB,"-16,615","-20,461","-21,275","-12,558","-10,682"
01040,ALABAMA                  ,BLOUNT,"-27,965","-20,318","-22,462","-16,821","-10,972"
01050,ALABAMA                  ,BULLOCK,"-5,236","-8,185","-7,122","-7,211","-3,337"
01060,ALABAMA                  ,BUTLER,"-29,110","-23,019","-26,104","-18,366",-231
01070,ALABAMA                  ,CALHOUN,"-151,276","-104,480","-138,165","-156,521","-46,522"
01080,ALABAMA                  ,CHAMBERS,"-24,294","-31,086","-38,165","-11,784","4,791"
01090,ALABAMA                  ,CHEROKEE,"-25,885","-24,825","-7,659","-3,921","-12,928"
01100,ALABAMA                  ,CHILTON,"-21,694","-19,796","-19,207","-14,680","-12,007"
01110,ALABAMA                  ,CHOCTAW,"-17,532","-26,663","-21,925","-21,026","-7,058"
01120,ALABAMA                  ,CLARKE,"-25,023","-23,385","-25,556","-20,657","-7,679"
01130,ALABAMA                  ,CLAY,"-18,844","-15,234","-19,838","-14,886","-6,304"
01140,ALABAMA                  ,CLEBURNE,"-15,240","-10,195","-13,480","-12,478","-4,147"
01150,ALABAMA                  ,COFFEE,"-42,075","-36,884","-31,192","-8,270","-18,456"
01160,ALABAMA                  ,COLBERT,"-75,780","-79,962","-81,675","-51,828","-20,192"
01170,ALABAMA                  ,CONECUH,"-22,073","-13,999","-18,971","-13,967","-4,857"
01180,ALABAMA                  ,COOSA,"-27,352","-23,652","-23,976","-13,230","-9,462"
01190,ALABAMA                  ,COVINGTON,"-50,306","-48,144","-44,183","-24,178","-19,411"
01200,ALABAMA                  ,CRENSHAW,"-18,934","-16,855","-17,061","-11,954","-6,719"
01210,ALABAMA                  ,CULLMAN,"-61,990","-47,922","-46,503","-45,141","-16,961"
01220,ALABAMA                  ,DALE,"-68,383","-58,812","-50,139","4,725","-26,704"
01230,ALABAMA                  ,DALLAS,"-35,410","-51,698","-43,718","-36,834","-24,470"
01240,ALABAMA                  ,DEKALB,"-139,376","-112,635","-72,350","-46,773","-20,463"
01250,ALABAMA                  ,ELMORE,"-51,172","-55,496","-61,174","-41,796","-13,532"
01260,ALABAMA                  ,ESCAMBIA,"-46,300","-36,803","-37,540","-23,406","-1,892"
01270,ALABAMA                  ,ETOWAH,"-85,766","-111,307","-76,185","-126,038","-111,973"
