"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
01000,ALABAMA                  ,AUTAUGA,"-92,429","-78,244","-64,126","-36,842","-51,475","-9,623",,,,,,
01010,ALABAMA                  ,BALDWIN,"-43,984","-41,160","-106,639","-83,723","-43,495","-24,691",,,,,,
01020,ALABAMA                  ,BARBOUR,"-44,360","-47,638","-69,646","-73,520","-50,213","-8,163",,,,,,
01030,ALABAMA                  ,BIBB,"-39,636","-27,559","-13,766","-38,466","-52,984","-3,755",,,,,,
01040,ALABAMA                  ,BLOUNT,"4,192","-2,277","7,348","-39,687","-38,268","-9,167",,,,,,
01050,ALABAMA                  ,BULLOCK,"-13,519","-14,854","-16,786",303,"-8,084","-2,274",,,,,,
01060,ALABAMA                  ,BUTLER,"-169,861","-138,113","-151,471","-95,487","-53,276","-13,256",,,,,,
01070,ALABAMA                  ,CALHOUN,"-267,117","-269,607","-367,537","-334,402","-255,269","-64,035",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-153,043","-152,139","-196,617","-174,697","-81,018","-18,608",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-57,879","-52,190","-61,182","-78,704","-87,254","-16,984",,,,,,
01100,ALABAMA                  ,CHILTON,"-52,363",-167,"-11,919","-2,594","8,466","-13,402",,,,,,
01110,ALABAMA                  ,CHOCTAW,"-36,078","3,196","-74,274","-52,516","-16,939","-11,090",,,,,,
01120,ALABAMA                  ,CLARKE,"6,674","14,539","28,329","5,897","43,871","-11,837",,,,,,
01130,ALABAMA                  ,CLAY,"8,463","2,299","-8,219","-2,945","-10,486",-587,,,,,,
01140,ALABAMA                  ,CLEBURNE,"-32,076","-52,858","-59,499","-56,558","-40,190","-6,901",,,,,,
01150,ALABAMA                  ,COFFEE,"-102,455","-72,819","-89,005","-98,465","-35,673","-9,062",,,,,,
01160,ALABAMA                  ,COLBERT,"-117,431","-152,886","-158,108","-161,055","-132,234","-18,874",,,,,,
01170,ALABAMA                  ,CONECUH,"-64,834","-57,685","-43,077","-46,617","-19,801",220,,,,,,
01180,ALABAMA                  ,COOSA,"-35,439","-21,877","-55,407","-37,842","-23,288",-225,,,,,,
01190,ALABAMA                  ,COVINGTON,"-213,225","-182,418","-171,654","-187,180","-117,822","-16,911",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-62,209","-73,098","-60,540","-68,451","-28,855","-5,672",,,,,,
01210,ALABAMA                  ,CULLMAN,"-245,051","-206,716","-222,423","-291,865","-218,525",835,,,,,,
01220,ALABAMA                  ,DALE,"-113,061","-95,214","-79,244","-82,136","-45,839","-10,192",,,,,,
01230,ALABAMA                  ,DALLAS,"-500,174","-521,518","-653,702","-532,643","-407,788","-18,017",,,,,,
01240,ALABAMA                  ,DEKALB,"-84,593","-109,825","-128,450","-180,884","-84,936","-35,017",,,,,,
01250,ALABAMA                  ,ELMORE,"-100,224","-198,904","-153,858","-118,013","-114,410","-19,559",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"-54,497","-72,582","-75,864","-45,817","-67,389","-4,628",,,,,,
01270,ALABAMA                  ,ETOWAH,"-78,800","-98,298","-77,573","-235,888","-152,644","-93,770",,,,,,
01280,ALABAMA                  ,FAYETTE,"-52,568","-46,123","-41,046","-49,478","-71,576","-4,754",,,,,,
01290,ALABAMA                  ,FRANKLIN,"-123,051","-122,449","-132,944","-126,265","-91,271","-19,867",,,,,,
01300,ALABAMA                  ,GENEVA,"-61,441","-62,521","-83,565","-47,689","-29,080","-6,982",,,,,,
01310,ALABAMA                  ,GREENE,"-18,090","-15,220","3,222","-28,535","-55,423","-8,758",,,,,,
01320,ALABAMA                  ,HALE,"-15,598","-33,202","-60,633","-52,964","-82,618","-12,997",,,,,,
01330,ALABAMA                  ,HENRY,"-36,577","-45,778","-45,452","-32,682","-45,847","-7,514",,,,,,
01340,ALABAMA                  ,HOUSTON,"-177,938","-187,310","-213,514","-214,930","-183,431","-49,973",,,,,,
01350,ALABAMA                  ,JACKSON,"-125,326","-137,202","-164,389","-161,947","-120,442","-49,354",,,,,,
01360,ALABAMA                  ,JEFFERSON,"518,651","357,879","141,454","121,627","139,490","-169,228",,,,,,
01370,ALABAMA                  ,LAMAR,"-67,618","-48,831","-58,946","-70,452","-24,911","-5,684",,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-116,413","-168,983","-186,029","-180,619","-170,621","-44,754",,,,,,
01390,ALABAMA                  ,LAWRENCE,"-98,291","-99,167","-95,542","-104,478","-72,255","-13,548",,,,,,
01400,ALABAMA                  ,LEE,"-149,115","-212,181","-230,225","-231,219","-167,435","-25,971",,,,,,
01410,ALABAMA                  ,LIMESTONE,"-152,419","-213,957","-160,680","-195,761","-150,601","-25,981",,,,,,
01420,ALABAMA                  ,LOWNDES,"-49,480","-38,100","-23,961","-36,523","-3,335","-3,915",,,,,,
01430,ALABAMA                  ,MACON,"-53,154","-42,393","-58,860","-67,402","-45,637","-9,006",,,,,,
01440,ALABAMA                  ,MADISON,"-73,294","-318,580","-440,017","-429,862","-197,190","-80,933",,,,,,
01450,ALABAMA                  ,MARENGO,"46,204","23,222","22,163","6,419","21,139","-5,958",,,,,,
01460,ALABAMA                  ,MARION,"-81,194","-62,269","-114,611","-128,914","-69,833","-11,099",,,,,,
01470,ALABAMA                  ,MARSHALL,"-72,308","-153,183","-166,082","-363,350","-275,348","-42,089",,,,,,
01480,ALABAMA                  ,MOBILE,"401,946","408,588","288,643","394,425","251,052","-127,627",,,,,,
01490,ALABAMA                  ,MONROE,"-13,784",-409,"-13,373","-1,171","14,620",-104,,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-264,938","-394,087","-251,651","-234,164","-179,033","-6,952",,,,,,
01510,ALABAMA                  ,MORGAN,"-257,520","-245,325","-215,796","-333,794","-205,776","-61,461",,,,,,
01520,ALABAMA                  ,PERRY,"-47,285","-76,517","-45,045","-67,450","-26,843","-55,755",,,,,,
01530,ALABAMA                  ,PICKENS,"-31,872","-11,859","-30,519","-91,873","-76,747","-3,801",,,,,,
01540,ALABAMA                  ,PIKE,"-109,329","-113,978","-98,076","-107,470","-86,770","-6,104",,,,,,
01550,ALABAMA                  ,RANDOLPH,"-68,263","-114,769","-122,902","-80,978","-66,536","-8,056",,,,,,
