"ESRD -- 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
1000,ALABAMA,AUTAUGA,67,"1,152,577",1433.55,"1,041,831","1,295.81","22,433","83,285","5,028",67,"2,209,093",2747.63
1010,ALABAMA,BALDWIN,176,"2,385,144",1129.33,"2,232,988","1,057.29","34,328","104,170","13,658",168,"5,929,315",2941.13
1020,ALABAMA,BARBOUR,75,"1,207,488",1341.65,"1,087,705","1,208.56","6,774","110,184","2,825",75,"3,167,323",3519.25
1030,ALABAMA,BIBB,30,"626,250",1739.58,"568,684","1,579.68","14,639","38,991","3,936",29,"1,162,454",3340.39
1040,ALABAMA,BLOUNT,29,"529,563",1521.73,"467,129","1,342.32","21,953","32,109","8,372",27,"934,308",2883.67
1050,ALABAMA,BULLOCK,24,"428,525",1487.93,"375,045","1,302.24","5,097","47,668",715,24,"1,089,437",3782.77
1060,ALABAMA,BUTLER,59,"654,585",924.56,"534,936",755.56,"26,038","87,890","5,721",56,"2,143,870",3190.28
1070,ALABAMA,CALHOUN,221,"3,699,751",1395.08,"3,408,695","1,285.33","40,229","239,404","11,423",210,"9,331,026",3702.79
1080,ALABAMA,CHAMBERS,88,"1,070,679",1013.9,"953,385",902.83,"15,966","96,191","5,137",87,"3,040,871",2912.71
1090,ALABAMA,CHEROKEE,43,"771,058",1494.3,"716,947","1,389.43","10,354","41,011","2,746",42,"1,903,842",3777.46
1100,ALABAMA,CHILTON,51,"1,044,878",1707.32,"950,768","1,553.54","28,896","53,178","12,036",49,"1,931,939",3285.61
1110,ALABAMA,CHOCTAW,31,"1,440,789",3873.09,"1,376,220","3,699.52","7,516","54,044","3,009",31,"1,413,955",3800.95
1120,ALABAMA,CLARKE,85,"1,852,703",1816.38,"1,723,370","1,689.58","21,841","99,168","8,324",85,"3,141,579",3079.98
1130,ALABAMA,CLAY,15,"425,161",2362.01,"392,546","2,180.81","3,120","27,527","1,968",15,"767,528",4264.04
1140,ALABAMA,CLEBURNE,19,"660,803",2898.26,"611,900","2,683.77","10,382","36,788","1,733",19,"866,302",3799.57
1150,ALABAMA,COFFEE,86,"986,106",955.53,"890,735",863.12,"20,838","68,157","6,376",83,"2,689,782",2700.58
1160,ALABAMA,COLBERT,114,"2,153,081",1573.89,"2,010,138","1,469.40","19,326","119,315","4,302",110,"3,416,145",2587.99
1170,ALABAMA,CONECUH,30,"399,891",1110.81,"357,045",991.79,"6,962","33,852","2,032",30,"1,021,911",2838.64
