"ESRD -- 2013 PEURTO RICO ENROLLMENT, REIMBURSEMENT, 
PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE 
BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
40010,PUERTO RICO,ADJUNTAS,14,"303,374",1805.8,"252,866","1,505.15","15,365","11,441","23,702",8,"378,127",3938.82
40020,PUERTO RICO,AGUADA,31,"283,682",762.59,"252,378",678.44,"11,386","10,525","9,393",26,"872,741",2797.25
40030,PUERTO RICO,AGUADILLA,78,"1,167,895",1247.75,"1,091,134","1,165.74","12,471","53,202","11,088",69,"2,463,157",2974.83
40040,PUERTO RICO,AGUAS BUENAS,29,"379,085",1089.32,"367,565","1,056.22",282,"10,908",330,28,"870,145",2589.72
40050,PUERTO RICO,AIBONITO,20,"161,297",672.07,"155,641",648.5,0,"5,656",0,14,"294,005",1750.03
40060,PUERTO RICO,ANASCO,26,"144,023",461.61,"127,695",409.28,"5,611","5,929","4,788",23,"526,683",1908.27
40070,PUERTO RICO,ARECIBO,67,"1,060,754",1319.35,"996,966","1,240.01","8,718","53,166","1,904",56,"1,951,452",2903.95
40080,PUERTO RICO,ARROYO,10,"197,908",1649.23,"169,785","1,414.88","4,276","18,263","5,584",8,"259,226",2700.27
40090,PUERTO RICO,BARCELONETA,23,"274,716",995.35,"266,127",964.23,"1,169","7,268",152,17,"679,003",3328.45
40100,PUERTO RICO,BARRANQUITAS,19,"104,897",460.07,"103,846",455.46,122,923,6,17,"392,245",1922.77
40110,PUERTO RICO,BAYAMON,175,"1,584,155",754.36,"1,513,972",720.94,"21,710","31,167","17,306",146,"4,818,509",2750.29
40120,PUERTO RICO,CABO ROJO,40,"394,619",822.12,"362,763",755.76,"13,245","5,560","13,051",32,"1,158,031",3015.71
40130,PUERTO RICO,CAGUAS,137,"1,339,234",814.62,"1,288,126",783.53,"7,747","38,085","5,276",116,"3,298,204",2369.4
40140,PUERTO RICO,CAMUY,14,"156,070",928.99,"144,269",858.74,"2,819","6,566","2,416",10,"314,801",2623.34
40145,PUERTO RICO,CANOVANAS,1,0,0,0,0,0,0,0,1,0,0
40150,PUERTO RICO,CAROLINA,125,"1,209,587",806.39,"1,182,099",788.07,"6,158","13,898","7,432",103,"2,825,068",2285.65
40160,PUERTO RICO,CATANO,56,"456,945",679.98,"443,074",659.34,"2,648","7,310","3,913",42,"1,159,242",2300.08
40170,PUERTO RICO,CAYEY,47,"407,333",722.22,"390,179",691.81,0,"17,154",0,33,"851,141",2149.35
