HHA Wage Indices by Fiscal Year,,,,,,,,,,
County code,State,County name,CBSA 2014,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2012,HHA Wage 2013,HHA Wage 2014
01000,AL,AUTAUGA,33860,0.8088,0.8283,0.8304,0.8442,0.8103,0.7860,0.7507
01010,AL,BALDWIN,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01020,AL,BARBOUR,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01030,AL,BIBB,13820,0.8898,0.8792,0.8554,0.8611,0.8436,0.8450,0.8395
01040,AL,BLOUNT,13820,0.8898,0.8792,0.8554,0.8611,0.8436,0.8450,0.8395
01050,AL,BULLOCK,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01060,AL,BUTLER,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01070,AL,CALHOUN,11500,0.7926,0.7927,0.7643,0.7918,0.7979,0.7543,0.7369
01080,AL,CHAMBERS,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01090,AL,CHEROKEE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01100,AL,CHILTON,13820,0.8898,0.8792,0.8554,0.8611,0.8436,0.8450,0.8395
01110,AL,CHOCTAW,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01120,AL,CLARKE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01130,AL,CLAY,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01140,AL,CLEBURNE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01150,AL,COFFEE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01160,AL,COLBERT,22520,0.7680,0.7871,0.7998,0.8144,0.7738,0.7384,0.7553
01170,AL,CONECUH,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01180,AL,COOSA,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01190,AL,COVINGTON,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01200,AL,CRENSHAW,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01210,AL,CULLMAN,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01220,AL,DALE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01230,AL,DALLAS,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01240,AL,DE KALB,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01250,AL,ELMORE,33860,0.8088,0.8283,0.8304,0.8442,0.8103,0.7860,0.7507
01260,AL,ESCAMBIA,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01270,AL,ETOWAH,23460,0.8159,0.7983,0.8266,0.7180,0.7934,0.7717,0.8017
01280,AL,FAYETTE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01290,AL,FRANKLIN,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01300,AL,GENEVA,20020,0.7270,0.7613,0.7406,0.7435,0.7390,0.6980,0.7136
01310,AL,GREENE,46220,0.8303,0.8496,0.8698,0.8843,0.8664,0.8480,0.8498
01320,AL,HALE,46220,0.8303,0.8496,0.8698,0.8843,0.8664,0.8480,0.8498
01330,AL,HENRY,20020,0.7270,0.7613,0.7406,0.7435,0.7390,0.6980,0.7136
01340,AL,HOUSTON,20020,0.7270,0.7613,0.7406,0.7435,0.7390,0.6980,0.7136
01350,AL,JACKSON,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01360,AL,JEFFERSON,13820,0.8898,0.8792,0.8554,0.8611,0.8436,0.8450,0.8395
01370,AL,LAMAR,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01380,AL,LAUDERDALE,22520,0.7680,0.7871,0.7998,0.8144,0.7738,0.7384,0.7553
01390,AL,LAWRENCE,19460,0.7885,0.7803,0.7799,0.7621,0.7334,0.7277,0.7195
01400,AL,LEE,12220,0.8090,0.7544,0.8138,0.7190,0.7877,0.7451,0.7802
01410,AL,LIMESTONE,26620,0.9146,0.9082,0.9064,0.9191,0.8996,0.8680,0.8199
01420,AL,LOWNDES,33860,0.8088,0.8283,0.8304,0.8442,0.8103,0.7860,0.7507
01430,AL,MACON,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01440,AL,MADISON,26620,0.9146,0.9082,0.9064,0.9191,0.8996,0.8680,0.8199
01450,AL,MARENGO,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01460,AL,MARION,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01470,AL,MARSHALL,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01480,AL,MOBILE,33660,0.8033,0.7908,0.7785,0.7960,0.8002,0.7447,0.7475
01490,AL,MONROE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01500,AL,MONTGOMERY,33860,0.8088,0.8283,0.8304,0.8442,0.8103,0.7860,0.7507
01510,AL,MORGAN,19460,0.7885,0.7803,0.7799,0.7621,0.7334,0.7277,0.7195
01520,AL,PERRY,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01530,AL,PICKENS,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01540,AL,PIKE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01550,AL,RANDOLPH,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01560,AL,RUSSELL,17980,0.8729,0.8739,0.8724,0.9027,0.9040,0.8572,0.7896
01570,AL,ST. CLAIR,13820,0.8898,0.8792,0.8554,0.8611,0.8436,0.8450,0.8395
01580,AL,SHELBY,13820,0.8898,0.8792,0.8554,0.8611,0.8436,0.8450,0.8395
01590,AL,SUMTER,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01600,AL,TALLADEGA,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01610,AL,TALLAPOOSA,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01620,AL,TUSCALOOSA,46220,0.8303,0.8496,0.8698,0.8843,0.8664,0.8480,0.8498
01630,AL,WALKER,13820,0.8898,0.8792,0.8554,0.8611,0.8436,0.8450,0.8395
01640,AL,WASHINGTON,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01650,AL,WILCOX,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01660,AL,WINSTON,NA,0.7533,0.7587,0.7327,0.7380,0.7260,0.7113,0.7175
01999,AL,STATEWIDE,NA,0.7533,0.7587,0.7327,0.7380,0.7260,n/a ,0.7175
02013,AK,ALEUTIANS EAST,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02016,AK,ALEUTIANS WEST,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02020,AK,ANCHORAGE,11260,1.1913,1.1931,1.2013,1.1964,1.2133,1.2174,1.2259
02050,AK,BETHEL,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02060,AK,BRISTOL BAY BOROUGH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02068,AK,DENALI,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02070,AK,DILLINGHAM,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02090,AK,FAIRBANKS NORTH STAR,21820,1.1050,1.1297,1.1114,1.1080,1.1322,1.0840,1.1043
02100,AK,HAINES,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02105,AK,HOONAH-ANGOON CENSUS AREA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02110,AK,JUNEAU,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02122,AK,KENAI PENINSULA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02130,AK,KETCHIKAN GATEWAY,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02150,AK,KODIAK ISLAND BOROUGH,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
02164,AK,LAKE AND PENINSULA,NA,1.2109,1.1898,1.1669,1.2626,1.2846,1.2836,1.3720
