IPPS and OPPS Wage Indices by Fiscal Year ,,,,,,,,,,,
"Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,
County code,State,County name,CBSA 2014,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2012,IPPS Wage 2013,IPPS Wage 2014
01000,AL,AUTAUGA,33860,0.8112,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7403
01010,AL,BALDWIN,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01020,AL,BARBOUR,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01030,AL,BIBB,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01040,AL,BLOUNT,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01050,AL,BULLOCK,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01060,AL,BUTLER,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01070,AL,CALHOUN,11500,0.7976,0.7978,0.7603,0.7603,0.7864,0.7975,0.7432,0.7284
01080,AL,CHAMBERS,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01090,AL,CHEROKEE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01100,AL,CHILTON,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01110,AL,CHOCTAW,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01120,AL,CLARKE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01130,AL,CLAY,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01140,AL,CLEBURNE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01150,AL,COFFEE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01160,AL,COLBERT,22520,0.7693,0.7878,0.7932,0.7932,0.8112,0.7730,0.7477,0.7436
01170,AL,CONECUH,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01180,AL,COOSA,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01190,AL,COVINGTON,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01200,AL,CRENSHAW,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01210,AL,CULLMAN,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01220,AL,DALE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01230,AL,DALLAS,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01240,AL,DE KALB,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01250,AL,ELMORE,33860,0.8112,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7403
01260,AL,ESCAMBIA,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01270,AL,ETOWAH,23460,0.8144,0.7961,0.8350,0.8350,0.7436,0.8186,0.7601,0.7869
01280,AL,FAYETTE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01290,AL,FRANKLIN,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01300,AL,GENEVA,20020,0.7567,0.7743,0.7499,0.7499,0.7515,0.7286,0.7441,0.7136
01310,AL,GREENE,46220,0.8531,0.8731,0.8942,0.8942,0.9061,0.8887,0.8753,0.8703
01320,AL,HALE,46220,0.8531,0.8731,0.8942,0.8942,0.9061,0.8887,0.8753,0.8703
01330,AL,HENRY,20020,0.7567,0.7743,0.7499,0.7499,0.7515,0.7286,0.7441,0.7136
01340,AL,HOUSTON,20020,0.7567,0.7743,0.7499,0.7499,0.7515,0.7286,0.7441,0.7136
01350,AL,JACKSON,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01360,AL,JEFFERSON,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01370,AL,LAMAR,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01380,AL,LAUDERDALE,22520,0.7693,0.7878,0.7932,0.7932,0.8112,0.7730,0.7477,0.7436
01390,AL,LAWRENCE,19460,0.7832,0.7685,0.7694,0.7694,0.7505,0.7286,0.7071,0.7094
01400,AL,LEE,12220,0.8076,0.7618,0.8432,0.8432,0.7437,0.8313,0.7567,0.7894
01410,AL,LIMESTONE,26620,0.9018,0.8953,0.8924,0.8924,0.9033,0.8840,0.8457,0.8381
01420,AL,LOWNDES,33860,0.8112,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7403
01430,AL,MACON,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01440,AL,MADISON,26620,0.9018,0.8953,0.8924,0.8924,0.9033,0.8840,0.8457,0.8381
01450,AL,MARENGO,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01460,AL,MARION,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01470,AL,MARSHALL,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01480,AL,MOBILE,33660,0.7948,0.7828,0.7735,0.7735,0.7889,0.8008,0.7506,0.7542
01490,AL,MONROE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01500,AL,MONTGOMERY,33860,0.8112,0.8302,0.8459,0.8459,0.8579,0.8235,0.7798,0.7403
01510,AL,MORGAN,19460,0.7832,0.7685,0.7694,0.7694,0.7505,0.7286,0.7071,0.7094
01520,AL,PERRY,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01530,AL,PICKENS,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01540,AL,PIKE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01550,AL,RANDOLPH,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01560,AL,RUSSELL,17980,0.9020,0.9028,0.8781,0.8781,0.9073,0.9013,0.8873,0.8171
01570,AL,ST. CLAIR,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01580,AL,SHELBY,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01590,AL,SUMTER,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01600,AL,TALLADEGA,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01610,AL,TALLAPOOSA,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01620,AL,TUSCALOOSA,46220,0.8531,0.8731,0.8942,0.8942,0.9061,0.8887,0.8753,0.8703
01630,AL,WALKER,13820,0.8856,0.8754,0.8512,0.8512,0.8587,0.8404,0.8458,0.8294
01640,AL,WASHINGTON,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01650,AL,WILCOX,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01660,AL,WINSTON,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,0.7071,0.7094
01999,AL,STATEWIDE,NA,0.7567,0.7618,0.7389,0.7389,0.7436,0.7286,n/a ,0.7094
02013,AK,ALEUTIANS EAST,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02016,AK,ALEUTIANS WEST,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02020,AK,ANCHORAGE,11260,1.2084,1.1852,1.1920,1.1920,1.2573,1.2798,1.2727,1.3556
02050,AK,BETHEL,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
02060,AK,BRISTOL BAY BOROUGH,NA,1.2084,1.1852,1.1636,1.1636,1.2573,1.2798,1.2727,1.3556
