Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Locality 2014,Carrier 2014,GPCI WK 2008,GPCI WK 2009,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI PE 2008,GPCI PE 2009,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014
01000,ALABAMA,Autauga,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01010,ALABAMA,Baldwin,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01020,ALABAMA,Barbour,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01030,ALABAMA,Bibb,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01040,ALABAMA,Blount,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01050,ALABAMA,Bullock,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01060,ALABAMA,Butler,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01070,ALABAMA,Calhoun,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01080,ALABAMA,Chambers,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01090,ALABAMA,Cherokee,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01100,ALABAMA,Chilton,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01110,ALABAMA,Choctaw,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01120,ALABAMA,Clarke,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01130,ALABAMA,Clay,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01140,ALABAMA,Cleburne,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01150,ALABAMA,Coffee,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01160,ALABAMA,Colbert,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01170,ALABAMA,Conecuh,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01180,ALABAMA,Coosa,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01190,ALABAMA,Covington,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01200,ALABAMA,Crenshaw,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01210,ALABAMA,Cullman,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01220,ALABAMA,Dale,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01230,ALABAMA,Dallas,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01240,ALABAMA,DeKalb,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01250,ALABAMA,Elmore,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01260,ALABAMA,Escambia,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01270,ALABAMA,Etowah,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01280,ALABAMA,Fayette,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01290,ALABAMA,Franklin,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01300,ALABAMA,Geneva,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01310,ALABAMA,Greene,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01320,ALABAMA,Hale,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01330,ALABAMA,Henry,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01340,ALABAMA,Houston,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01350,ALABAMA,Jackson,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01360,ALABAMA,Jefferson,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01370,ALABAMA,Lamar,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01380,ALABAMA,Lauderdale,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01390,ALABAMA,Lawrence,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01400,ALABAMA,Lee,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01410,ALABAMA,Limestone,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01420,ALABAMA,Lowndes,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01430,ALABAMA,Macon,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
