AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,"2,008","2,009","2,010","2,011","2,012",
01000,ALABAMA                  ,AUTAUGA,"-33,345","-56,133","-42,374","-77,986","-44,719",,"-56,919","-60,250","-63,387","-77,272","-48,826",
01010,ALABAMA                  ,BALDWIN,"-137,947","-181,366","-73,403","-93,150","-42,618",,"-218,814","-305,303","-122,237","-141,436","-62,020",
01020,ALABAMA                  ,BARBOUR,"-21,115","-27,841","-11,549","-16,076","-8,453",,"-27,235","-36,237","-18,532","-24,979","-9,631",
01030,ALABAMA                  ,BIBB,"-24,041","-18,690","-17,319","-18,064","-2,256",,"-53,257","-50,249","-22,449","-34,166","-16,034",
01040,ALABAMA                  ,BLOUNT,"-35,592","-37,762","-16,058","-18,043","-3,762",,"-53,112","-53,025","-18,147","-16,046","-3,946",
01050,ALABAMA                  ,BULLOCK,"-6,169","-7,519","-3,939","-6,116","-1,826",,"-9,251","-6,947","-5,358","-5,280","-2,144",
01060,ALABAMA                  ,BUTLER,"-30,647","-29,821","-11,832","-18,652","-6,975",,"-61,475","-76,872","-30,556","-35,093","-14,175",
01070,ALABAMA                  ,CALHOUN,"-237,833","-239,724","-125,394","-198,640","-234,415",,"-259,612","-310,983","-177,796","-304,105","-282,507",
01080,ALABAMA                  ,CHAMBERS,"-27,705","-28,534","-15,525","-15,412","-6,104",,"-31,132","-27,439","-17,311","-13,880","-7,602",
01090,ALABAMA                  ,CHEROKEE,"-20,862","-25,636","-11,785","-9,638","-4,791",,"-36,651","-39,602","-22,618","-16,429","-9,275",
01100,ALABAMA                  ,CHILTON,"-40,551","-35,634","-12,886","-18,344","-3,087",,"-65,674","-56,547","-28,531","-33,570","-7,231",
01110,ALABAMA                  ,CHOCTAW,"-9,966","-12,189","-6,120","-7,622","-3,050",,"-18,805","-24,512","-10,243","-15,364","-6,487",
01120,ALABAMA                  ,CLARKE,"-30,622","-39,768","-13,361","-15,429","-7,455",,"-53,850","-76,632","-31,843","-33,873","-12,077",
01130,ALABAMA                  ,CLAY,"-18,055","-27,303","-10,006","-9,583","-4,998",,"-12,044","-18,957","-9,981","-11,932","-4,729",
01140,ALABAMA                  ,CLEBURNE,"-19,959","-19,925","-10,105","-13,845","-7,900",,"-20,228","-24,152","-11,300","-17,737","-12,562",
01150,ALABAMA                  ,COFFEE,"-46,332","-59,482","-25,172","-33,157","-13,551",,"-48,088","-73,439","-31,698","-47,854","-19,191",
01160,ALABAMA                  ,COLBERT,"-25,290","-62,827","-87,613","-124,286","-38,419",,"-53,404","-143,671","-225,884","-253,666","-75,678",
01170,ALABAMA                  ,CONECUH,"-14,746","-19,290","-8,661","-9,804","-4,351",,"-32,060","-36,969","-15,875","-20,520","-8,089",
01180,ALABAMA                  ,COOSA,"-9,658","-10,924","-6,109","-8,097","-2,545",,"-12,551","-17,542","-9,169","-10,200","-5,751",
01190,ALABAMA                  ,COVINGTON,"-50,026","-60,664","-32,350","-40,433","-16,484",,"-93,245","-124,698","-49,167","-65,995","-27,386",
01200,ALABAMA                  ,CRENSHAW,"-17,638","-18,372","-6,953","-8,076","-3,327",,"-25,194","-32,287","-12,624","-16,366","-6,188",
01210,ALABAMA                  ,CULLMAN,"-77,962","-78,546","-32,023","-44,399","-16,642",,"-92,247","-110,244","-56,807","-63,787","-27,965",
01220,ALABAMA                  ,DALE,"-45,151","-75,296","-34,813","-37,402","-20,638",,"-50,462","-87,908","-38,252","-38,493","-21,415",
01230,ALABAMA                  ,DALLAS,"-38,672","-43,123","-19,494","-24,632","-11,895",,"-67,835","-71,687","-30,159","-33,495","-16,887",
