AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,
01000,ALABAMA                  ,AUTAUGA,"-116,642","-138,617","-174,119","-225,101","-124,993",,,,,,
01010,ALABAMA                  ,BALDWIN,"-385,944","-305,502","-180,534","-179,325","-83,291",,,,,,
01020,ALABAMA                  ,BARBOUR,"-60,203","-74,502","-46,087","-45,922","-15,446",,,,,,
01030,ALABAMA                  ,BIBB,"-50,414","-30,888","-14,575","-17,025","-6,515",,,,,,
01040,ALABAMA                  ,BLOUNT,"-94,415","-78,595","-40,637","-33,535","-16,175",,,,,,
01050,ALABAMA                  ,BULLOCK,"-39,932","-38,138","-27,767","-25,631","-10,352",,,,,,
01060,ALABAMA                  ,BUTLER,"-77,717","-100,179","-44,273","-59,476","-19,239",,,,,,
01070,ALABAMA                  ,CALHOUN,"-410,368","-340,429","-271,319","-432,520","-385,186",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-53,833","-42,998","-31,372","-8,849","-11,161",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-44,569","-51,893","-23,697","-24,753","-7,181",,,,,,
01100,ALABAMA                  ,CHILTON,"-62,625","-50,226","-32,613","-36,485","-17,868",,,,,,
01110,ALABAMA                  ,CHOCTAW,"-42,315","-34,488","-20,899","-25,788","-6,616",,,,,,
01120,ALABAMA                  ,CLARKE,"-78,823","-66,232","-39,674","-42,446","-11,916",,,,,,
01130,ALABAMA                  ,CLAY,"-36,997","-42,655","-22,433","-22,774","-11,619",,,,,,
01140,ALABAMA                  ,CLEBURNE,"-34,457","-34,891","-18,746","-24,803","-14,374",,,,,,
01150,ALABAMA                  ,COFFEE,"-110,873","-117,207","-58,520","-64,202","-18,378",,,,,,
01160,ALABAMA                  ,COLBERT,"-29,348","-94,863","-171,198","-209,970","-20,120",,,,,,
01170,ALABAMA                  ,CONECUH,"-43,021","-47,961","-29,591","-35,765","-14,208",,,,,,
01180,ALABAMA                  ,COOSA,"-32,724","-29,992","-22,606","-14,760","-4,697",,,,,,
01190,ALABAMA                  ,COVINGTON,"-161,676","-174,024","-98,149","-95,989","-34,517",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-61,621","-53,724","-28,180","-34,433","-13,417",,,,,,
01210,ALABAMA                  ,CULLMAN,"-304,749","-261,217","-153,863","-175,483","-50,456",,,,,,
01220,ALABAMA                  ,DALE,"-136,267","-162,084","-102,725","-96,289","-28,349",,,,,,
01230,ALABAMA                  ,DALLAS,"-147,864","-160,098","-104,287","-94,967","-43,803",,,,,,
01240,ALABAMA                  ,DEKALB,"-189,417","-177,938","-84,318","-86,379","-32,115",,,,,,
01250,ALABAMA                  ,ELMORE,"-235,787","-247,942","-293,456","-343,527","-184,608",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"-103,118","-104,681","-70,487","-82,521","-32,102",,,,,,
01270,ALABAMA                  ,ETOWAH,"-116,481","-74,796","-19,734","436,251","54,073",,,,,,
01280,ALABAMA                  ,FAYETTE,"-16,902","-19,365","-15,616","-17,030","-6,301",,,,,,
01290,ALABAMA                  ,FRANKLIN,"-84,121","-88,298","-51,024","-68,377","-19,379",,,,,,
01300,ALABAMA                  ,GENEVA,"-70,425","-107,256","-77,155","-86,982","-23,405",,,,,,
01310,ALABAMA                  ,GREENE,"1,420","-6,260","-12,262","-18,904","-6,700",,,,,,
01320,ALABAMA                  ,HALE,"22,299","-11,315","-28,793","-30,351","-14,593",,,,,,
01330,ALABAMA                  ,HENRY,"-25,080","-43,556","-25,059","-30,768","-7,426",,,,,,
01340,ALABAMA                  ,HOUSTON,"-111,857","-204,651","-169,106","-151,772","-73,196",,,,,,
01350,ALABAMA                  ,JACKSON,"-130,558","-122,032","-67,735","-81,242","-28,801",,,,,,
01360,ALABAMA                  ,JEFFERSON,"-1,388,237","-968,394","-566,826","-693,213","-263,784",,,,,,
01370,ALABAMA                  ,LAMAR,"-51,919","-57,792","-33,708","-39,182","-14,936",,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-50,230","-145,345","-232,453","-254,981","-34,769",,,,,,
01390,ALABAMA                  ,LAWRENCE,"-118,337","-96,491","-97,648","-87,536","-29,136",,,,,,
01400,ALABAMA                  ,LEE,"-55,522","-36,647","-61,035","10,750","-47,361",,,,,,
01410,ALABAMA                  ,LIMESTONE,"-186,067","-167,702","-199,771","-261,244","-149,703",,,,,,
01420,ALABAMA                  ,LOWNDES,"-16,010","-30,994","-28,280","-26,214","-13,026",,,,,,
01430,ALABAMA                  ,MACON,"-38,672","-46,264","-39,833","-48,619","-29,944",,,,,,
01440,ALABAMA                  ,MADISON,"-1,074,423","-1,081,548","-1,112,184","-1,345,392","-818,116",,,,,,
01450,ALABAMA                  ,MARENGO,"-46,380","-47,254","-26,289","-27,306","-11,165",,,,,,
01460,ALABAMA                  ,MARION,"-86,189","-83,351","-53,262","-63,415","-21,733",,,,,,
01470,ALABAMA                  ,MARSHALL,"-338,053","-315,761","-195,365","-201,876","-86,818",,,,,,
01480,ALABAMA                  ,MOBILE,"-756,764","-527,378","-483,460","-768,154","-479,312",,,,,,
01490,ALABAMA                  ,MONROE,"-76,969","-75,906","-44,100","-50,391","-14,418",,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-518,368","-616,906","-784,606","-855,438","-425,288",,,,,,
01510,ALABAMA                  ,MORGAN,"-529,867","-519,849","-519,294","-381,221","-159,675",,,,,,
01520,ALABAMA                  ,PERRY,"-33,346","-31,109","-14,183","-19,445","-7,010",,,,,,
01530,ALABAMA                  ,PICKENS,"-21,607","-40,978","-36,993","-48,773","-15,852",,,,,,
01540,ALABAMA                  ,PIKE,"-76,130","-78,928","-45,162","-47,505","-17,339",,,,,,
01550,ALABAMA                  ,RANDOLPH,"-55,840","-52,408","-32,059","-35,708","-16,946",,,,,,
01560,ALABAMA                  ,RUSSELL,"-100,600","-102,603","-101,972","-157,648","-143,068",,,,,,
01570,ALABAMA                  ,ST. CLAIR,"-113,582","-86,370","-44,732","-33,493","-19,668",,,,,,
01580,ALABAMA                  ,SHELBY,"-168,238","-132,219","-70,787","-81,379","-32,078",,,,,,
01590,ALABAMA                  ,SUMTER,"-26,941","-28,142","-23,014","-20,345","-8,130",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-198,551","-186,518","-108,241","-123,831","-55,850",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-124,112","-108,965","-70,616","-73,223","-43,952",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"84,586","-65,904","-226,929","-309,305","-122,922",,,,,,
01630,ALABAMA                  ,WALKER,"-252,223","-175,370","-108,371","-121,059","-51,878",,,,,,
01640,ALABAMA                  ,WASHINGTON,"-24,042","-24,142","-8,174","-15,630","-9,690",,,,,,
01650,ALABAMA                  ,WILCOX,"-22,254","-30,782","-14,685","-14,195","-8,960",,,,,,
01660,ALABAMA                  ,WINSTON,"-130,224","-100,494","-51,239","-46,968","-18,436",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,729,50,-318,,,,,,
02020,ALASKA                   ,ANCHORAGE,"50,796","45,977","45,876","37,343","20,687",,,,,,
02040,ALASKA                   ,BARROW DIVISION,914,0,-197,-429,244,,,,,,
02050,ALASKA                   ,BETHEL,"1,122",102,"-1,285",646,395,,,,,,
02060,ALASKA                   ,BRISTOL BAY,98,-213,-58,285,-83,,,,,,
02070,ALASKA                   ,DILLINGHAM,365,484,-104,336,47,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,237,93,151,-660,0,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-4,960","-5,552","2,734","-1,990","-1,673",,,,,,
02100,ALASKA                   ,HAINES,222,"2,421",135,639,120,,,,,,
02110,ALASKA                   ,JUNEAU,"23,565","19,808","32,659","20,171","12,119",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"27,687","30,968","40,528","43,491","22,533",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"66,188","78,043","59,123","29,814","17,009",,,,,,
02140,ALASKA                   ,KOBUK,82,0,0,576,0,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,-115,-99,-53,-216,-115,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,674,143,242,241,-66,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"2,362","3,361","7,232","3,428",-627,,,,,,
02180,ALASKA                   ,NOME,556,0,99,381,136,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"4,101","10,882","3,521","1,306",958,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"5,891","6,048","3,520","2,912","1,556",,,,,,
02210,ALASKA                   ,SEWARD,0,269,134,"7,123","2,772",,,,,,
02220,ALASKA                   ,SITKA,"3,796","3,327","5,915","5,323","3,174",,,,,,
02230,ALASKA                   ,SKAGWAY,"1,891","2,605","6,731","1,958","2,326",,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,-273,-699,-116,-91,149,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,668,0,-88,176,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,482,"1,568",861,671,-824,,,,,,
02270,ALASKA                   ,WADE HAMPTON,"1,224",934,850,573,115,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"1,746",-794,502,-48,673,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,445,186,791,-28,-78,,,,,,
03000,ARIZONA                  ,APACHE,"59,992","61,761","24,251","26,444","30,859",,,,,,
03010,ARIZONA                  ,COCHISE,"266,987","225,951","104,270","25,047","77,191",,,,,,
03020,ARIZONA                  ,COCONINO,"273,212","242,042","81,161","85,559","54,655",,,,,,
03030,ARIZONA                  ,GILA,"220,131","214,345","91,390","29,469","73,124",,,,,,
03040,ARIZONA                  ,GRAHAM,"33,869","24,931","11,730","-3,734","15,751",,,,,,
03050,ARIZONA                  ,GREENLEE,"3,741","5,925","-1,408",544,"2,861",,,,,,
03055,ARIZONA                  ,LA PAZ,"20,883","2,084","-12,995","-14,720",-697,,,,,,
03060,ARIZONA                  ,MARICOPA,"1,083,466","189,007","-1,203,348","-1,374,676","-632,835",,,,,,
03070,ARIZONA                  ,MOHAVE,"240,391","-40,099","-352,003","-204,459","-27,547",,,,,,
03080,ARIZONA                  ,NAVAJO,"173,797","152,759","51,225","27,181","57,512",,,,,,
03090,ARIZONA                  ,PIMA,"-437,919","-532,626","-935,002","-895,186","-505,823",,,,,,
03100,ARIZONA                  ,PINAL,"52,271","7,573","-105,411","-104,922","-51,467",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-3,284","-6,198","-12,676","-20,034","-8,812",,,,,,
03120,ARIZONA                  ,YAVAPAI,"207,154","72,290","-295,333","-1,395,373","-1,364,663",,,,,,
03130,ARIZONA                  ,YUMA,"125,978","184,590","204,090","177,589","131,674",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-6,190","-4,255","5,004","10,360","8,476",,,,,,
04010,ARKANSAS                 ,ASHLEY,"-2,295","-7,208","4,850","12,850","15,944",,,,,,
04020,ARKANSAS                 ,BAXTER,"-23,925","-37,016","21,173","48,388","36,741",,,,,,
04030,ARKANSAS                 ,BENTON,"106,897","19,259","190,252","175,561","-221,071",,,,,,
04040,ARKANSAS                 ,BOONE,"-18,177","-29,896","11,622","49,262","30,559",,,,,,
04050,ARKANSAS                 ,BRADLEY,"-4,959","-13,257","5,351","13,208","10,762",,,,,,
04060,ARKANSAS                 ,CALHOUN,"-1,884","-3,087","1,769","6,880","5,935",,,,,,
04070,ARKANSAS                 ,CARROLL,"-4,844","-8,051","8,219","11,813","4,756",,,,,,
04080,ARKANSAS                 ,CHICOT,"-4,627","-6,332","2,828","6,126","7,145",,,,,,
