DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",
01000,ALABAMA                  ,AUTAUGA,-50,"-1,631","-1,043",-549,-463,
01010,ALABAMA                  ,BALDWIN,0,0,0,0,0,
01020,ALABAMA                  ,BARBOUR,0,0,0,0,0,
01030,ALABAMA                  ,BIBB,"-68,979","-55,704","-53,163","-54,175","-52,645",
01040,ALABAMA                  ,BLOUNT,"-96,650","-72,267","-86,317","-86,205","-91,551",
01050,ALABAMA                  ,BULLOCK,0,0,0,0,0,
01060,ALABAMA                  ,BUTLER,0,0,0,0,0,
01070,ALABAMA                  ,CALHOUN,0,0,0,0,0,
01080,ALABAMA                  ,CHAMBERS,0,0,0,0,0,
01090,ALABAMA                  ,CHEROKEE,0,0,0,0,0,
01100,ALABAMA                  ,CHILTON,"-99,423","-67,935","-66,715","-73,812","-66,095",
01110,ALABAMA                  ,CHOCTAW,0,0,0,0,0,
01120,ALABAMA                  ,CLARKE,0,0,0,0,0,
01130,ALABAMA                  ,CLAY,0,0,0,0,0,
01140,ALABAMA                  ,CLEBURNE,0,0,0,0,0,
01150,ALABAMA                  ,COFFEE,0,0,0,0,0,
01160,ALABAMA                  ,COLBERT,0,0,0,0,0,
01170,ALABAMA                  ,CONECUH,0,0,0,0,0,
01180,ALABAMA                  ,COOSA,0,0,0,0,0,
01190,ALABAMA                  ,COVINGTON,0,0,0,0,0,
01200,ALABAMA                  ,CRENSHAW,0,0,0,0,0,
01210,ALABAMA                  ,CULLMAN,0,0,0,0,0,
01220,ALABAMA                  ,DALE,0,0,0,0,0,
01230,ALABAMA                  ,DALLAS,0,0,0,0,0,
01240,ALABAMA                  ,DEKALB,0,0,0,0,0,
01250,ALABAMA                  ,ELMORE,0,0,0,0,0,
01260,ALABAMA                  ,ESCAMBIA,0,0,0,0,0,
01270,ALABAMA                  ,ETOWAH,0,0,0,0,0,
01280,ALABAMA                  ,FAYETTE,-549,"-1,512",-440,-195,-156,
01290,ALABAMA                  ,FRANKLIN,0,0,0,0,0,
01300,ALABAMA                  ,GENEVA,0,0,0,0,0,
01310,ALABAMA                  ,GREENE,0,0,0,0,0,
01320,ALABAMA                  ,HALE,0,0,0,0,0,
01330,ALABAMA                  ,HENRY,0,0,0,0,0,
01340,ALABAMA                  ,HOUSTON,0,0,0,0,0,
01350,ALABAMA                  ,JACKSON,0,0,0,0,0,
01360,ALABAMA                  ,JEFFERSON,"-954,619","-748,383","-810,820","-880,716","-845,278",
01370,ALABAMA                  ,LAMAR,0,0,0,0,0,
01380,ALABAMA                  ,LAUDERDALE,0,0,0,0,0,
01390,ALABAMA                  ,LAWRENCE,0,0,0,0,0,
01400,ALABAMA                  ,LEE,0,0,0,0,0,
01410,ALABAMA                  ,LIMESTONE,0,0,0,0,0,
01420,ALABAMA                  ,LOWNDES,0,0,0,0,0,
01430,ALABAMA                  ,MACON,0,0,0,0,0,
01440,ALABAMA                  ,MADISON,0,0,0,0,0,
01450,ALABAMA                  ,MARENGO,0,0,0,0,0,
01460,ALABAMA                  ,MARION,0,0,0,0,0,
01470,ALABAMA                  ,MARSHALL,0,0,0,0,0,
01480,ALABAMA                  ,MOBILE,0,0,0,0,0,
01490,ALABAMA                  ,MONROE,0,0,0,0,0,
01500,ALABAMA                  ,MONTGOMERY,0,0,0,0,0,
01510,ALABAMA                  ,MORGAN,0,0,0,0,0,
01520,ALABAMA                  ,PERRY,-449,-99,0,0,0,
01530,ALABAMA                  ,PICKENS,0,0,0,0,0,
01540,ALABAMA                  ,PIKE,0,0,0,0,0,
01550,ALABAMA                  ,RANDOLPH,0,0,0,0,0,
01560,ALABAMA                  ,RUSSELL,0,0,0,0,0,
01570,ALABAMA                  ,ST. CLAIR,"-154,814","-121,327","-114,975","-141,178","-140,490",
01580,ALABAMA                  ,SHELBY,"-153,274","-132,490","-149,157","-164,689","-156,425",
01590,ALABAMA                  ,SUMTER,0,0,0,0,0,
01600,ALABAMA                  ,TALLADEGA,0,0,0,0,0,
01610,ALABAMA                  ,TALLAPOOSA,0,0,0,0,0,
01620,ALABAMA                  ,TUSCALOOSA,-741,"-1,101","-1,389","-1,212","-1,201",
01630,ALABAMA                  ,WALKER,"-326,389","-239,509","-228,577","-224,850","-229,270",
01640,ALABAMA                  ,WASHINGTON,0,0,0,0,0,
01650,ALABAMA                  ,WILCOX,0,0,0,0,0,
01660,ALABAMA                  ,WINSTON,"-7,533","-6,076","-2,184","-2,812","-4,636",
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0,0,0,
02020,ALASKA                   ,ANCHORAGE,0,0,0,0,0,
02040,ALASKA                   ,BARROW DIVISION,0,0,0,0,0,
02050,ALASKA                   ,BETHEL,0,0,0,0,0,
02060,ALASKA                   ,BRISTOL BAY,0,0,0,0,0,
02070,ALASKA                   ,DILLINGHAM,0,0,0,0,0,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,0,0,0,0,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,0,0,0,0,0,
02100,ALASKA                   ,HAINES,0,0,0,0,0,
02110,ALASKA                   ,JUNEAU,0,0,0,0,0,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,0,0,0,0,0,
02130,ALASKA                   ,KETCHIKAN GATEWAY,0,0,0,0,0,
02140,ALASKA                   ,KOBUK,0,0,0,0,0,
02150,ALASKA                   ,KODIAK ISLAND,0,0,0,0,0,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,0,0,
02170,ALASKA                   ,MATANUSKA-SUSITNA,0,0,0,0,0,
02180,ALASKA                   ,NOME,0,0,0,0,0,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0,0,0,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,0,0,0,
02210,ALASKA                   ,SEWARD,0,0,0,0,0,
02220,ALASKA                   ,SITKA,0,0,0,0,0,
02230,ALASKA                   ,SKAGWAY,0,0,0,0,0,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,0,0,0,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,0,0,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,0,0,0,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,0,0,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,0,0,0,0,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0,0,0,
03000,ARIZONA                  ,APACHE,0,0,0,0,0,
03010,ARIZONA                  ,COCHISE,0,0,0,0,0,
03020,ARIZONA                  ,COCONINO,0,0,0,0,0,
03030,ARIZONA                  ,GILA,0,0,0,0,0,
03040,ARIZONA                  ,GRAHAM,0,0,0,0,0,
03050,ARIZONA                  ,GREENLEE,0,0,0,0,0,
03055,ARIZONA                  ,LA PAZ,0,0,0,0,0,
03060,ARIZONA                  ,MARICOPA,"-1,622,150","-1,386,677","-1,452,818","-1,642,723","-1,593,915",
03070,ARIZONA                  ,MOHAVE,0,0,0,0,0,
03080,ARIZONA                  ,NAVAJO,0,0,0,0,0,
03090,ARIZONA                  ,PIMA,"-637,780","-478,040","-481,745","-465,816","-457,131",
03100,ARIZONA                  ,PINAL,"-201,332","-212,196","-297,716","-326,642","-319,237",
03110,ARIZONA                  ,SANTA CRUZ,0,0,0,0,0,
03120,ARIZONA                  ,YAVAPAI,0,0,0,0,0,
03130,ARIZONA                  ,YUMA,0,0,0,0,0,
04000,ARKANSAS                 ,ARKANSAS,0,0,0,0,0,
04010,ARKANSAS                 ,ASHLEY,0,0,0,0,0,
04020,ARKANSAS                 ,BAXTER,0,0,0,0,0,
04030,ARKANSAS                 ,BENTON,0,0,0,0,0,
04040,ARKANSAS                 ,BOONE,0,0,0,0,0,
04050,ARKANSAS                 ,BRADLEY,0,0,0,0,0,
04060,ARKANSAS                 ,CALHOUN,0,0,0,0,0,
04070,ARKANSAS                 ,CARROLL,0,0,0,0,0,
04080,ARKANSAS                 ,CHICOT,0,0,0,0,0,
04090,ARKANSAS                 ,CLARK,0,0,0,0,0,
04100,ARKANSAS                 ,CLAY,0,0,0,0,0,
04110,ARKANSAS                 ,CLEBURNE,0,0,0,0,0,
04120,ARKANSAS                 ,CLEVELAND,0,0,0,0,0,
04130,ARKANSAS                 ,COLUMBIA,0,0,0,0,0,
04140,ARKANSAS                 ,CONWAY,"-2,476","-1,105","-1,903","-1,334","-1,078",
04150,ARKANSAS                 ,CRAIGHEAD,0,0,0,0,0,
04160,ARKANSAS                 ,CRAWFORD,0,0,0,0,0,
04170,ARKANSAS                 ,CRITTENDEN,"-175,965","-136,118","-132,310","-128,785","-110,545",
04180,ARKANSAS                 ,CROSS,0,-319,0,-298,0,
04190,ARKANSAS                 ,DALLAS,"-1,889","-1,756",-825,"-1,146","-1,557",
04200,ARKANSAS                 ,DESHA,0,0,0,0,0,
04210,ARKANSAS                 ,DREW,0,0,0,0,0,
04220,ARKANSAS                 ,FAULKNER,"-211,935","-193,598","-205,503","-221,756","-227,806",
04230,ARKANSAS                 ,FRANKLIN,0,0,0,0,0,
04240,ARKANSAS                 ,FULTON,0,0,0,0,0,
04250,ARKANSAS                 ,GARLAND,"-4,738","-3,302","-2,125","-2,648","-1,995",
04260,ARKANSAS                 ,GRANT,"-59,855","-53,491","-56,916","-58,049","-63,492",
04270,ARKANSAS                 ,GREENE,0,0,0,0,0,
04280,ARKANSAS                 ,HEMPSTEAD,0,0,0,0,0,
04290,ARKANSAS                 ,HOT SPRING,-152,-468,-128,-194,-353,
04300,ARKANSAS                 ,HOWARD,0,0,0,0,0,
04310,ARKANSAS                 ,INDEPENDENCE,0,0,0,0,0,
04320,ARKANSAS                 ,IZARD,0,0,0,0,0,
04330,ARKANSAS                 ,JACKSON,0,0,0,0,0,
04340,ARKANSAS                 ,JEFFERSON,"-1,795","-2,267","-1,175","-2,438","-1,383",
04350,ARKANSAS                 ,JOHNSON,0,0,0,0,0,
04360,ARKANSAS                 ,LAFAYETTE,0,0,0,0,0,
04370,ARKANSAS                 ,LAWRENCE,0,0,0,0,0,
04380,ARKANSAS                 ,LEE,0,0,0,0,0,
04390,ARKANSAS                 ,LINCOLN,0,0,0,0,0,
04400,ARKANSAS                 ,LITTLE RIVER,0,0,0,0,0,
04410,ARKANSAS                 ,LOGAN,0,0,0,0,0,
04420,ARKANSAS                 ,LONOKE,"-215,255","-170,967","-157,029","-173,848","-160,434",
04430,ARKANSAS                 ,MADISON,0,0,0,0,0,
04440,ARKANSAS                 ,MARION,0,0,0,0,0,
04450,ARKANSAS                 ,MILLER,0,0,0,0,0,
04460,ARKANSAS                 ,MISSISSIPPI,0,0,0,0,0,
04470,ARKANSAS                 ,MONROE,0,0,0,0,0,
04480,ARKANSAS                 ,MONTGOMERY,0,0,0,0,0,
04490,ARKANSAS                 ,NEVADA,0,0,0,0,0,
04500,ARKANSAS                 ,NEWTON,0,0,0,0,0,
04510,ARKANSAS                 ,OUACHITA,0,0,0,0,0,
04520,ARKANSAS                 ,PERRY,"-47,635","-40,099","-49,671","-55,343","-45,968",
04530,ARKANSAS                 ,PHILLIPS,0,0,0,0,0,
04540,ARKANSAS                 ,PIKE,0,0,0,0,0,
04550,ARKANSAS                 ,POINSETT,0,0,0,0,0,
04560,ARKANSAS                 ,POLK,0,0,0,0,0,
04570,ARKANSAS                 ,POPE,0,0,0,0,0,
04580,ARKANSAS                 ,PRAIRIE,0,0,0,0,0,
04590,ARKANSAS                 ,PULASKI,"-1,016,661","-833,518","-809,800","-874,176","-859,495",
04600,ARKANSAS                 ,RANDOLPH,0,0,0,0,0,
04610,ARKANSAS                 ,ST. FRANCIS,0,0,0,-637,0,
04620,ARKANSAS                 ,SALINE,"-316,225","-254,450","-265,923","-245,251","-260,234",
04630,ARKANSAS                 ,SCOTT,0,0,0,0,0,
04640,ARKANSAS                 ,SEARCY,0,0,0,0,0,
04650,ARKANSAS                 ,SEBASTIAN,0,0,0,0,0,
04660,ARKANSAS                 ,SEVIER,0,0,0,0,0,
04670,ARKANSAS                 ,SHARP,0,0,0,0,0,
04680,ARKANSAS                 ,STONE,0,0,0,0,0,
04690,ARKANSAS                 ,UNION,0,0,0,0,0,
04700,ARKANSAS                 ,VAN BUREN,0,0,0,0,0,
04710,ARKANSAS                 ,WASHINGTON,0,0,0,0,0,
04720,ARKANSAS                 ,WHITE,-347,-469,-944,"-1,646","-1,633",
04730,ARKANSAS                 ,WOODRUFF,0,0,0,0,0,
04740,ARKANSAS                 ,YELL,0,0,0,0,0,
05000,CALIFORNIA               ,ALAMEDA,"-1,026,230","-822,981","-838,099","-871,586","-844,400",
05010,CALIFORNIA               ,ALPINE,0,0,0,0,0,
05020,CALIFORNIA               ,AMADOR,"-1,951",-607,0,-92,-40,
05030,CALIFORNIA               ,BUTTE,0,0,0,0,0,
05040,CALIFORNIA               ,CALAVERAS,-102,0,0,-207,-214,
05050,CALIFORNIA               ,COLUSA,0,0,0,0,0,
05060,CALIFORNIA               ,CONTRA COSTA,"-592,273","-527,615","-541,197","-578,155","-538,749",
05070,CALIFORNIA               ,DEL NORTE,0,0,0,0,0,
05080,CALIFORNIA               ,EL DORADO,"-183,818","-159,131","-157,619","-180,704","-178,973",
05090,CALIFORNIA               ,FRESNO,"-1,367,229","-1,107,067","-1,190,916","-1,295,748","-1,249,022",
05100,CALIFORNIA               ,GLENN,0,0,0,0,0,
05110,CALIFORNIA               ,HUMBOLDT,0,0,0,0,0,
05120,CALIFORNIA               ,IMPERIAL,0,0,0,0,0,
05130,CALIFORNIA               ,INYO,0,0,0,0,0,
05140,CALIFORNIA               ,KERN,"-1,498,225","-1,047,086","-1,136,810","-1,276,620","-1,067,049",
05150,CALIFORNIA               ,KINGS,"-2,375","-1,639",-867,-565,-219,
05160,CALIFORNIA               ,LAKE,0,0,0,0,0,
05170,CALIFORNIA               ,LASSEN,0,0,0,0,0,
05200,CALIFORNIA               ,LOS ANGELES,"-6,146,021","-5,241,453","-5,297,350","-5,653,256","-5,172,087",
05300,CALIFORNIA               ,MADERA,-612,0,0,-80,-715,
05310,CALIFORNIA               ,MARIN,"-123,029","-96,306","-94,457","-108,689","-94,829",
05320,CALIFORNIA               ,MARIPOSA,0,0,0,0,0,
05330,CALIFORNIA               ,MENDOCINO,0,0,0,0,0,
05340,CALIFORNIA               ,MERCED,0,0,0,0,0,
05350,CALIFORNIA               ,MODOC,0,0,0,0,0,
05360,CALIFORNIA               ,MONO,0,0,0,0,0,
05370,CALIFORNIA               ,MONTEREY,0,0,0,0,0,
05380,CALIFORNIA               ,NAPA,0,0,0,0,0,
05390,CALIFORNIA               ,NEVADA,"-3,770","-4,937","-4,434","-6,135","-4,758",
05400,CALIFORNIA               ,ORANGE,"-1,591,066","-1,348,084","-1,370,723","-1,427,500","-1,319,890",
05410,CALIFORNIA               ,PLACER,"-207,901","-182,320","-184,254","-204,479","-223,179",
05420,CALIFORNIA               ,PLUMAS,0,0,0,0,0,
05430,CALIFORNIA               ,RIVERSIDE,"-1,385,053","-1,198,532","-1,308,719","-655,978","-594,763",
05440,CALIFORNIA               ,SACRAMENTO,"-1,310,695","-1,127,552","-1,171,826","-1,356,980","-1,298,460",
05450,CALIFORNIA               ,SAN BENITO,"-37,699","-36,420","-42,988","-43,885","-47,184",
05460,CALIFORNIA               ,SAN BERNARDINO,"-1,639,871","-1,358,651","-1,527,025","-789,183","-727,949",
