DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,
,,,2008,2009,2010,2011,2012,,,,
01000,ALABAMA                  ,AUTAUGA,"-29,312","-35,277","-37,752","-41,717","-34,621",,,,
01010,ALABAMA                  ,BALDWIN,"-89,767","-92,340","-87,244","-84,430","-64,173",,,,
01020,ALABAMA                  ,BARBOUR,"2,440","-8,006","-3,670","-6,974","-9,268",,,,
01030,ALABAMA                  ,BIBB,"-10,496","-9,553","-11,842","-13,599","-6,371",,,,
01040,ALABAMA                  ,BLOUNT,"-23,519","-19,239","-14,248","-14,077","-9,698",,,,
01050,ALABAMA                  ,BULLOCK,"-3,339","-4,393","-7,924","-6,677","-7,298",,,,
01060,ALABAMA                  ,BUTLER,"-30,385","-28,335","-24,547","-30,544","-25,381",,,,
01070,ALABAMA                  ,CALHOUN,"-143,614","-130,178","-96,308","-128,593","-151,819",,,,
01080,ALABAMA                  ,CHAMBERS,"-31,372","-34,392","-45,434","-52,712","-32,953",,,,
01090,ALABAMA                  ,CHEROKEE,"-16,329","-16,447","-12,822","1,329","5,736",,,,
01100,ALABAMA                  ,CHILTON,"-22,737","-14,093","-12,855","-12,769","-7,636",,,,
01110,ALABAMA                  ,CHOCTAW,"-11,683","-13,186","-20,574","-16,560","-16,324",,,,
01120,ALABAMA                  ,CLARKE,"-17,921","-17,522","-16,649","-18,927","-13,568",,,,
01130,ALABAMA                  ,CLAY,"-13,858","-12,947","-10,831","-15,385","-10,145",,,,
01140,ALABAMA                  ,CLEBURNE,"-13,527","-14,163","-10,128","-12,690","-11,886",,,,
01150,ALABAMA                  ,COFFEE,"-14,898","-26,993","-26,160","-17,245","5,272",,,,
01160,ALABAMA                  ,COLBERT,"-36,585","-56,954","-65,227","-68,458","-38,225",,,,
01170,ALABAMA                  ,CONECUH,"-17,509","-16,050","-12,269","-14,459","-10,175",,,,
01180,ALABAMA                  ,COOSA,"-16,994","-19,510","-17,803","-17,049","-7,143",,,,
01190,ALABAMA                  ,COVINGTON,"-26,400","-33,039","-34,136","-28,981","-9,707",,,,
01200,ALABAMA                  ,CRENSHAW,"-10,422","-15,127","-14,735","-14,288","-10,655",,,,
01210,ALABAMA                  ,CULLMAN,"-56,270","-56,414","-46,968","-42,714","-45,136",,,,
01220,ALABAMA                  ,DALE,"-9,677","-43,299","-41,494","-27,702","23,797",,,,
01230,ALABAMA                  ,DALLAS,"-18,720","-25,339","-39,521","-34,076","-28,325",,,,
01240,ALABAMA                  ,DEKALB,"-116,743","-108,772","-89,751","-46,360","-21,917",,,,
01250,ALABAMA                  ,ELMORE,"-48,622","-54,410","-63,064","-69,911","-54,117",,,,
01260,ALABAMA                  ,ESCAMBIA,"-40,728","-44,303","-38,585","-36,105","-24,928",,,,
01270,ALABAMA                  ,ETOWAH,"-33,439","-31,279","-48,492","-1,389","-50,333",,,,
01280,ALABAMA                  ,FAYETTE,"-6,091",-300,500,"-2,131","1,128",,,,
01290,ALABAMA                  ,FRANKLIN,"-23,997","-25,647","-35,263","-31,756","-14,672",,,,
01300,ALABAMA                  ,GENEVA,"-4,314","-23,882","-22,912","-12,671","15,551",,,,
01310,ALABAMA                  ,GREENE,-590,"-2,431","-7,618","-9,298","-4,982",,,,
01320,ALABAMA                  ,HALE,"-1,292","-5,539","-14,186","-18,212","-9,461",,,,
01330,ALABAMA                  ,HENRY,"4,032","-10,483","-11,478","-4,905","13,790",,,,
01340,ALABAMA                  ,HOUSTON,"19,754","-54,816","-59,561","-12,169","109,681",,,,
01350,ALABAMA                  ,JACKSON,"-30,482","-55,192","-56,967","-51,816","6,396",,,,
01360,ALABAMA                  ,JEFFERSON,"-237,553","-201,122","-140,185","-155,314","-84,520",,,,
01370,ALABAMA                  ,LAMAR,"-6,085","-5,056","-6,680","-4,590",-275,,,,
01380,ALABAMA                  ,LAUDERDALE,"-51,420","-76,562","-95,663","-105,005","-50,221",,,,
01390,ALABAMA                  ,LAWRENCE,"-47,283","-40,251","-42,961","-55,609","-36,447",,,,
01400,ALABAMA                  ,LEE,"-63,226","-60,556","-81,659","-103,959","-137,313",,,,
01410,ALABAMA                  ,LIMESTONE,"-66,933","-65,908","-82,595","-91,070","-60,303",,,,
01420,ALABAMA                  ,LOWNDES,"-9,982","-9,442","-13,703","-10,937","-10,167",,,,
01430,ALABAMA                  ,MACON,"-14,836","-15,690","-23,088","-27,074","-22,957",,,,
01440,ALABAMA                  ,MADISON,"-169,195","-168,982","-207,544","-266,219","-175,373",,,,
01450,ALABAMA                  ,MARENGO,"-10,568","-12,168","-13,061","-12,162","-8,953",,,,
01460,ALABAMA                  ,MARION,"-22,546","-14,871","-10,480","-8,799","2,372",,,,
01470,ALABAMA                  ,MARSHALL,"-126,990","-142,885","-133,891","-118,208","-81,188",,,,
01480,ALABAMA                  ,MOBILE,"-171,038","-125,475","-133,696","-152,274","-148,687",,,,
01490,ALABAMA                  ,MONROE,"-19,748","-15,194","-15,877","-19,531","-13,536",,,,
01500,ALABAMA                  ,MONTGOMERY,"-107,236","-147,837","-172,331","-191,287","-142,831",,,,
01510,ALABAMA                  ,MORGAN,"-170,564","-168,676","-203,569","-222,488","-158,521",,,,
01520,ALABAMA                  ,PERRY,"-4,897","-4,791","-9,115","-7,962","-3,778",,,,
01530,ALABAMA                  ,PICKENS,"-3,279","-7,585","-11,483","-12,485",-651,,,,
