DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,
01000,ALABAMA                  ,AUTAUGA,"-8,092","-6,195","-13,129","-10,817","-1,988",,,,,,
01010,ALABAMA                  ,BALDWIN,"-26,461","-30,884","-13,454","-15,408","-10,140",,,,,,
01020,ALABAMA                  ,BARBOUR,"-10,532","-8,751","-6,232","-6,989","-2,368",,,,,,
01030,ALABAMA                  ,BIBB,"-1,170","-1,283","-1,124","-1,137",-237,,,,,,
01040,ALABAMA                  ,BLOUNT,"-3,824","-3,828","-3,801",-88,-698,,,,,,
01050,ALABAMA                  ,BULLOCK,"-1,625","-1,389","-3,063","-1,743",-899,,,,,,
01060,ALABAMA                  ,BUTLER,"-8,723","-5,519","-3,125","-5,865","-1,568",,,,,,
01070,ALABAMA                  ,CALHOUN,"-30,343","-29,386","-25,796","-46,769","-37,285",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-3,839","-5,353","-2,640","-4,340","-2,675",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-6,164","-4,471","-2,335",-487,-553,,,,,,
01100,ALABAMA                  ,CHILTON,"-4,816","-3,859","-2,455","-3,347","-2,968",,,,,,
01110,ALABAMA                  ,CHOCTAW,"-2,117","-1,912","-1,227","-1,888",-852,,,,,,
01120,ALABAMA                  ,CLARKE,"-3,435","-9,038","-4,892","-2,215","-2,147",,,,,,
01130,ALABAMA                  ,CLAY,"-2,096","-1,563","-2,663","-1,261","-1,271",,,,,,
01140,ALABAMA                  ,CLEBURNE,"-3,019","-4,599","-2,192","-1,786","-4,149",,,,,,
01150,ALABAMA                  ,COFFEE,"-5,084","-6,994","-2,323","-4,644","-2,382",,,,,,
01160,ALABAMA                  ,COLBERT,"-3,575","-13,223","-16,069","-22,742","-2,671",,,,,,
01170,ALABAMA                  ,CONECUH,"-4,934","-8,037","-3,966","-4,075","-1,997",,,,,,
01180,ALABAMA                  ,COOSA,"-2,550","-2,082","-2,821","-2,427",-915,,,,,,
01190,ALABAMA                  ,COVINGTON,"-7,622","-9,176","-6,348","-5,291","-2,566",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-4,515","-5,188","-3,981","-2,584","-1,253",,,,,,
01210,ALABAMA                  ,CULLMAN,"-18,508","-19,660","-9,451","-10,908","-4,176",,,,,,
01220,ALABAMA                  ,DALE,"-8,494","-8,812","-10,493","-7,751","-3,886",,,,,,
01230,ALABAMA                  ,DALLAS,"-17,620","-19,111","-12,019","-11,600","-6,324",,,,,,
01240,ALABAMA                  ,DEKALB,"-13,889","-11,837","-7,817","-6,289","-2,437",,,,,,
01250,ALABAMA                  ,ELMORE,"-8,496","-12,437","-30,416","-23,793","-11,080",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"-6,100","-14,033","-10,269","-8,129","-2,737",,,,,,
01270,ALABAMA                  ,ETOWAH,"-13,275","-7,798",-504,"52,431","6,604",,,,,,
01280,ALABAMA                  ,FAYETTE,-504,"-1,253","-1,794","-1,422",-563,,,,,,
01290,ALABAMA                  ,FRANKLIN,"-4,714","-7,282","-6,735","-5,281","-1,886",,,,,,
01300,ALABAMA                  ,GENEVA,"-2,330","-4,159","-9,812","-10,640","-1,018",,,,,,
01310,ALABAMA                  ,GREENE,"-1,130",-208,"-1,254","-1,522","-1,529",,,,,,
01320,ALABAMA                  ,HALE,"1,535",-563,"-3,984","-3,183","-1,998",,,,,,
01330,ALABAMA                  ,HENRY,"-1,954",-986,"-1,710","-2,676","-1,336",,,,,,
01340,ALABAMA                  ,HOUSTON,"-10,085","-14,049","-15,898","-10,772","-5,562",,,,,,
01350,ALABAMA                  ,JACKSON,"-10,941","-6,225","-7,036","-7,800","-2,167",,,,,,
01360,ALABAMA                  ,JEFFERSON,"-159,697","-127,464","-68,570","-90,010","-33,651",,,,,,
01370,ALABAMA                  ,LAMAR,"-5,623","-5,490","-3,521","-2,854",-361,,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-3,491","-13,716","-25,577","-32,739","-3,341",,,,,,
01390,ALABAMA                  ,LAWRENCE,"-8,877","-6,721","-10,493","-6,508","-3,819",,,,,,
01400,ALABAMA                  ,LEE,"-7,611","-4,396","-3,883","1,801","-10,094",,,,,,
01410,ALABAMA                  ,LIMESTONE,"-22,904","-12,760","-20,798","-15,689","-14,238",,,,,,
01420,ALABAMA                  ,LOWNDES,"-3,054","-1,481","-1,724","-2,489","-3,248",,,,,,
01430,ALABAMA                  ,MACON,"-4,586","-7,693","-9,134","-4,525","-2,850",,,,,,
01440,ALABAMA                  ,MADISON,"-73,308","-80,539","-94,702","-120,054","-64,405",,,,,,
01450,ALABAMA                  ,MARENGO,"-1,891","-2,137","-2,656","-2,633","-1,053",,,,,,
01460,ALABAMA                  ,MARION,"-4,470","-5,141","-4,521","-4,034","-2,374",,,,,,
01470,ALABAMA                  ,MARSHALL,"-16,162","-20,467","-19,254","-15,593","-6,904",,,,,,
01480,ALABAMA                  ,MOBILE,"-96,470","-72,605","-61,019","-100,291","-70,628",,,,,,
01490,ALABAMA                  ,MONROE,"-7,105","-4,371","-2,024","-4,896","-1,299",,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-43,836","-38,615","-59,553","-74,400","-51,947",,,,,,
01510,ALABAMA                  ,MORGAN,"-32,024","-38,369","-46,483","-33,233","-13,658",,,,,,
01520,ALABAMA                  ,PERRY,"-1,678",-893,"-2,040","-3,589",-491,,,,,,
01530,ALABAMA                  ,PICKENS,"-7,495","-6,545","-3,974","-5,460","-1,970",,,,,,
