DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,,,,,,
01000,ALABAMA                  ,AUTAUGA,"-32,204","-50,470","-48,096","-30,631","-13,048",,,,,,,,,,,
01010,ALABAMA                  ,BALDWIN,"7,446","31,154","48,451","-22,984","4,794",,,,,,,,,,,
01020,ALABAMA                  ,BARBOUR,"-27,852","-15,299","-21,055","-36,392","-28,819",,,,,,,,,,,
01030,ALABAMA                  ,BIBB,"-24,908","-26,079","-9,865","17,645","-9,950",,,,,,,,,,,
01040,ALABAMA                  ,BLOUNT,"24,896","40,779","48,893","53,681","6,885",,,,,,,,,,,
01050,ALABAMA                  ,BULLOCK,"-7,178","6,396",762,598,"8,110",,,,,,,,,,,
01060,ALABAMA                  ,BUTLER,"-120,127","-120,598","-82,291","-99,187","-39,054",,,,,,,,,,,
01070,ALABAMA                  ,CALHOUN,"-64,144","-7,873","-23,579","-71,356","-56,422",,,,,,,,,,,
01080,ALABAMA                  ,CHAMBERS,"-81,906","-90,928","-91,594","-130,282","-102,970",,,,,,,,,,,
01090,ALABAMA                  ,CHEROKEE,"-3,815","-11,801","-12,685","-22,745","-40,100",,,,,,,,,,,
01100,ALABAMA                  ,CHILTON,"26,223","-23,334","32,722","17,592","36,900",,,,,,,,,,,
01110,ALABAMA                  ,CHOCTAW,"-45,945","-37,907","-24,429","-55,548","-26,247",,,,,,,,,,,
01120,ALABAMA                  ,CLARKE,"-12,512","49,323","63,770","69,821","45,816",,,,,,,,,,,
01130,ALABAMA                  ,CLAY,"-13,227","5,238","-1,421","-4,917","1,395",,,,,,,,,,,
01140,ALABAMA                  ,CLEBURNE,"-38,107","-9,254","-31,841","-35,730","-27,446",,,,,,,,,,,
01150,ALABAMA                  ,COFFEE,"-74,191","-65,890","-38,074","-44,946","-44,974",,,,,,,,,,,
01160,ALABAMA                  ,COLBERT,"-72,412","-22,185","-53,041","-60,981","-62,046",,,,,,,,,,,
01170,ALABAMA                  ,CONECUH,"-58,792","-35,130","-21,373","-2,848","-14,339",,,,,,,,,,,
01180,ALABAMA                  ,COOSA,"-7,283","-22,863","-4,413","-35,481","-16,969",,,,,,,,,,,
01190,ALABAMA                  ,COVINGTON,"-160,327","-136,825","-100,356","-93,786","-108,904",,,,,,,,,,,
01200,ALABAMA                  ,CRENSHAW,"-54,090","-37,983","-47,704","-43,310","-43,339",,,,,,,,,,,
01210,ALABAMA                  ,CULLMAN,"-176,041","-197,206","-160,204","-168,327","-247,864",,,,,,,,,,,
01220,ALABAMA                  ,DALE,"-32,015","-61,157","-37,788","-26,157","-27,389",,,,,,,,,,,
01230,ALABAMA                  ,DALLAS,"-404,698","-364,696","-382,722","-500,633","-373,354",,,,,,,,,,,
01240,ALABAMA                  ,DEKALB,"-41,731","-61,813","-77,829","-27,334","-118,729",,,,,,,,,,,
01250,ALABAMA                  ,ELMORE,"-95,818","-24,125","-115,870","-72,271","-45,650",,,,,,,,,,,
01260,ALABAMA                  ,ESCAMBIA,"20,177","16,174","-3,161","-3,141","23,988",,,,,,,,,,,
01270,ALABAMA                  ,ETOWAH,"96,000","151,165","147,864","193,446","55,901",,,,,,,,,,,
01280,ALABAMA                  ,FAYETTE,"-81,608","-76,309","-48,378","-35,027","-30,716",,,,,,,,,,,
01290,ALABAMA                  ,FRANKLIN,"-64,513","-42,380","-36,865","-40,717","-46,791",,,,,,,,,,,
01300,ALABAMA                  ,GENEVA,"-52,634","-25,783","-26,083","-38,352","-2,594",,,,,,,,,,,
01310,ALABAMA                  ,GREENE,"-23,665","-5,628","-1,546","23,485","-6,520",,,,,,,,,,,
01320,ALABAMA                  ,HALE,"-51,029","-18,649","-19,586","-33,981","-19,129",,,,,,,,,,,
01330,ALABAMA                  ,HENRY,"-13,302","-20,483","-27,907","-26,624","-12,741",,,,,,,,,,,
01340,ALABAMA                  ,HOUSTON,"-108,521","-83,144","-75,957","-91,777","-67,065",,,,,,,,,,,
01350,ALABAMA                  ,JACKSON,"9,693","-6,339","-6,783","-25,830","-34,542",,,,,,,,,,,
01360,ALABAMA                  ,JEFFERSON,"835,410","1,110,497","985,678","809,601","849,928",,,,,,,,,,,
01370,ALABAMA                  ,LAMAR,"-64,155","-70,443","-53,801","-39,312","-45,760",,,,,,,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-44,857","5,088","-45,969","-64,095","-47,878",,,,,,,,,,,
01390,ALABAMA                  ,LAWRENCE,"-101,342","-61,020","-52,548","-49,971","-52,364",,,,,,,,,,,
01400,ALABAMA                  ,LEE,"-116,938","-22,233","-77,965","-93,392","-93,305",,,,,,,,,,,
01410,ALABAMA                  ,LIMESTONE,"-60,630","-82,182","-146,128","-99,558","-130,919",,,,,,,,,,,
01420,ALABAMA                  ,LOWNDES,"-21,154","-30,530","-16,996","-7,031","-20,109",,,,,,,,,,,
01430,ALABAMA                  ,MACON,"-22,131","-16,207","-9,128","-19,813","-31,392",,,,,,,,,,,
01440,ALABAMA                  ,MADISON,"173,386","109,147","-104,221","-209,730","-167,540",,,,,,,,,,,
01450,ALABAMA                  ,MARENGO,"68,779","101,663","75,790","62,544","71,706",,,,,,,,,,,
01460,ALABAMA                  ,MARION,"-108,617","-54,476","-39,769","-58,741","-78,679",,,,,,,,,,,
01470,ALABAMA                  ,MARSHALL,"-42,695","-36,358","-125,497","-137,052","-324,557",,,,,,,,,,,
01480,ALABAMA                  ,MOBILE,"471,410","737,115","733,056","636,414","728,459",,,,,,,,,,,
01490,ALABAMA                  ,MONROE,"-24,757","7,368","16,290","12,247","19,805",,,,,,,,,,,
01500,ALABAMA                  ,MONTGOMERY,"-34,725","-3,731","-142,336","42,677","55,734",,,,,,,,,,,
01510,ALABAMA                  ,MORGAN,"-155,554","-180,655","-158,358","-111,960","-230,268",,,,,,,,,,,
01520,ALABAMA                  ,PERRY,"-26,195","-32,448","-58,652","-24,217","-46,258",,,,,,,,,,,
01530,ALABAMA                  ,PICKENS,"-78,272","-63,975","-40,810","-34,702","-66,659",,,,,,,,,,,
01540,ALABAMA                  ,PIKE,"-27,043","-61,541","-68,123","-55,206","-62,680",,,,,,,,,,,
01550,ALABAMA                  ,RANDOLPH,"-48,621","-37,655","-83,451","-87,935","-49,565",,,,,,,,,,,
01560,ALABAMA                  ,RUSSELL,"77,402","77,321","134,986","128,379","135,124",,,,,,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"81,364","93,715","108,117","116,098","51,627",,,,,,,,,,,
01580,ALABAMA                  ,SHELBY,"82,248","95,272","79,593","102,931","82,359",,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"-28,060","-22,745","-26,593","-8,235","-7,565",,,,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,"-99,773","-84,977","-52,791","-93,706","-27,399",,,,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-129,225","-115,245","-103,428","-176,175","-162,372",,,,,,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-534,366","-410,068","-417,928","-141,876","-315,695",,,,,,,,,,,
01630,ALABAMA                  ,WALKER,"-80,424","-36,236","-17,815","-24,991","-70,442",,,,,,,,,,,
01640,ALABAMA                  ,WASHINGTON,"28,019","27,578","25,858","30,033","17,374",,,,,,,,,,,
01650,ALABAMA                  ,WILCOX,"-75,444","-36,879","-61,785","-54,111","-82,923",,,,,,,,,,,
01660,ALABAMA                  ,WINSTON,"-116,138","-69,357","-65,399","-92,625","-75,770",,,,,,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"-8,414","-6,190","1,460","-1,586","-12,255",,,,,,,,,,,
02020,ALASKA                   ,ANCHORAGE,"-328,128","-111,920","-224,286","-376,262","-342,652",,,,,,,,,,,
02040,ALASKA                   ,BARROW DIVISION,"-7,135","-41,831","-13,651","-24,414","-13,602",,,,,,,,,,,
02050,ALASKA                   ,BETHEL,"-17,180","-45,193","-9,941",822,"16,570",,,,,,,,,,,
