"DISABLED - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
01000,ALABAMA                  ,AUTAUGA                ,1199,228675,190.72,228676,190.72,0,0,0,1019,0,0,
01010,ALABAMA                  ,BALDWIN                ,4330,665509,153.7,665509,153.7,0,0,0,3791,0,0,
01020,ALABAMA                  ,BARBOUR                ,1134,61578,54.3,61578,54.3,0,0,0,1044,0,0,
01030,ALABAMA                  ,BIBB                   ,900,249575,277.31,249575,277.31,0,0,0,786,0,0,
01040,ALABAMA                  ,BLOUNT                 ,1101,165636,150.44,165635,150.44,0,0,0,931,0,0,
01050,ALABAMA                  ,BULLOCK                ,298,22758,76.37,22758,76.37,0,0,0,265,0,0,
01060,ALABAMA                  ,BUTLER                 ,1035,211988,204.82,211988,204.82,0,0,0,960,0,0,
01070,ALABAMA                  ,CALHOUN                ,5967,1030798,172.75,1030797,172.75,0,0,0,5338,0,0,
01080,ALABAMA                  ,CHAMBERS               ,1998,307588,153.95,307587,153.95,0,0,0,1878,0,0,
01090,ALABAMA                  ,CHEROKEE               ,1040,102773,98.82,102773,98.82,0,0,0,938,0,0,
01100,ALABAMA                  ,CHILTON                ,996,288332,289.49,288332,289.49,0,0,0,838,0,0,
01110,ALABAMA                  ,CHOCTAW                ,825,182910,221.71,182909,221.71,0,0,0,777,0,0,
01120,ALABAMA                  ,CLARKE                 ,1430,175574,122.78,175574,122.78,0,0,0,1304,0,0,
01130,ALABAMA                  ,CLAY                   ,675,54400,80.59,54400,80.59,0,0,0,617,0,0,
01140,ALABAMA                  ,CLEBURNE               ,674,190298,282.34,190298,282.34,0,0,0,625,0,0,
01150,ALABAMA                  ,COFFEE                 ,1659,199321,120.15,199321,120.15,0,0,0,1517,0,0,
01160,ALABAMA                  ,COLBERT                ,2496,341252,136.72,341251,136.72,0,0,0,2310,0,0,
01170,ALABAMA                  ,CONECUH                ,835,106882,128,106882,128,0,0,0,789,0,0,
01180,ALABAMA                  ,COOSA                  ,714,195331,273.57,195330,273.57,0,0,0,647,0,0,
01190,ALABAMA                  ,COVINGTON              ,2017,119186,59.09,119186,59.09,0,0,0,1833,0,0,
