"ESRD - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
01000,ALABAMA                  ,AUTAUGA                ,69,33485,485.29,33486,485.3,0,0,0,68,0,0,
01010,ALABAMA                  ,BALDWIN                ,192,88143,459.08,88143,459.08,0,0,0,184,0,0,
01020,ALABAMA                  ,BARBOUR                ,73,24322,333.18,24322,333.18,0,0,0,72,0,0,
01030,ALABAMA                  ,BIBB                   ,29,21802,751.79,21803,751.83,0,0,0,28,0,0,
01040,ALABAMA                  ,BLOUNT                 ,27,3770,139.63,3769,139.59,0,0,0,24,0,0,
01050,ALABAMA                  ,BULLOCK                ,28,20584,735.14,20583,735.11,0,0,0,28,0,0,
01060,ALABAMA                  ,BUTLER                 ,58,23444,404.21,23444,404.21,0,0,0,54,0,0,
01070,ALABAMA                  ,CALHOUN                ,229,281530,1229.39,281530,1229.39,0,0,0,215,0,0,
01080,ALABAMA                  ,CHAMBERS               ,84,7801,92.87,7801,92.87,0,0,0,81,0,0,
01090,ALABAMA                  ,CHEROKEE               ,40,34970,874.25,34970,874.25,0,0,0,39,0,0,
01100,ALABAMA                  ,CHILTON                ,45,10063,223.62,10063,223.62,0,0,0,43,0,0,
01110,ALABAMA                  ,CHOCTAW                ,38,96367,2535.97,96367,2535.97,0,0,0,38,0,0,
01120,ALABAMA                  ,CLARKE                 ,93,144822,1557.23,144821,1557.22,0,0,0,93,0,0,
01130,ALABAMA                  ,CLAY                   ,14,5880,420,5881,420.07,0,0,0,15,0,0,
01140,ALABAMA                  ,CLEBURNE               ,17,3466,203.88,3465,203.82,0,0,0,17,0,0,
01150,ALABAMA                  ,COFFEE                 ,80,55234,690.43,55233,690.41,0,0,0,76,0,0,
01160,ALABAMA                  ,COLBERT                ,107,35610,332.8,35610,332.8,0,0,0,102,0,0,
01170,ALABAMA                  ,CONECUH                ,28,651,23.25,652,23.29,0,0,0,28,0,0,
01180,ALABAMA                  ,COOSA                  ,25,1303,52.12,1303,52.12,0,0,0,23,0,0,
01190,ALABAMA                  ,COVINGTON              ,70,17312,247.31,17313,247.33,0,0,0,69,0,0,
01200,ALABAMA                  ,CRENSHAW               ,23,10245,445.43,10245,445.43,0,0,0,23,0,0,
01210,ALABAMA                  ,CULLMAN                ,60,61561,1026.02,61561,1026.02,0,0,0,58,0,0,
