"ESRD -- 2012 PEURTO RICO ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,,,,,,,
40010,PUERTO RICO              ,ADJUNTAS               ,14,"360,025","2,143.01","303,272","1,805.19","19,054","21,022","16,677",9,"496,309","4,595.45",,,,,,,
40020,PUERTO RICO              ,AGUADA                 ,34,"357,608",876.49,"325,617",798.08,"5,222","21,190","5,579",30,"1,011,473","2,809.65",,,,,,,
40030,PUERTO RICO              ,AGUADILLA              ,73,"692,526",790.55,"646,556",738.08,"7,878","34,368","3,724",63,"2,221,509","2,938.50",,,,,,,
40040,PUERTO RICO              ,AGUAS BUENAS           ,29,"287,473",826.07,"266,088",764.62,"2,119","14,484","4,782",27,"958,640","2,958.77",,,,,,,
40050,PUERTO RICO              ,AIBONITO               ,20,"208,906",870.44,"197,792",824.13,0,"11,114",0,13,"434,917","2,787.93",,,,,,,
40060,PUERTO RICO              ,ANASCO                 ,22,"140,387",531.77,"127,530",483.07,"5,073","3,463","4,321",19,"576,907","2,530.29",,,,,,,
40070,PUERTO RICO              ,ARECIBO                ,65,"891,510","1,142.96","826,798","1,060.00","6,379","55,526","2,807",56,"1,939,829","2,886.65",,,,,,,
40080,PUERTO RICO              ,ARROYO                 ,12,"151,815","1,054.27","129,877",901.92,"3,387","15,756","2,795",8,"189,428","1,973.21",,,,,,,
40090,PUERTO RICO              ,BARCELONETA            ,24,"197,206",684.74,"176,367",612.39,"3,868","16,234",737,19,"613,923","2,692.64",,,,,,,
40100,PUERTO RICO              ,BARRANQUITAS           ,22,"156,458",592.64,"146,294",554.14,"1,510","6,577","2,077",19,"530,496","2,326.74",,,,,,,
40110,PUERTO RICO              ,BAYAMON                ,192,"1,688,844",733.01,"1,604,375",696.34,"13,175","57,422","13,872",161,"4,553,569","2,356.92",,,,,,,
40120,PUERTO RICO              ,CABO ROJO              ,41,"375,267",762.74,"344,954",701.13,"12,539","6,760","11,014",36,"1,194,075","2,764.06",,,,,,,
40130,PUERTO RICO              ,CAGUAS                 ,129,"1,042,215",673.27,"1,008,535",651.51,"1,348","31,588",744,113,"2,926,062","2,157.86",,,,,,,
40140,PUERTO RICO              ,CAMUY                  ,15,"72,887",404.93,"67,731",376.28,453,"4,683",20,11,"259,719","1,967.57",,,,,,,
40145,PUERTO RICO              ,CANOVANAS              ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,,,,,,,
40150,PUERTO RICO              ,CAROLINA               ,113,"1,208,671",891.35,"1,175,354",866.78,"6,688","20,214","6,415",95,"2,737,403","2,401.23",,,,,,,
40160,PUERTO RICO              ,CATANO                 ,55,"575,675",872.23,"566,506",858.34,"2,093","4,742","2,334",42,"1,156,279","2,294.20",,,,,,,
40170,PUERTO RICO              ,CAYEY                  ,51,"504,270",823.97,"480,655",785.38,286,"23,222",107,40,"1,054,844","2,197.59",,,,,,,
40180,PUERTO RICO              ,CEIBA                  ,11,"61,492",465.85,"56,711",429.63,0,"4,781",0,10,"273,115","2,275.96",,,,,,,
40190,PUERTO RICO              ,CIALES                 ,19,"284,598","1,248.24","258,795","1,135.07","4,052","21,491",260,15,"466,098","2,589.43",,,,,,,
40200,PUERTO RICO              ,CIDRA                  ,22,"156,700",593.56,"148,212",561.41,0,"8,488",0,20,"495,260","2,063.58",,,,,,,
40210,PUERTO RICO              ,COAMO                  ,37,"659,901","1,486.26","550,020","1,238.78","34,622","42,973","32,286",33,"999,842","2,524.85",,,,,,,
40220,PUERTO RICO              ,COMERIO                ,15,"90,578",503.21,"70,201",390.01,"7,522","6,344","6,511",14,"344,509","2,050.65",,,,,,,
40230,PUERTO RICO              ,COROZAL                ,29,"345,302",992.25,"332,809",956.35,"1,429","11,004",60,22,"741,659","2,809.31",,,,,,,
40240,PUERTO RICO              ,CULEBRA                ,2,"66,241","2,760.04","65,991","2,749.63",0,250,0,1,"51,869","4,322.42",,,,,,,
40250,PUERTO RICO              ,DORADO                 ,20,"158,660",661.08,"143,870",599.46,"4,319","7,320","3,151",15,"639,760","3,554.22",,,,,,,
40260,PUERTO RICO              ,FAJARDO                ,31,"372,483","1,001.30","348,824",937.70,"3,967","16,805","2,887",25,"725,838","2,419.46",,,,,,,
40265,PUERTO RICO              ,FLORIDA                ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,,,,,,,
40270,PUERTO RICO              ,GUANICA                ,23,"224,366",812.92,"197,930",717.14,"7,088","12,271","7,077",17,"654,272","3,207.22",,,,,,,
40280,PUERTO RICO              ,GUAYAMA                ,27,"239,271",738.49,"199,940",617.10,"10,982","21,696","6,653",18,"477,096","2,208.78",,,,,,,
40290,PUERTO RICO              ,GUAYANILLA             ,16,"164,424",856.38,"138,790",722.86,"7,149","10,110","8,375",14,"403,189","2,399.93",,,,,,,
40300,PUERTO RICO              ,GUAYNABO               ,65,"540,255",692.63,"514,655",659.81,"5,877","17,286","2,437",50,"1,573,711","2,622.85",,,,,,,
40310,PUERTO RICO              ,GURABO                 ,28,"260,886",776.45,"255,757",761.18,0,"5,129",0,19,"573,228","2,514.16",,,,,,,
40320,PUERTO RICO              ,HATILLO                ,23,"290,877","1,053.90","270,768",981.04,616,"19,463",30,20,"613,482","2,556.18",,,,,,,
40330,PUERTO RICO              ,HORMIGUEROS            ,20,"337,400","1,405.83","308,587","1,285.78","11,787","6,858","10,168",16,"569,602","2,966.68",,,,,,,
40340,PUERTO RICO              ,HUMACAO                ,63,"547,922",724.76,"502,451",664.62,"3,308","40,177","1,986",55,"1,644,168","2,491.16",,,,,,,
40350,PUERTO RICO              ,ISABELA                ,46,"521,823",945.33,"459,632",832.67,"16,878","34,955","10,358",40,"1,292,797","2,693.33",,,,,,,
40360,PUERTO RICO              ,JAYUYA                 ,13,"99,302",636.55,"86,436",554.08,"3,697","4,585","4,584",9,"248,383","2,299.84",,,,,,,
40370,PUERTO RICO              ,JUANA DIAZ             ,44,"644,979","1,221.55","533,859","1,011.10","34,746","41,951","34,423",39,"1,343,963","2,871.72",,,,,,,
40380,PUERTO RICO              ,JUNCOS                 ,34,"255,322",625.79,"241,619",592.20,65,"13,479",159,29,"840,068","2,413.99",,,,,,,
40390,PUERTO RICO              ,LAJAS                  ,21,"275,391","1,092.82","245,171",972.90,"8,551","10,547","11,122",16,"674,100","3,510.94",,,,,,,
40400,PUERTO RICO              ,LARES                  ,16,"134,569",700.88,"122,458",637.80,929,"10,304",878,11,"263,309","1,994.77",,,,,,,
40410,PUERTO RICO              ,LAS MARIAS             ,2,"5,339",222.46,"4,826",201.08,0,513,0,2,"191,344","7,972.67",,,,,,,
40420,PUERTO RICO              ,LAS PIEDRAS            ,38,"187,879",412.02,"174,830",383.40,470,"12,420",159,33,"888,997","2,244.94",,,,,,,
40430,PUERTO RICO              ,LOIZA                  ,59,"400,415",565.56,"376,853",532.28,"8,860","4,218","10,484",46,"1,489,889","2,699.07",,,,,,,
40440,PUERTO RICO              ,LUQUILLO               ,3,0,0.00,0,0.00,0,0,0,1,"30,557","2,546.42",,,,,,,
40450,PUERTO RICO              ,MANATI                 ,32,"359,382",935.89,"337,884",879.91,"3,297","17,971",230,26,"886,328","2,840.79",,,,,,,
40460,PUERTO RICO              ,MARICAO                ,4,"24,521",510.85,"23,123",481.73,411,471,516,3,"88,546","2,459.61",,,,,,,
40470,PUERTO RICO              ,MAUNABO                ,11,"42,362",320.92,"36,778",278.62,"1,208","3,349","1,027",9,"224,656","2,080.15",,,,,,,
40480,PUERTO RICO              ,MAYAGUEZ               ,88,"954,626",904.00,"885,415",838.46,"30,510","11,579","27,122",76,"2,433,339","2,668.13",,,,,,,
40490,PUERTO RICO              ,MOCA                   ,30,"190,048",527.91,"180,834",502.32,"2,793","3,349","3,072",27,"925,106","2,855.27",,,,,,,
40500,PUERTO RICO              ,MOROVIS                ,16,"377,818","1,967.80","345,498","1,799.47","6,416","25,494",410,14,"478,675","2,849.26",,,,,,,
40510,PUERTO RICO              ,NAGUABO                ,17,"202,996",995.08,"190,299",932.84,0,"12,697",0,14,"494,035","2,940.68",,,,,,,
40520,PUERTO RICO              ,NARANJITO              ,25,"146,899",489.66,"131,828",439.43,"5,239","5,591","4,241",19,"680,510","2,984.69",,,,,,,
40530,PUERTO RICO              ,OROCOVIS               ,11,"63,258",479.23,"58,200",440.91,"1,022","3,542",494,9,"306,792","2,840.67",,,,,,,
40540,PUERTO RICO              ,PATILLAS               ,17,"297,018","1,455.97","254,049","1,245.34","14,420","25,219","3,330",14,"402,731","2,397.21",,,,,,,
40550,PUERTO RICO              ,PENUELAS               ,18,"170,977",791.56,"146,041",676.12,"7,744","9,727","7,465",16,"507,501","2,643.23",,,,,,,
40560,PUERTO RICO              ,PONCE                  ,197,"2,914,245","1,232.76","2,464,164","1,042.37","140,517","163,091","146,473",168,"5,182,161","2,570.52",,,,,,,
40570,PUERTO RICO              ,QUEBRADILLAS           ,12,"89,114",618.85,"87,261",605.98,0,"1,853",0,8,"334,685","3,486.30",,,,,,,
40580,PUERTO RICO              ,RINCON                 ,11,"102,847",779.14,"93,729",710.07,"3,055","2,380","3,683",10,"315,609","2,630.08",,,,,,,
40590,PUERTO RICO              ,RIO GRANDE             ,15,"20,709",115.05,"20,574",114.30,0,135,0,11,"265,158","2,008.77",,,,,,,
40610,PUERTO RICO              ,SABANA GRANDE          ,32,"355,489",925.75,"308,438",803.22,"12,176","17,556","17,319",29,"847,656","2,435.79",,,,,,,
40620,PUERTO RICO              ,SALINAS                ,35,"745,412","1,774.79","648,846","1,544.87","22,809","51,417","22,340",27,"944,406","2,914.83",,,,,,,
40630,PUERTO RICO              ,SAN GERMAN             ,55,"528,014",800.02,"462,644",700.98,"19,854","23,869","21,647",43,"1,596,793","3,094.56",,,,,,,
40640,PUERTO RICO              ,SAN JUAN               ,317,"2,668,024",701.37,"2,583,313",679.10,"19,334","49,101","16,276",270,"7,961,630","2,457.29",,,,,,,
40650,PUERTO RICO              ,SAN LORENZO            ,32,"287,816",749.52,"278,549",725.39,"2,319","5,468","1,480",30,"854,105","2,372.51",,,,,,,
40660,PUERTO RICO              ,SAN SEBASTIAN          ,35,"429,602","1,022.86","379,040",902.48,"10,242","29,962","10,358",30,"1,385,244","3,847.90",,,,,,,
40670,PUERTO RICO              ,SANTA ISABEL           ,15,"115,735",642.97,"96,461",535.89,"5,047","8,550","5,677",10,"371,935","3,099.46",,,,,,,
40680,PUERTO RICO              ,TOA ALTA               ,51,"332,397",543.13,"323,489",528.58,"1,925","5,632","1,351",39,"1,144,165","2,444.80",,,,,,,
40690,PUERTO RICO              ,TOA BAJA               ,20,"293,181","1,221.59","282,840","1,178.50","3,124","4,173","3,044",16,"470,592","2,451.00",,,,,,,
40700,PUERTO RICO              ,TRUJILLO ALTO          ,35,"302,665",720.63,"302,661",720.62,0,4,0,30,"832,556","2,312.66",,,,,,,
40710,PUERTO RICO              ,UTUADO                 ,6,"162,034","2,250.47","156,443","2,172.82",331,"5,206",54,5,"206,825","3,447.08",,,,,,,
40720,PUERTO RICO              ,VEGA ALTA              ,25,"278,017",926.72,"266,069",886.90,"1,429","10,449",70,21,"641,331","2,544.96",,,,,,,
40730,PUERTO RICO              ,VEGA BAJA              ,39,"451,253",964.22,"428,169",914.89,"2,398","20,526",160,36,"996,822","2,307.46",,,,,,,
40740,PUERTO RICO              ,VIEQUES                ,36,"145,903",337.74,"142,205",329.18,"1,971","1,315",412,29,"676,342","1,943.51",,,,,,,
40750,PUERTO RICO              ,VILLALBA               ,26,"434,833","1,393.70","367,622","1,178.28","18,474","27,200","21,537",22,"702,799","2,662.12",,,,,,,
40760,PUERTO RICO              ,YABUCOA                ,27,"152,335",470.17,"133,731",412.75,"1,204","16,079","1,321",25,"755,363","2,517.88",,,,,,,
40770,PUERTO RICO              ,YAUCO                  ,40,"514,627","1,072.14","453,713",945.24,"14,109","31,819","14,986",37,"1,248,117","2,811.07",,,,,,,
