SNF Wage Indices by Fiscal Year,,,,,,,,,
SSACD,State,County,CBSA 2016,SNF Wage 2010,SNF Wage 2011,SNF Wage 2012,SNF Wage 2013,SNF Wage 2014,SNF Wage 2016
01000,AL,AUTAUGA,33860,0.8304,0.8442,0.8103,0.7858,0.7475,0.7566
01020,AL,BARBOUR,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01030,AL,BIBB,13820,0.8554,0.8611,0.8436,0.8516,0.8367,0.8246
01040,AL,BLOUNT,13820,0.8554,0.8611,0.8436,0.8516,0.8367,0.8246
01050,AL,BULLOCK,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01060,AL,BUTLER,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01070,AL,CALHOUN,11500,0.7643,0.7918,0.7979,0.7539,0.7402,0.7073
01080,AL,CHAMBERS,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01090,AL,CHEROKEE,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01100,AL,CHILTON,13820,0.8554,0.8611,0.8436,0.8516,0.8367,0.8246
01110,AL,CHOCTAW,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01120,AL,CLARKE,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01130,AL,CLAY,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01140,AL,CLEBURNE,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01150,AL,COFFEE,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01160,AL,COLBERT,22520,0.7998,0.8144,0.7738,0.7679,0.7684,0.6802
01170,AL,CONECUH,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01180,AL,COOSA,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01190,AL,COVINGTON,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01200,AL,CRENSHAW,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01210,AL,CULLMAN,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01220,AL,DALE,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01230,AL,DALLAS,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01240,AL,DE KALB,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01250,AL,ELMORE,33860,0.8304,0.8442,0.8103,0.7858,0.7475,0.7566
01260,AL,ESCAMBIA,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01270,AL,ETOWAH,23460,0.8266,0.7180,0.7934,0.7697,0.7983,0.7301
01280,AL,FAYETTE,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01290,AL,FRANKLIN,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01300,AL,GENEVA,20020,0.7406,0.7435,0.7130,0.7398,0.7108,0.6908
01320,AL,HALE,46220,0.8698,0.8843,0.8664,0.8533,0.8500,0.8245
01330,AL,HENRY,20020,0.7406,0.7435,0.7130,0.7398,0.7108,0.6908
01340,AL,HOUSTON,20020,0.7406,0.7435,0.7130,0.7398,0.7108,0.6908
01350,AL,JACKSON,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01360,AL,JEFFERSON,13820,0.8554,0.8611,0.8436,0.8516,0.8367,0.8246
01370,AL,LAMAR,NA,0.7327,0.7380,0.7260,0.7121,0.7147,0.6910
01380,AL,LAUDERDALE,22520,0.7998,0.8144,0.7738,0.7679,0.7684,0.6802
