AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
01000,ALABAMA,AUTAUGA,"-739,877","-703,974","-447,475","-165,046","15,362"
01010,ALABAMA,BALDWIN,"-1,794,444","-1,595,758","-1,142,355","-421,559","-381,915"
01020,ALABAMA,BARBOUR,"-385,624","-396,054","-200,996","-329,065","-249,885"
01030,ALABAMA,BIBB,"-189,053","-193,841","-121,963","-63,259","-18,629"
01040,ALABAMA,BLOUNT,"-275,999","-255,378","-170,489","-129,722","-38,429"
01050,ALABAMA,BULLOCK,"-116,884","-83,126","-73,087","-33,905","-4,437"
01060,ALABAMA,BUTLER,"-466,236","-403,526","-251,990","-71,497","11,047"
01070,ALABAMA,CALHOUN,"-1,935,686","-2,251,559","-2,366,422","-1,147,455","-692,941"
01080,ALABAMA,CHAMBERS,"-424,164","-461,807","-111,460","1,787","-2,081"
01090,ALABAMA,CHEROKEE,"-282,491","-144,658","-269,049","-199,167","-147,540"
01100,ALABAMA,CHILTON,"-255,668","-273,687","-129,536","-148,650","-31,284"
01110,ALABAMA,CHOCTAW,"-197,161","-180,542","-158,929","-99,137","-29,930"
01120,ALABAMA,CLARKE,"-303,319","-323,794","-254,140","-53,060","-57,665"
01130,ALABAMA,CLAY,"-227,487","-202,564","-165,226","-110,490","-59,378"
01140,ALABAMA,CLEBURNE,"-199,456","-264,696","-271,321","-131,787","-88,332"
01150,ALABAMA,COFFEE,"-960,519","-837,124","-436,533","-651,447","-536,804"
01160,ALABAMA,COLBERT,"-1,420,096","-1,517,407","-976,925","-732,285","-655,237"
01170,ALABAMA,CONECUH,"-246,135","-208,586","-139,738","-58,915","-40,692"
01180,ALABAMA,COOSA,"-175,094","-157,558","-85,147","-55,115","-25,375"
01190,ALABAMA,COVINGTON,"-1,007,307","-846,342","-486,218","-459,677","-348,473"
01200,ALABAMA,CRENSHAW,"-318,682","-289,804","-199,094","-105,339","-63,789"
01210,ALABAMA,CULLMAN,"-575,026","-512,592","-267,487","-105,934","-14,561"
