AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-158,909","-169,197","-127,817","-55,272","4,780"
01010,ALABAMA,BALDWIN,"-608,465","-532,906","-402,486","-181,190","-177,681"
01020,ALABAMA,BARBOUR,"-121,559","-150,494","-152,188","-179,677","-143,167"
01030,ALABAMA,BIBB,"-40,349","-44,217","-32,566","-33,038","-19,799"
01040,ALABAMA,BLOUNT,"-65,648","-63,592","-39,579","-43,190","-12,030"
01050,ALABAMA,BULLOCK,"-22,334","-24,164","-24,562","-12,939","-4,330"
01060,ALABAMA,BUTLER,"-89,573","-94,118","-64,911","-19,605","9,226"
01070,ALABAMA,CALHOUN,"-434,421","-545,376","-660,724","-346,180","-236,369"
01080,ALABAMA,CHAMBERS,"-104,938","-122,218","-67,770","-25,571",750
01090,ALABAMA,CHEROKEE,"-73,081","-44,639","-59,774","-54,161","-47,454"
01100,ALABAMA,CHILTON,"-61,627","-58,098","-37,843","-37,845","-11,777"
01110,ALABAMA,CHOCTAW,"-60,917","-56,903","-44,847","-23,535","-11,831"
01120,ALABAMA,CLARKE,"-80,431","-76,576","-59,202","-17,705","-14,410"
01130,ALABAMA,CLAY,"-52,637","-51,044","-49,503","-35,341","-23,434"
01140,ALABAMA,CLEBURNE,"-44,819","-63,202","-67,937","-34,759","-26,414"
01150,ALABAMA,COFFEE,"-256,546","-230,494","-125,558","-193,752","-166,863"
01160,ALABAMA,COLBERT,"-378,734","-383,944","-289,138","-220,315","-221,472"
01170,ALABAMA,CONECUH,"-39,670","-46,977","-30,928","-11,325","-8,971"
01180,ALABAMA,COOSA,"-59,240","-48,637","-39,081","-28,090","-16,973"
01190,ALABAMA,COVINGTON,"-192,895","-183,129","-118,074","-112,070","-80,483"
01200,ALABAMA,CRENSHAW,"-60,325","-59,222","-40,696","-32,143","-14,096"
01210,ALABAMA,CULLMAN,"-168,924","-132,954","-102,294","-39,284","33,662"
01220,ALABAMA,DALE,"-369,609","-338,386","-168,921","-284,362","-313,091"
01230,ALABAMA,DALLAS,"-115,452","-97,823","-84,223","-53,134","-16,302"
01240,ALABAMA,DE KALB,"-289,853","-166,641","-111,250","-60,152","-36,468"
01250,ALABAMA,ELMORE,"-288,094","-283,605","-218,622","-97,035","7,893"
01260,ALABAMA,ESCAMBIA,"-108,942","-99,589","-58,758","10,771","32,368"
01270,ALABAMA,ETOWAH,"-307,196","-193,012","-349,612","-316,867","-176,236"
01280,ALABAMA,FAYETTE,"-25,966","-36,765","-24,026","-40,355","-40,396"
01290,ALABAMA,FRANKLIN,"-160,692","-147,842","-102,966","-79,918","-82,036"
01300,ALABAMA,GENEVA,"-199,807","-176,099","-96,729","-167,882","-177,697"
01310,ALABAMA,GREENE,"-25,328","-29,315","-35,394","-31,501","-9,106"
01320,ALABAMA,HALE,"-57,916","-59,015","-46,193","-43,100","-37,351"
01330,ALABAMA,HENRY,"-126,227","-126,778","-68,260","-120,078","-137,830"
01340,ALABAMA,HOUSTON,"-707,288","-623,987","-319,584","-679,800","-692,088"
01350,ALABAMA,JACKSON,"-94,788","-76,237","88,723","157,073","87,439"
01360,ALABAMA,JEFFERSON,"-754,803","-822,737","-519,671","-611,069","-235,739"
01370,ALABAMA,LAMAR,"-43,672","-43,721","-31,119","-37,569","-34,155"
01380,ALABAMA,LAUDERDALE,"-533,013","-515,330","-348,521","-278,260","-273,179"
01390,ALABAMA,LAWRENCE,"-148,154","-162,065","-109,095","-34,576","-28,660"
01400,ALABAMA,LEE,"-215,748","-321,057","-343,695","-209,280","24,613"
01410,ALABAMA,LIMESTONE,"-147,605","-172,729","-53,057","85,581","109,876"
01420,ALABAMA,LOWNDES,"-26,721","-28,296","-18,637","-11,154","2,030"
01430,ALABAMA,MACON,"-45,571","-53,775","-53,360","-28,066","1,080"
01440,ALABAMA,MADISON,"-529,233","-622,249","-171,128","347,407","431,012"
01450,ALABAMA,MARENGO,"-51,727","-54,425","-42,537","-35,583","-28,232"
01460,ALABAMA,MARION,"-65,236","-66,924","-45,361","-61,146","-59,262"
01470,ALABAMA,MARSHALL,"-369,455","-301,460","-109,347","1,233","96,454"
01480,ALABAMA,MOBILE,"-603,508","-637,443","-664,078","-129,070","-185,740"
01490,ALABAMA,MONROE,"-59,304","-70,031","-58,722","-20,583","-20,342"
01500,ALABAMA,MONTGOMERY,"-641,473","-671,847","-492,411","-205,189","22,143"
01510,ALABAMA,MORGAN,"-496,886","-536,251","-289,544","139,274","164,632"
01520,ALABAMA,PERRY,"-30,588","-27,481","-24,242","-17,305","-10,952"
01530,ALABAMA,PICKENS,"-25,323","-32,704","-20,596","-14,425","-22,555"
01540,ALABAMA,PIKE,"-125,650","-154,453","-107,031","-70,702","6,913"
01550,ALABAMA,RANDOLPH,"-64,108","-87,471","-92,152","-55,182","-30,468"
01560,ALABAMA,RUSSELL,"-149,088","-215,834","-218,143","-141,034","52,677"
01570,ALABAMA,ST. CLAIR,"-87,570","-88,558","-66,608","-76,510","-29,373"
01580,ALABAMA,SHELBY,"-136,954","-139,145","-93,939","-106,568","-37,384"
