AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
01000,ALABAMA,AUTAUGA,-594601.01,-552847.71,-491522.8,-274359.18,-72674.86,-287757.05
01010,ALABAMA,BALDWIN,-23963.58,-259656.94,-562270.51,-145791.57,-86178.4,-229965.79
01020,ALABAMA,BARBOUR,-174739.88,-242337.74,-230937.7,-150689.61,-35187.87,-125664.82
01030,ALABAMA,BIBB,-151702.5,-144860.55,-167766.39,-166094.39,-35275.88,-135591.18
01040,ALABAMA,BLOUNT,-99311.93,-125116.31,-175079.57,-130949.84,-59864.29,-192923.43
01050,ALABAMA,BULLOCK,-124760.79,-64153.14,-60853.36,-63661.48,-20044.22,-73879.05
01060,ALABAMA,BUTLER,-554209.09,-503259.11,-493488.48,-272929.93,-42329.84,-170954.71
01070,ALABAMA,CALHOUN,-1557280.31,-1557460.14,-1726344.72,-1309784.69,-317273.17,-1211144.98
01080,ALABAMA,CHAMBERS,-900060.95,-992675.12,-881720.97,-616043.67,-164423.3,-307897.03
01090,ALABAMA,CHEROKEE,-235654.11,-285614.27,-321520.51,-187816.76,-44697.73,-185247.82
01100,ALABAMA,CHILTON,-175395.4,-138091,-110752.71,-126448.5,-59482.85,-201179.53
01110,ALABAMA,CHOCTAW,-252121.23,-214380.9,-215121.7,-170028.82,-42018.38,-166182.79
01120,ALABAMA,CLARKE,-91828.31,-101924.32,-77070.5,-28656.06,-58357.74,-183269.25
01130,ALABAMA,CLAY,-18594.47,-53358.1,-86585.92,-114546.52,-11618.12,-46761.15
01140,ALABAMA,CLEBURNE,-192342.42,-185285.02,-242731.25,-139945.21,-38138.16,-147081.26
01150,ALABAMA,COFFEE,-473384.15,-447242.98,-400036.65,-297408.4,-66298.16,-251059.39
01160,ALABAMA,COLBERT,-601955.19,-809344.37,-796256.09,-481786,-140477.28,-494119.74
01170,ALABAMA,CONECUH,-234502.1,-206846.55,-179592.12,-156329.39,-33593.99,-143393.47
01180,ALABAMA,COOSA,-176582.8,-184199.61,-140284.76,-107424.18,-21826.58,-70921.18
01190,ALABAMA,COVINGTON,-955723.87,-926474.63,-864255.51,-668307.75,-124167.55,-434852.26
01200,ALABAMA,CRENSHAW,-385309.24,-341163.3,-302276.85,-200594.12,-24607.38,-102943.68
01210,ALABAMA,CULLMAN,-1208178.46,-1365582.77,-1351435.53,-988191.32,-84886.8,-239352.07
01220,ALABAMA,DALE,-566091.5,-603190.38,-466391.03,-351504.3,-81966.6,-361526.52
01230,ALABAMA,DALLAS,-2051259.58,-2269104.88,-1728885.35,-1283598.08,-108288.56,-443557.26
01240,ALABAMA,DE KALB,-424438.17,-434309.87,-548596.19,-401212.6,-121750.92,-454847.72
01250,ALABAMA,ELMORE,-1040299.28,-803694.14,-858549.29,-623437.09,-144122.68,-568784.83
01260,ALABAMA,ESCAMBIA,-250291.75,-274629.66,-347166.89,-274255.85,-110929.45,-403929.8
01270,ALABAMA,ETOWAH,-730496.04,-819281.5,-1126959.07,-907727.5,-356242.45,-1331448.38
01280,ALABAMA,FAYETTE,-183982.15,-216012.8,-281629.24,-220671.33,-34016.98,-149078.86
01290,ALABAMA,FRANKLIN,-477763.77,-559802.2,-555618.06,-299684.21,-86851.29,-307423.53
01300,ALABAMA,GENEVA,-322229.79,-423008.98,-299976.07,-206758.58,-48280.44,-193634.86
01310,ALABAMA,GREENE,-94664.99,-58833.17,-118131.86,-119285.57,-23951.62,-95590.5
01320,ALABAMA,HALE,-234019.28,-184278.44,-275654.31,-286392.33,-50147.55,-175755.04
01330,ALABAMA,HENRY,-212971.55,-233042.45,-176057.25,-154518.04,-39857.88,-137966.38
01340,ALABAMA,HOUSTON,-1019183.8,-1036660.56,-986373.2,-830381.65,-189102.92,-795864.27
01350,ALABAMA,JACKSON,-763426.47,-846907.87,-713031.81,-537003.47,-188947.29,-737226.6
01360,ALABAMA,JEFFERSON,434775.88,-134910.91,-684258.68,-769730.39,-936448.78,-3387233.23
01370,ALABAMA,LAMAR,-310760.26,-267829.35,-328820.19,-254283.06,-45427.81,-152070.83
01380,ALABAMA,LAUDERDALE,-876496.6,-985412.88,-890882.98,-726395.69,-247927.35,-917951.56
