AGED -- 2014  REIMBURSEMENT FOR COST CONTRACTS FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE                        DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
01000,ALABAMA,AUTAUGA,0,0,0,,,,,,
01010,ALABAMA,BALDWIN,"44,813","44,813","60,529",,,,,,
01020,ALABAMA,BARBOUR,0,0,"6,271",,,,,,
01030,ALABAMA,BIBB,"31,273","31,273","43,787",,,,,,
01040,ALABAMA,BLOUNT,"92,903","92,903","21,397",,,,,,
01050,ALABAMA,BULLOCK,0,0,0,,,,,,
01060,ALABAMA,BUTLER,0,0,0,,,,,,
01070,ALABAMA,CALHOUN,0,0,"1,486",,,,,,
01080,ALABAMA,CHAMBERS,0,0,0,,,,,,
01090,ALABAMA,CHEROKEE,0,0,0,,,,,,
01100,ALABAMA,CHILTON,0,0,"10,831",,,,,,
01110,ALABAMA,CHOCTAW,0,0,0,,,,,,
01120,ALABAMA,CLARKE,0,0,"1,307",,,,,,
01130,ALABAMA,CLAY,0,0,0,,,,,,
01140,ALABAMA,CLEBURNE,0,0,0,,,,,,
01150,ALABAMA,COFFEE,0,0,0,,,,,,
01160,ALABAMA,COLBERT,0,0,0,,,,,,
01170,ALABAMA,CONECUH,0,0,0,,,,,,
01180,ALABAMA,COOSA,0,0,0,,,,,,
01190,ALABAMA,COVINGTON,"2,820","2,820","5,050",,,,,,
01200,ALABAMA,CRENSHAW,0,0,198,,,,,,
01210,ALABAMA,CULLMAN,"111,657","111,515","23,873",,,,,,
01220,ALABAMA,DALE,0,0,0,,,,,,
01230,ALABAMA,DALLAS,0,0,0,,,,,,
01240,ALABAMA,DE KALB,"11,138","11,138","20,320",,,,,,
01250,ALABAMA,ELMORE,"39,553","39,553","52,443",,,,,,
01260,ALABAMA,ESCAMBIA,0,0,"2,046",,,,,,
01270,ALABAMA,ETOWAH,"13,798","13,798","2,252",,,,,,
01280,ALABAMA,FAYETTE,"52,291","52,291","10,440",,,,,,
01290,ALABAMA,FRANKLIN,0,0,0,,,,,,
01300,ALABAMA,GENEVA,0,0,0,,,,,,
01310,ALABAMA,GREENE,0,0,0,,,,,,
01320,ALABAMA,HALE,0,0,772,,,,,,
01330,ALABAMA,HENRY,0,0,0,,,,,,
01340,ALABAMA,HOUSTON,0,0,0,,,,,,
01350,ALABAMA,JACKSON,0,0,"7,309",,,,,,
01360,ALABAMA,JEFFERSON,"1,784,416","1,782,478","412,855",,,,,,
01370,ALABAMA,LAMAR,0,0,0,,,,,,
01380,ALABAMA,LAUDERDALE,"8,292","8,292",787,,,,,,
01390,ALABAMA,LAWRENCE,0,0,0,,,,,,
01400,ALABAMA,LEE,"24,082","24,082",207,,,,,,
01410,ALABAMA,LIMESTONE,0,0,"1,703",,,,,,
01420,ALABAMA,LOWNDES,0,0,0,,,,,,
01430,ALABAMA,MACON,0,0,0,,,,,,
01440,ALABAMA,MADISON,"94,149","94,149","42,577",,,,,,
01450,ALABAMA,MARENGO,0,0,0,,,,,,
01460,ALABAMA,MARION,"145,361","145,220","39,449",,,,,,
01470,ALABAMA,MARSHALL,0,0,"6,534",,,,,,
01480,ALABAMA,MOBILE,0,0,"11,894",,,,,,
01490,ALABAMA,MONROE,0,0,0,,,,,,
01500,ALABAMA,MONTGOMERY,"26,568","26,568","30,380",,,,,,
01510,ALABAMA,MORGAN,"85,036","84,871","5,089",,,,,,
01520,ALABAMA,PERRY,0,0,0,,,,,,
01530,ALABAMA,PICKENS,0,0,0,,,,,,
01540,ALABAMA,PIKE,0,0,0,,,,,,
01550,ALABAMA,RANDOLPH,0,0,0,,,,,,
01560,ALABAMA,RUSSELL,0,0,0,,,,,,
01570,ALABAMA,ST. CLAIR,0,0,"4,332",,,,,,
01580,ALABAMA,SHELBY,"84,681","84,681","35,441",,,,,,
01590,ALABAMA,SUMTER,"23,645","23,645","1,612",,,,,,
01600,ALABAMA,TALLADEGA,0,0,795,,,,,,
01610,ALABAMA,TALLAPOOSA,0,0,0,,,,,,
01620,ALABAMA,TUSCALOOSA,"192,958","192,851","50,669",,,,,,
01630,ALABAMA,WALKER,"1,258,510","1,256,732","409,856",,,,,,
01640,ALABAMA,WASHINGTON,0,0,0,,,,,,
01650,ALABAMA,WILCOX,0,0,0,,,,,,
01660,ALABAMA,WINSTON,"94,917","94,917","14,043",,,,,,
02010,ALASKA,ALEUTIANS ISLANDS,0,0,0,,,,,,
02020,ALASKA,ANCHORAGE,"43,899","43,899","35,929",,,,,,
02040,ALASKA,BARROW DIVISION,0,0,0,,,,,,
02050,ALASKA,BETHEL,0,0,0,,,,,,
02060,ALASKA,BRISTOL BAY BOROUGH,0,0,0,,,,,,
02070,ALASKA,DILLINGHAM,0,0,0,,,,,,
02080,ALASKA,CORDOVA-MC CARTHY,0,0,"4,710",,,,,,
02090,ALASKA,FAIRBANKS NORTH STAR,"21,198","21,198","8,265",,,,,,
02100,ALASKA,HAINES,0,0,0,,,,,,
02110,ALASKA,JUNEAU,0,0,0,,,,,,
