DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT - NON-CBA          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-26,206","-26,678","-31,346","-22,603","-24,143"
01010,ALABAMA,BALDWIN,"-88,216","-84,131","-104,971","-112,200","-100,838"
01020,ALABAMA,BARBOUR,"-17,400","-16,929","-26,411","-23,197","-23,143"
01030,ALABAMA,BIBB,-521,-36,0,0,0
01040,ALABAMA,BLOUNT,"-1,841","-1,841","-2,967","-2,552","-2,352"
01050,ALABAMA,BULLOCK,"-4,989","-5,189","-4,381","-6,380","-6,670"
01060,ALABAMA,BUTLER,"-21,054","-20,367","-24,822","-26,354","-31,234"
01070,ALABAMA,CALHOUN,"-120,816","-142,598","-151,573","-155,903","-137,925"
01080,ALABAMA,CHAMBERS,"-35,661","-35,567","-38,154","-36,106","-38,943"
01090,ALABAMA,CHEROKEE,"-18,099","-17,332","-21,091","-20,638","-20,159"
01100,ALABAMA,CHILTON,0,-312,-330,-285,-7
01110,ALABAMA,CHOCTAW,"-13,701","-13,784","-13,603","-16,160","-16,168"
01120,ALABAMA,CLARKE,"-18,603","-15,127","-19,962","-17,387","-16,943"
01130,ALABAMA,CLAY,"-7,730","-7,810","-7,406","-10,248","-13,473"
01140,ALABAMA,CLEBURNE,"-17,885","-18,753","-21,757","-18,030","-18,389"
01150,ALABAMA,COFFEE,"-29,159","-30,113","-37,003","-38,794","-40,046"
01160,ALABAMA,COLBERT,"-55,462","-63,178","-65,235","-61,442","-56,904"
01170,ALABAMA,CONECUH,"-16,680","-13,011","-15,521","-19,535","-18,918"
01180,ALABAMA,COOSA,"-14,848","-10,986","-15,055","-13,193","-16,307"
01190,ALABAMA,COVINGTON,"-28,487","-35,949","-44,641","-45,738","-44,737"
01200,ALABAMA,CRENSHAW,"-14,664","-15,507","-20,652","-18,744","-21,330"
01210,ALABAMA,CULLMAN,"-73,327","-75,146","-82,700","-76,047","-82,709"
01220,ALABAMA,DALE,"-46,411","-44,470","-57,553","-59,400","-59,404"
01230,ALABAMA,DALLAS,"-51,774","-55,655","-64,715","-60,412","-54,030"
01240,ALABAMA,DE KALB,"-40,971","-41,927","-48,605","-52,476","-48,079"
01250,ALABAMA,ELMORE,"-42,540","-49,533","-45,719","-45,382","-40,979"
01260,ALABAMA,ESCAMBIA,"-28,949","-31,828","-32,214","-30,936","-36,440"
01270,ALABAMA,ETOWAH,"-99,993","-99,783","-123,431","-123,881","-110,211"
01280,ALABAMA,FAYETTE,"-20,697","-18,737","-20,892","-20,599","-19,621"
01290,ALABAMA,FRANKLIN,"-33,898","-40,087","-42,384","-42,752","-44,548"
01300,ALABAMA,GENEVA,"-27,831","-31,182","-36,064","-34,680","-31,049"
01310,ALABAMA,GREENE,"-11,800","-9,971","-13,778","-11,865","-12,455"
01320,ALABAMA,HALE,"-22,226","-24,040","-26,050","-30,773","-28,107"
01330,ALABAMA,HENRY,"-16,706","-18,985","-19,166","-21,708","-19,944"
01340,ALABAMA,HOUSTON,"-82,119","-90,737","-112,036","-124,815","-122,684"
01350,ALABAMA,JACKSON,"-52,358","-51,720","-58,574","-51,578","-47,213"
01360,ALABAMA,JEFFERSON,"-8,502","-10,770","-11,252","-11,817","-9,601"
01370,ALABAMA,LAMAR,"-16,219","-16,068","-21,698","-20,250","-19,243"
01380,ALABAMA,LAUDERDALE,"-84,545","-95,740","-107,322","-108,029","-100,188"
01390,ALABAMA,LAWRENCE,"-33,910","-38,009","-38,596","-32,108","-28,519"
01400,ALABAMA,LEE,"-68,297","-77,226","-88,112","-93,687","-93,989"
01410,ALABAMA,LIMESTONE,"-57,686","-54,268","-59,955","-53,661","-56,283"
01420,ALABAMA,LOWNDES,"-8,382","-4,533","-8,792","-9,284","-8,674"
01430,ALABAMA,MACON,"-16,169","-16,063","-19,310","-19,602","-17,729"
01440,ALABAMA,MADISON,"-144,121","-159,142","-170,679","-161,735","-161,150"
01450,ALABAMA,MARENGO,"-17,965","-22,125","-22,774","-23,325","-19,970"
01460,ALABAMA,MARION,"-31,165","-29,390","-35,565","-34,326","-27,263"
01470,ALABAMA,MARSHALL,"-80,298","-79,878","-100,393","-104,587","-91,252"
01480,ALABAMA,MOBILE,"-209,301","-207,334","-240,311","-246,903","-242,980"
01490,ALABAMA,MONROE,"-19,745","-19,583","-21,999","-19,489","-18,725"
01500,ALABAMA,MONTGOMERY,"-82,998","-94,512","-114,531","-122,819","-117,630"
01510,ALABAMA,MORGAN,"-107,193","-113,234","-134,368","-118,819","-126,828"
01520,ALABAMA,PERRY,"-8,881","-12,751","-14,723","-14,140","-12,685"
01530,ALABAMA,PICKENS,"-20,592","-21,477","-31,408","-27,851","-22,174"
01540,ALABAMA,PIKE,"-27,449","-28,068","-37,110","-29,354","-30,122"
01550,ALABAMA,RANDOLPH,"-32,458","-31,921","-35,673","-35,981","-33,704"
01560,ALABAMA,RUSSELL,"-41,383","-47,141","-52,685","-48,679","-51,235"
01570,ALABAMA,ST. CLAIR,0,0,0,0,0
01580,ALABAMA,SHELBY,-278,-39,-1,0,0
01590,ALABAMA,SUMTER,"-8,363","-10,013","-11,443","-10,328","-12,370"
01600,ALABAMA,TALLADEGA,"-71,850","-70,277","-79,446","-91,469","-90,508"
01610,ALABAMA,TALLAPOOSA,"-54,594","-54,057","-64,668","-63,897","-64,265"
01620,ALABAMA,TUSCALOOSA,"-139,228","-134,504","-150,827","-157,203","-147,192"
01630,ALABAMA,WALKER,"-1,017",-884,"-2,508","-2,611","-1,399"
01640,ALABAMA,WASHINGTON,"-12,126","-14,417","-15,732","-16,112","-15,919"
01650,ALABAMA,WILCOX,"-11,510","-14,878","-18,103","-11,982","-14,545"
01660,ALABAMA,WINSTON,"-28,001","-28,760","-36,184","-34,386","-31,604"
02010,ALASKA,ALEUTIANS ISLANDS,-235,-391,-882,-582,-552
02020,ALASKA,ANCHORAGE,"-73,979","-78,602","-88,953","-85,052","-77,177"
02040,ALASKA,BARROW DIVISION,-895,"-1,390","-1,909",-830,"-1,429"
02050,ALASKA,BETHEL,-450,-562,"-1,246",-385,-293
02060,ALASKA,BRISTOL BAY BOROUGH,"-1,723",-726,-759,"-1,172","-1,554"
02070,ALASKA,DILLINGHAM,"-1,161","-1,085","-1,537","-1,266",-571
02080,ALASKA,CORDOVA-MC CARTHY,-293,-27,0,-370,-197
02090,ALASKA,FAIRBANKS NORTH STAR,"-16,313","-10,457","-13,099","-13,432","-15,969"
02100,ALASKA,HAINES,-742,-604,-615,-484,-639
02110,ALASKA,JUNEAU,"-9,083","-8,315","-7,848","-9,031","-7,949"
02120,ALASKA,KENAI-COOK INLET DIVISION,"-21,070","-21,885","-26,701","-24,391","-18,839"
02130,ALASKA,KETCHIKAN GATEWAY,"-2,211","-1,293","-2,843","-2,811","-1,356"
02140,ALASKA,KOBUK,-83,0,-51,-385,-288
02150,ALASKA,KODIAK ISLAND BOROUGH,"-1,008","-1,812","-1,391",-392,-417
02160,ALASKA,KUSKOKWIN,-40,0,0,0,0
02170,ALASKA,MATANUSKA-SUSITNA,"-21,043","-23,415","-28,131","-26,854","-23,455"
02180,ALASKA,NOME,-825,-357,"-1,588",-960,-794
02190,ALASKA,OUTER KETCHIKAN DIVISION,-97,-405,-90,-435,-440
02200,ALASKA,PRINCE OF WALES,"-1,245",-891,-691,-800,-461
02210,ALASKA,SEWARD,-773,"-1,046","-1,272","-1,033","-1,241"
02220,ALASKA,SITKA BOROUGH,"-2,001","-2,770","-2,019","-1,478","-1,474"
02230,ALASKA,SKAGWAY-YAKUTAT,-633,-101,-220,-381,"-1,817"
02240,ALASKA,SOUTHEAST FAIRBANKS,"-1,231","-1,092",-428,-863,-619
02250,ALASKA,UPPER YUKON,-21,-68,-74,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"-1,399",-986,"-1,912",-845,"-1,223"
02270,ALASKA,WADE HAMPTON,-256,-262,-637,-784,-350
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,-333,-807,-881,"-1,551",-509
02290,ALASKA,YUKON-KOYUKUK,-828,"-1,166",-300,-743,-715
03000,ARIZONA,APACHE,"-21,121","-21,881","-24,122","-24,661","-23,602"
03010,ARIZONA,COCHISE,"-58,882","-52,298","-58,404","-46,450","-39,468"
03020,ARIZONA,COCONINO,"-52,133","-47,536","-52,670","-54,767","-46,540"
03030,ARIZONA,GILA,"-39,131","-38,805","-36,370","-38,314","-32,042"
03040,ARIZONA,GRAHAM,"-16,793","-16,968","-15,952","-11,242","-7,036"
03050,ARIZONA,GREENLEE,"-1,826","-1,671","-2,004","-2,629","-2,027"
03055,ARIZONA,LAPAZ,"-9,049","-6,559","-8,475","-10,456","-6,537"
03060,ARIZONA,MARICOPA,"-4,542","-3,483","-2,642","-2,639","-3,102"
