DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
01000,ALABAMA,AUTAUGA,"-144,361","-134,872","-73,351","-41,349",-666
01010,ALABAMA,BALDWIN,"-328,880","-283,988","-209,124","-76,640","-50,443"
01020,ALABAMA,BARBOUR,"-131,338","-115,364","-53,841","-98,055","-93,593"
01030,ALABAMA,BIBB,"-70,504","-68,534","-42,874","-25,212","-7,802"
01040,ALABAMA,BLOUNT,"-76,725","-58,887","-39,869","-37,268","-8,290"
01050,ALABAMA,BULLOCK,"-30,432","-25,417","-11,699","-7,562","1,429"
01060,ALABAMA,BUTLER,"-149,571","-127,361","-76,591","-27,124","4,846"
01070,ALABAMA,CALHOUN,"-547,087","-733,309","-682,736","-334,456","-221,366"
01080,ALABAMA,CHAMBERS,"-110,309","-138,086","-58,047","-16,924",461
01090,ALABAMA,CHEROKEE,"-87,720","-47,538","-74,257","-67,657","-47,161"
01100,ALABAMA,CHILTON,"-60,890","-72,573","-41,292","-32,675","-8,483"
01110,ALABAMA,CHOCTAW,"-55,033","-60,778","-35,195","-25,420","-14,853"
01120,ALABAMA,CLARKE,"-79,411","-76,095","-68,846","-12,858","-14,286"
01130,ALABAMA,CLAY,"-54,262","-61,865","-48,013","-27,754","-19,292"
01140,ALABAMA,CLEBURNE,"-68,826","-95,080","-87,320","-33,788","-25,627"
01150,ALABAMA,COFFEE,"-191,460","-178,259","-124,158","-203,971","-152,086"
01160,ALABAMA,COLBERT,"-405,072","-372,115","-253,596","-214,952","-167,512"
01170,ALABAMA,CONECUH,"-85,518","-81,767","-55,388","-17,418","-13,995"
01180,ALABAMA,COOSA,"-51,047","-52,557","-34,751","-20,795","-13,818"
01190,ALABAMA,COVINGTON,"-273,029","-210,407","-130,343","-101,204","-107,415"
01200,ALABAMA,CRENSHAW,"-83,219","-67,466","-54,572","-25,539","-9,768"
01210,ALABAMA,CULLMAN,"-153,645","-125,454","-86,832","-44,938","-4,831"
01220,ALABAMA,DALE,"-383,439","-286,511","-178,295","-274,550","-214,446"
01230,ALABAMA,DALLAS,"-107,782","-102,480","-92,037","-56,947","-9,550"
01240,ALABAMA,DE KALB,"-120,594","-86,252","-90,934","-42,819","-16,416"
01250,ALABAMA,ELMORE,"-280,628","-271,391","-149,843","-70,687","-1,194"
01260,ALABAMA,ESCAMBIA,"-118,670","-114,300","-54,525","25,671","32,548"
01270,ALABAMA,ETOWAH,"-477,188","-302,279","-455,050","-409,492","-223,827"
01280,ALABAMA,FAYETTE,"-47,467","-50,452","-32,633","-15,431","-9,762"
01290,ALABAMA,FRANKLIN,"-211,602","-218,947","-131,656","-111,743","-89,099"
01300,ALABAMA,GENEVA,"-216,502","-202,674","-107,068","-138,509","-140,417"
01310,ALABAMA,GREENE,"-30,441","-31,978","-13,825","12,112","5,379"
01320,ALABAMA,HALE,"-95,460","-113,527","-68,213","-9,930","-6,854"
01330,ALABAMA,HENRY,"-136,050","-101,853","-59,653","-112,062","-78,761"
01340,ALABAMA,HOUSTON,"-811,101","-701,978","-371,388","-719,116","-667,537"
01350,ALABAMA,JACKSON,"-83,284","-103,507","-14,178","47,430","43,592"
01360,ALABAMA,JEFFERSON,"-958,043","-1,046,981","-632,456","-667,233","-211,917"
01370,ALABAMA,LAMAR,"-50,708","-53,834","-37,936","-19,781","-18,805"
01380,ALABAMA,LAUDERDALE,"-558,341","-589,329","-413,841","-343,307","-287,795"
01390,ALABAMA,LAWRENCE,"-236,434","-239,963","-144,769","-44,242","-20,957"
01400,ALABAMA,LEE,"-239,672","-271,430","-236,098","-155,402","8,197"
01410,ALABAMA,LIMESTONE,"-176,019","-174,896","-60,011","63,313","72,282"
01420,ALABAMA,LOWNDES,"-50,950","-50,173","-28,969","-6,542","1,844"
01430,ALABAMA,MACON,"-73,498","-99,084","-69,150","-32,979","1,815"
01440,ALABAMA,MADISON,"-421,770","-451,886","-144,156","181,511","230,118"
01450,ALABAMA,MARENGO,"-55,006","-62,796","-39,955","-10,560","-2,584"
01460,ALABAMA,MARION,"-82,513","-98,825","-62,972","-48,657","-30,844"
01470,ALABAMA,MARSHALL,"-404,697","-266,591","-110,872","-16,509","44,105"
01480,ALABAMA,MOBILE,"-750,823","-939,539","-866,732","-194,249","-252,711"
01490,ALABAMA,MONROE,"-37,509","-60,734","-41,775","-8,258","-12,384"
01500,ALABAMA,MONTGOMERY,"-812,473","-809,501","-513,767","-205,609","15,345"
01510,ALABAMA,MORGAN,"-626,030","-681,615","-356,155","129,988","135,620"
01520,ALABAMA,PERRY,"-24,335","-29,718","-22,173","-3,993","-2,992"
01530,ALABAMA,PICKENS,"-67,679","-85,139","-76,236","-12,068","-4,497"
01540,ALABAMA,PIKE,"-164,632","-151,128","-98,592","-91,116","-24,601"
01550,ALABAMA,RANDOLPH,"-77,781","-105,261","-76,382","-52,080","-23,708"
01560,ALABAMA,RUSSELL,"-135,776","-189,177","-201,338","-97,641","37,389"
01570,ALABAMA,ST. CLAIR,"-107,566","-115,090","-69,068","-73,673","-34,632"
01580,ALABAMA,SHELBY,"-115,496","-127,477","-84,703","-82,451","-23,047"
01590,ALABAMA,SUMTER,"-52,921","-57,767","-45,762","-21,177","-12,271"
01600,ALABAMA,TALLADEGA,"-377,481","-394,258","-218,991","-141,260","-77,633"
01610,ALABAMA,TALLAPOOSA,"-197,801","-238,009","-135,344","-93,786","-28,827"
01620,ALABAMA,TUSCALOOSA,"-806,951","-917,893","-565,724","-57,650","-32,559"
01630,ALABAMA,WALKER,"-231,225","-234,498","-126,276","-131,957","-32,830"
01640,ALABAMA,WASHINGTON,"-37,153","-70,116","-50,647","-11,491","-11,458"
01650,ALABAMA,WILCOX,"-40,901","-60,071","-45,422","-16,079","-2,924"
01660,ALABAMA,WINSTON,"-107,096","-94,662","-58,812","-40,959","-37,848"
02010,ALASKA,ALEUTIANS ISLANDS,950,0,"5,307","1,460","-1,727"
02020,ALASKA,ANCHORAGE,"752,958","524,209","456,280","276,766","-72,691"
02040,ALASKA,BARROW DIVISION,175,271,0,"1,574",-820
02050,ALASKA,BETHEL,"2,163","1,173","2,452",-146,291
02060,ALASKA,BRISTOL BAY BOROUGH,"4,595","3,844","3,510","-1,511",-499
02070,ALASKA,DILLINGHAM,"1,620","1,108","-1,365",-28,-12
02080,ALASKA,CORDOVA-MC CARTHY,"5,607","5,922",378,"1,168",131
02090,ALASKA,FAIRBANKS NORTH STAR,"41,417","30,469","38,118","26,052","2,452"
02100,ALASKA,HAINES,"7,398","8,761","9,178",745,-966
02110,ALASKA,JUNEAU,"22,200","20,022","22,208","11,642",-362
02120,ALASKA,KENAI-COOK INLET DIVISION,"160,064","55,046","29,474","38,863","-4,837"
02130,ALASKA,KETCHIKAN GATEWAY,"8,662","9,159","19,390","4,131","3,009"
02140,ALASKA,KOBUK,"2,982",366,177,"2,555",-91
02150,ALASKA,KODIAK ISLAND BOROUGH,"12,962","4,259",75,"3,437","2,978"
02160,ALASKA,KUSKOKWIN,17,792,-322,-428,31
02170,ALASKA,MATANUSKA-SUSITNA,"154,017","85,861","81,364","51,375","-6,893"
02180,ALASKA,NOME,"1,299",0,172,193,210
02190,ALASKA,OUTER KETCHIKAN DIVISION,520,"5,404",0,14,0
02200,ALASKA,PRINCE OF WALES,"10,859","3,346","1,258","14,661",989
02210,ALASKA,SEWARD,"2,223","1,849","5,112","1,897",-542
02220,ALASKA,SITKA BOROUGH,"8,995","4,457","10,533","3,323",786
02230,ALASKA,SKAGWAY-YAKUTAT,828,-121,"1,066",-120,"-1,644"
02240,ALASKA,SOUTHEAST FAIRBANKS,"3,704","-1,338","1,426","1,742","-1,147"
02250,ALASKA,UPPER YUKON,0,-95,0,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"14,476","10,594","7,302",-919,"-3,457"
02270,ALASKA,WADE HAMPTON,716,"2,177","2,303",348,"1,931"
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"10,815","4,748","3,949","1,129","1,149"
02290,ALASKA,YUKON-KOYUKUK,"2,152",363,0,-471,626
03000,ARIZONA,APACHE,"-5,708","6,971","-18,470","-22,974","-10,022"
03010,ARIZONA,COCHISE,"71,909","83,845","41,379","-88,558","165,897"
03020,ARIZONA,COCONINO,"12,877","13,647","24,021","4,496","5,104"
03030,ARIZONA,GILA,"20,116","3,293","6,944","-43,588","3,290"
03040,ARIZONA,GRAHAM,"10,050","22,433","17,294",120,"38,736"
03050,ARIZONA,GREENLEE,"2,813","4,553","5,694","-5,967","5,671"
03055,ARIZONA,LAPAZ,-842,"6,490","8,092","7,905","1,341"
03060,ARIZONA,MARICOPA,"-287,833","-6,439","293,681","-819,032","-9,367"
03070,ARIZONA,MOHAVE,"-99,153","-51,769","52,807","109,320","263,433"
03080,ARIZONA,NAVAJO,"-2,910","-6,499","6,651","-18,085","4,944"
03090,ARIZONA,PIMA,"336,171","569,998","352,784","-773,914","1,182,743"
03100,ARIZONA,PINAL,"76,581","29,185","128,379","-70,356","75,918"
03110,ARIZONA,SANTA CRUZ,"4,267","4,897","1,813","-19,255","26,640"
03120,ARIZONA,YAVAPAI,"141,636","-307,395","-172,213","-97,050","58,800"
03130,ARIZONA,YUMA,"47,385","32,249","22,375","4,253","21,204"
04000,ARKANSAS,ARKANSAS,"-33,443","-31,646","-35,191","-21,927","-17,441"
04010,ARKANSAS,ASHLEY,"-33,130","-40,150","-23,154","-20,968","-21,866"
04020,ARKANSAS,BAXTER,"-20,586","-10,067","-11,313","-19,453","-10,885"
04030,ARKANSAS,BENTON,"-53,833","-39,339","-223,890","-267,519","-119,980"
04040,ARKANSAS,BOONE,"-31,342","-40,303","-49,035","-41,265","-26,328"
04050,ARKANSAS,BRADLEY,"-16,327","-20,147","-23,682","-17,340","-14,935"
04060,ARKANSAS,CALHOUN,"-9,139","-8,896","-4,407","-4,413","-2,294"
