DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01000,ALABAMA,AUTAUGA,"-37,521","-41,368","-30,328","-14,488",281
01010,ALABAMA,BALDWIN,"-105,438","-99,365","-77,887","-29,647","-25,004"
01020,ALABAMA,BARBOUR,"-39,349","-50,088","-58,105","-74,208","-54,949"
01030,ALABAMA,BIBB,"-22,313","-22,552","-12,709","-11,704","-8,082"
01040,ALABAMA,BLOUNT,"-18,878","-19,785","-13,103","-8,547","-2,305"
01050,ALABAMA,BULLOCK,"-10,043","-7,768","-8,058","-4,535","-1,708"
01060,ALABAMA,BUTLER,"-25,402","-29,606","-22,230","-6,180","2,448"
01070,ALABAMA,CALHOUN,"-168,654","-212,918","-255,487","-132,901","-95,982"
01080,ALABAMA,CHAMBERS,"-42,769","-49,191","-23,057","-10,355","-1,962"
01090,ALABAMA,CHEROKEE,"-33,866","-19,144","-23,698","-20,837","-18,062"
01100,ALABAMA,CHILTON,"-18,054","-17,136","-11,436","-11,092","-2,910"
01110,ALABAMA,CHOCTAW,"-29,234","-23,495","-20,890","-9,786","-4,628"
01120,ALABAMA,CLARKE,"-24,003","-24,755","-19,735","-7,754","-2,921"
01130,ALABAMA,CLAY,"-17,588","-23,753","-18,938","-9,325","-7,968"
01140,ALABAMA,CLEBURNE,"-16,977","-22,000","-24,918","-14,357","-10,143"
01150,ALABAMA,COFFEE,"-61,669","-59,111","-38,994","-47,880","-45,485"
01160,ALABAMA,COLBERT,"-126,525","-125,644","-103,125","-79,673","-76,066"
01170,ALABAMA,CONECUH,"-15,303","-19,731","-15,605","-7,326","-3,278"
01180,ALABAMA,COOSA,"-25,835","-26,492","-16,580","-12,319","-9,930"
01190,ALABAMA,COVINGTON,"-64,183","-62,115","-39,013","-36,859","-37,565"
01200,ALABAMA,CRENSHAW,"-18,371","-17,843","-15,884","-9,585","-6,022"
01210,ALABAMA,CULLMAN,"-42,800","-38,442","-29,646","-6,734","9,370"
01220,ALABAMA,DALE,"-115,387","-112,651","-56,768","-87,514","-87,740"
01230,ALABAMA,DALLAS,"-52,234","-46,042","-44,251","-26,798","-8,558"
01240,ALABAMA,DE KALB,"-113,755","-67,727","-41,271","-16,344","-11,662"
01250,ALABAMA,ELMORE,"-62,112","-67,516","-47,612","-22,827",777
01260,ALABAMA,ESCAMBIA,"-39,739","-38,130","-22,084",-596,"10,260"
01270,ALABAMA,ETOWAH,"-125,979","-98,266","-153,588","-133,700","-75,972"
01280,ALABAMA,FAYETTE,"-10,341","-13,800","-9,797","-16,303","-14,653"
01290,ALABAMA,FRANKLIN,"-62,952","-56,352","-36,934","-30,398","-32,699"
01300,ALABAMA,GENEVA,"-70,481","-61,764","-36,106","-54,232","-54,622"
01310,ALABAMA,GREENE,"-14,982","-18,951","-16,686","-17,801","-2,859"
01320,ALABAMA,HALE,"-30,933","-35,869","-27,562","-26,589","-22,637"
01330,ALABAMA,HENRY,"-43,139","-37,989","-24,048","-44,110","-42,111"
01340,ALABAMA,HOUSTON,"-235,695","-223,812","-125,416","-236,940","-242,708"
01350,ALABAMA,JACKSON,"-39,704","-31,265","34,732","54,665","24,024"
01360,ALABAMA,JEFFERSON,"-214,547","-225,555","-139,228","-151,548","-62,674"
01370,ALABAMA,LAMAR,"-18,795","-14,312","-9,677","-11,652","-12,837"
01380,ALABAMA,LAUDERDALE,"-177,812","-189,463","-127,538","-95,951","-91,811"
01390,ALABAMA,LAWRENCE,"-53,904","-69,998","-49,209","-16,471","-14,449"
01400,ALABAMA,LEE,"-73,789","-91,782","-108,825","-57,154","6,554"
01410,ALABAMA,LIMESTONE,"-54,711","-62,112","-19,055","27,776","38,487"
01420,ALABAMA,LOWNDES,"-13,205","-11,085","-8,986","-3,911",811
01430,ALABAMA,MACON,"-22,890","-25,587","-18,918","-9,707",-91
01440,ALABAMA,MADISON,"-135,604","-164,488","-41,772","86,798","99,266"
01450,ALABAMA,MARENGO,"-22,926","-20,397","-20,663","-16,446","-10,395"
01460,ALABAMA,MARION,"-27,983","-26,202","-16,456","-20,630","-19,092"
01470,ALABAMA,MARSHALL,"-135,915","-117,911","-47,755","-2,027","33,486"
01480,ALABAMA,MOBILE,"-191,989","-211,903","-212,945","-45,123","-56,405"
01490,ALABAMA,MONROE,"-24,594","-28,629","-23,439","-8,648","-7,657"
01500,ALABAMA,MONTGOMERY,"-172,510","-184,816","-126,812","-56,959","5,477"
01510,ALABAMA,MORGAN,"-169,028","-183,871","-101,617","35,277","41,091"
01520,ALABAMA,PERRY,"-14,774","-13,192","-9,905","-9,253","-5,203"
01530,ALABAMA,PICKENS,"-9,911","-14,321","-10,990","-1,187","-5,362"
01540,ALABAMA,PIKE,"-40,471","-51,922","-34,608","-25,147","3,233"
01550,ALABAMA,RANDOLPH,"-21,996","-30,581","-32,042","-21,349","-10,365"
01560,ALABAMA,RUSSELL,"-46,166","-64,488","-63,183","-32,580","14,590"
01570,ALABAMA,ST. CLAIR,"-28,342","-32,290","-25,747","-25,027","-10,907"
01580,ALABAMA,SHELBY,"-29,382","-34,051","-22,807","-22,576","-8,942"
01590,ALABAMA,SUMTER,"-22,027","-23,838","-15,138","-12,069","-5,376"
01600,ALABAMA,TALLADEGA,"-150,673","-149,876","-104,623","-55,162","-40,653"
01610,ALABAMA,TALLAPOOSA,"-78,222","-74,191","-61,608","-40,631","-18,011"
01620,ALABAMA,TUSCALOOSA,"-178,030","-210,890","-177,974","-164,208","-131,134"
01630,ALABAMA,WALKER,"-68,299","-67,344","-46,478","-46,946","-17,357"
01640,ALABAMA,WASHINGTON,"-13,500","-21,034","-16,966","-4,192","-2,872"
01650,ALABAMA,WILCOX,"-21,644","-23,481","-13,302","-8,922","-4,793"
01660,ALABAMA,WINSTON,"-35,331","-31,889","-24,364","-15,903","-11,982"
02010,ALASKA,ALEUTIANS ISLANDS,"1,027",118,327,706,122
02020,ALASKA,ANCHORAGE,"201,568","128,313","114,261","80,124","-25,627"
02040,ALASKA,BARROW DIVISION,306,244,-49,-163,-196
02050,ALASKA,BETHEL,480,"1,045",116,-87,-10
02060,ALASKA,BRISTOL BAY BOROUGH,"3,341","1,782","1,271",694,"-3,034"
02070,ALASKA,DILLINGHAM,266,814,431,533,-58
02080,ALASKA,CORDOVA-MC CARTHY,928,160,188,59,-5
02090,ALASKA,FAIRBANKS NORTH STAR,"60,475","26,824","22,813","7,144","-25,082"
02100,ALASKA,HAINES,"1,860",347,168,-194,-880
02110,ALASKA,JUNEAU,"11,768","12,033","9,913","5,973","-8,530"
02120,ALASKA,KENAI-COOK INLET DIVISION,"68,948","26,558","21,486","11,953","-18,155"
02130,ALASKA,KETCHIKAN GATEWAY,"1,989","4,231","1,905","1,383","2,152"
02140,ALASKA,KOBUK,207,444,176,242,-11
02150,ALASKA,KODIAK ISLAND BOROUGH,"1,015","1,834","1,425",191,-6
02160,ALASKA,KUSKOKWIN,424,299,130,51,21
02170,ALASKA,MATANUSKA-SUSITNA,"69,954","45,678","44,105","28,323","-8,982"
02180,ALASKA,NOME,460,"2,105",232,787,125
02190,ALASKA,OUTER KETCHIKAN DIVISION,216,100,63,82,166
02200,ALASKA,PRINCE OF WALES,382,444,314,128,440
02210,ALASKA,SEWARD,698,852,542,761,232
02220,ALASKA,SITKA BOROUGH,914,414,"1,294",726,-659
02230,ALASKA,SKAGWAY-YAKUTAT,629,436,408,219,-306
02240,ALASKA,SOUTHEAST FAIRBANKS,"2,277",804,"1,514",564,-399
02250,ALASKA,UPPER YUKON,"2,531",367,337,110,-258
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"5,084","1,702",869,519,"-1,531"
02270,ALASKA,WADE HAMPTON,"1,018",93,175,137,385
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,593,952,914,634,-65
02290,ALASKA,YUKON-KOYUKUK,"1,373","1,150",395,275,-728
03000,ARIZONA,APACHE,"5,654","2,239","-3,323","-18,533","-1,722"
03010,ARIZONA,COCHISE,"26,907","25,844","13,985","-31,645","36,480"
03020,ARIZONA,COCONINO,"-27,027","-36,498","-31,883","-28,486","-30,305"
03030,ARIZONA,GILA,"-48,110","-48,137","-56,307","-45,944","-20,490"
03040,ARIZONA,GRAHAM,"10,942","11,364","5,650","-16,552","10,066"
03050,ARIZONA,GREENLEE,"2,478","1,369","2,455","-2,920","2,645"
03055,ARIZONA,LAPAZ,"11,416","6,110","4,757","-11,062","1,029"
03060,ARIZONA,MARICOPA,"-81,299","-17,630","34,214","-210,163","-29,174"
03070,ARIZONA,MOHAVE,"21,541","24,971","-14,902","-6,398","80,445"
03080,ARIZONA,NAVAJO,"20,588","18,208","5,372","-47,136","7,711"
03090,ARIZONA,PIMA,"44,842","71,776","31,475","-215,637","259,744"
03100,ARIZONA,PINAL,"-2,388","9,008","20,137","-16,887","7,893"
