"DISABLED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
01000,ALABAMA,AUTAUGA,"1,168","148,794",10.62,"148,794",10.62,0,0,0,996,0,0
01010,ALABAMA,BALDWIN,"4,244","579,399",11.38,"579,399",11.38,0,0,0,"3,714",0,0
01020,ALABAMA,BARBOUR,"1,123","136,591",10.14,"136,590",10.14,0,0,0,"1,053",0,0
01030,ALABAMA,BIBB,850,"210,542",20.64,"210,542",20.64,0,0,0,762,0,0
01040,ALABAMA,BLOUNT,"1,116","168,973",12.62,"168,974",12.62,0,0,0,960,0,0
01050,ALABAMA,BULLOCK,279,"36,589",10.93,"36,588",10.93,0,0,0,247,0,0
01060,ALABAMA,BUTLER,"1,022","90,643",7.39,"90,643",7.39,0,0,0,961,0,0
01070,ALABAMA,CALHOUN,"5,856","732,727",10.43,"732,727",10.43,0,0,0,"5,281",0,0
01080,ALABAMA,CHAMBERS,"1,908","221,183",9.66,"221,183",9.66,0,0,0,"1,785",0,0
01090,ALABAMA,CHEROKEE,"1,007","139,182",11.52,"139,182",11.52,0,0,0,928,0,0
01100,ALABAMA,CHILTON,943,"486,857",43.02,"486,857",43.02,0,0,0,800,0,0
01110,ALABAMA,CHOCTAW,824,"242,361",24.51,"242,361",24.51,0,0,0,782,0,0
01120,ALABAMA,CLARKE,"1,456","129,003",7.38,"129,004",7.38,0,0,0,"1,332",0,0
