"DISABLED - PUERTO RICO - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B . REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
40010,PUERTO RICO,ADJUNTAS,229,"123,855",45.07,"109,310",39.78,"3,450",588,"10,506",38,"50,724",111.24,1.009,
40020,PUERTO RICO,AGUADA,600,"555,162",77.11,"537,436",74.64,"4,840","5,454","7,431",150,"326,653",181.47,0.915,
40030,PUERTO RICO,AGUADILLA,"1,084","1,149,343",88.36,"1,087,854",83.63,"23,087","10,827","27,574",287,"415,817",120.74,0.939,
40040,PUERTO RICO,AGUAS BUENAS,404,"451,592",93.15,"441,930",91.16,"2,832","5,168","1,661",85,"137,222",134.53,0.922,
40050,PUERTO RICO,AIBONITO,579,"555,605",79.97,"538,742",77.54,"3,585","7,751","5,525",161,"249,368",129.07,1.045,
40060,PUERTO RICO,ANASCO,272,"189,290",57.99,"176,552",54.09,"3,051",662,"9,023",73,"147,613",168.51,0.934,
40070,PUERTO RICO,ARECIBO,"2,274","1,771,609",64.92,"1,707,172",62.56,"24,641","18,248","21,547",530,"906,355",142.51,0.927,
40080,PUERTO RICO,ARROYO,263,"96,807",30.67,"94,201",29.85,411,"1,252",941,67,"116,363",144.73,0.942,
40090,PUERTO RICO,BARCELONETA,649,"459,187",58.96,"450,631",57.86,"3,778","3,407","1,369",214,"456,975",177.95,1.019,
40100,PUERTO RICO,BARRANQUITAS,504,"520,803",86.11,"506,463",83.74,"1,960","8,099","4,278",126,"275,878",182.46,1.004,
40110,PUERTO RICO,BAYAMON,"2,926","2,688,890",76.58,"2,523,861",71.88,"61,026","25,999","78,002",756,"1,452,852",160.15,1.030,
40120,PUERTO RICO,CABO ROJO,309,"213,701",57.63,"191,751",51.71,"9,147","2,853","9,949",94,"291,419",258.35,0.910,
40130,PUERTO RICO,CAGUAS,"2,229","2,439,947",91.22,"2,364,971",88.42,"30,277","17,339","27,359",610,"1,139,120",155.62,1.012,
40140,PUERTO RICO,CAMUY,419,"480,715",95.61,"457,786",91.05,"8,794","5,184","8,949",87,"177,190",169.72,0.967,
40145,PUERTO RICO,CANOVANAS,*,*,*,*,*,*,*,*,*,*,*,*,
40150,PUERTO RICO,CAROLINA,"1,768","1,936,634",91.28,"1,779,454",83.87,"58,639","13,608","84,931",535,"1,070,002",166.67,0.953,
40160,PUERTO RICO,CATANO,854,"744,197",72.62,"705,460",68.84,"12,049","6,343","20,343",224,"486,187",180.87,0.950,
40170,PUERTO RICO,CAYEY,"1,097","840,245",63.83,"824,317",62.62,"4,089","8,580","3,257",283,"564,487",166.22,0.939,
40180,PUERTO RICO,CEIBA,132,"49,735",31.40,"44,828",28.30,"1,550",330,"3,025",33,"52,430",132.40,0.985,
40190,PUERTO RICO,CIALES,359,"312,084",72.44,"302,849",70.30,"4,008","3,239","1,986",96,"349,167",303.10,1.032,
40200,PUERTO RICO,CIDRA,765,"481,009",52.40,"471,767",51.39,"1,941","3,648","3,650",240,"478,481",166.14,0.965,
40210,PUERTO RICO,COAMO,536,"574,035",89.25,"542,572",84.36,"7,789","5,981","17,690",124,"266,686",179.22,0.904,
40220,PUERTO RICO,COMERIO,316,"184,248",48.59,"179,110",47.23,"2,113","1,642","1,381",77,"145,839",157.83,0.924,
40230,PUERTO RICO,COROZAL,515,"389,586",63.04,"386,016",62.46,871,"2,286",411,124,"247,860",166.57,0.955,
40240,PUERTO RICO,CULEBRA,*,*,*,*,*,*,*,*,*,*,*,*,
40250,PUERTO RICO,DORADO,322,"234,943",60.80,"219,298",56.75,"7,024","1,651","6,968",101,"221,381",182.66,0.904,
40260,PUERTO RICO,FAJARDO,446,"358,261",66.94,"342,399",63.98,"5,485","2,419","7,956",118,"245,970",173.71,0.983,
40265,PUERTO RICO,FLORIDA,*,*,*,*,*,*,*,*,*,*,*,*,
40270,PUERTO RICO,GUANICA,170,"181,008",88.73,"167,682",82.20,"5,372","1,810","6,142",48,"157,920",274.17,1.014,
40280,PUERTO RICO,GUAYAMA,508,"303,040",49.71,"294,260",48.27,"1,871","4,748","2,159",123,"194,506",131.78,0.981,
