AGED -- 2010  REIMBURSEMENT FOR COST CONTRACTS,,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
01000,ALABAMA                  ,AUTAUGA,0,0,0.00,,,,,,,,,
01010,ALABAMA                  ,BALDWIN,"14,234","13,279","60,279.94",,,,,,,,,
01020,ALABAMA                  ,BARBOUR,0,0,64.08,,,,,,,,,
01030,ALABAMA                  ,BIBB,"270,818","262,429","47,174.10",,,,,,,,,
01040,ALABAMA                  ,BLOUNT,"103,873","96,668","46,383.24",,,,,,,,,
01050,ALABAMA                  ,BULLOCK,0,0,0.00,,,,,,,,,
01060,ALABAMA                  ,BUTLER,0,0,0.00,,,,,,,,,
01070,ALABAMA                  ,CALHOUN,0,0,0.00,,,,,,,,,
01080,ALABAMA                  ,CHAMBERS,0,0,0.00,,,,,,,,,
01090,ALABAMA                  ,CHEROKEE,"4,560","4,188",405.13,,,,,,,,,
01100,ALABAMA                  ,CHILTON,"147,692","113,518","15,615.57",,,,,,,,,
01110,ALABAMA                  ,CHOCTAW,0,0,0.00,,,,,,,,,
01120,ALABAMA                  ,CLARKE,0,0,0.00,,,,,,,,,
01130,ALABAMA                  ,CLAY,0,0,0.00,,,,,,,,,
01140,ALABAMA                  ,CLEBURNE,0,0,0.00,,,,,,,,,
01150,ALABAMA                  ,COFFEE,0,0,0.00,,,,,,,,,
01160,ALABAMA                  ,COLBERT,0,0,0.00,,,,,,,,,
01170,ALABAMA                  ,CONECUH,0,0,0.00,,,,,,,,,
01180,ALABAMA                  ,COOSA,0,0,0.00,,,,,,,,,
01190,ALABAMA                  ,COVINGTON,"1,866","1,714","3,687.85",,,,,,,,,
01200,ALABAMA                  ,CRENSHAW,0,0,0.00,,,,,,,,,
01210,ALABAMA                  ,CULLMAN,"226,633","223,460","74,783.32",,,,,,,,,
01220,ALABAMA                  ,DALE,0,0,0.00,,,,,,,,,
01230,ALABAMA                  ,DALLAS,0,0,"8,893.37",,,,,,,,,
01240,ALABAMA                  ,DEKALB,0,0,"13,165.24",,,,,,,,,
01250,ALABAMA                  ,ELMORE,"37,383","35,028","31,581.11",,,,,,,,,
01260,ALABAMA                  ,ESCAMBIA,0,0,869.37,,,,,,,,,
01270,ALABAMA                  ,ETOWAH,"8,795","8,417","1,359.59",,,,,,,,,
01280,ALABAMA                  ,FAYETTE,"57,147","49,151","33,132.75",,,,,,,,,
01290,ALABAMA                  ,FRANKLIN,0,0,0.00,,,,,,,,,
01300,ALABAMA                  ,GENEVA,0,0,0.00,,,,,,,,,
01310,ALABAMA                  ,GREENE,0,0,"4,422.36",,,,,,,,,
01320,ALABAMA                  ,HALE,0,0,445.44,,,,,,,,,
01330,ALABAMA                  ,HENRY,0,0,0.00,,,,,,,,,
01340,ALABAMA                  ,HOUSTON,0,0,0.00,,,,,,,,,
01350,ALABAMA                  ,JACKSON,0,0,0.00,,,,,,,,,
01360,ALABAMA                  ,JEFFERSON,"2,833,232","2,561,512","853,828.74",,,,,,,,,
01370,ALABAMA                  ,LAMAR,0,0,181.55,,,,,,,,,
01380,ALABAMA                  ,LAUDERDALE,"46,235","44,700","14,893.42",,,,,,,,,
01390,ALABAMA                  ,LAWRENCE,0,0,308.26,,,,,,,,,
01400,ALABAMA                  ,LEE,0,0,0.00,,,,,,,,,
01410,ALABAMA                  ,LIMESTONE,"23,389","22,909","8,808.64",,,,,,,,,
01420,ALABAMA                  ,LOWNDES,0,0,0.00,,,,,,,,,
01430,ALABAMA                  ,MACON,"20,733","19,529","3,368.46",,,,,,,,,
01440,ALABAMA                  ,MADISON,"43,806","40,212","33,953.25",,,,,,,,,
01450,ALABAMA                  ,MARENGO,0,0,0.00,,,,,,,,,
01460,ALABAMA                  ,MARION,"392,484","369,714","90,380.71",,,,,,,,,
01470,ALABAMA                  ,MARSHALL,"14,205","13,440","1,282.45",,,,,,,,,
01480,ALABAMA                  ,MOBILE,"28,294","28,294","4,015.17",,,,,,,,,
01490,ALABAMA                  ,MONROE,0,0,0.00,,,,,,,,,
01500,ALABAMA                  ,MONTGOMERY,"24,911","24,514","4,749.52",,,,,,,,,
01510,ALABAMA                  ,MORGAN,0,0,"1,859.89",,,,,,,,,
01520,ALABAMA                  ,PERRY,0,0,0.00,,,,,,,,,
01530,ALABAMA                  ,PICKENS,0,0,"1,049.21",,,,,,,,,
01540,ALABAMA                  ,PIKE,0,0,0.00,,,,,,,,,
01550,ALABAMA                  ,RANDOLPH,0,0,0.00,,,,,,,,,
01560,ALABAMA                  ,RUSSELL,0,0,157.65,,,,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"19,742","18,818","15,312.31",,,,,,,,,
01580,ALABAMA                  ,SHELBY,"342,421","328,489","69,152.98",,,,,,,,,
01590,ALABAMA                  ,SUMTER,0,0,"5,064.28",,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,0,0,0.00,,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,0,0,0.00,,,,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"233,522","206,436","101,136.71",,,,,,,,,
01630,ALABAMA                  ,WALKER,"1,956,492","1,799,676","670,846.04",,,,,,,,,
01640,ALABAMA                  ,WASHINGTON,0,0,0.00,,,,,,,,,
01650,ALABAMA                  ,WILCOX,0,0,0.00,,,,,,,,,
01660,ALABAMA                  ,WINSTON,"182,851","163,239","33,692.97",,,,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0.00,,,,,,,,,
02020,ALASKA                   ,ANCHORAGE,"17,332","16,230","8,268.93",,,,,,,,,
02040,ALASKA                   ,BARROW DIVISION,0,0,0.00,,,,,,,,,
02050,ALASKA                   ,BETHEL,0,0,0.00,,,,,,,,,
02060,ALASKA                   ,BRISTOL BAY,0,0,0.00,,,,,,,,,
02070,ALASKA                   ,DILLINGHAM,0,0,0.00,,,,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,0,0.00,,,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"7,622","5,894","20,126.22",,,,,,,,,
02100,ALASKA                   ,HAINES,0,0,0.00,,,,,,,,,
02110,ALASKA                   ,JUNEAU,0,0,0.00,,,,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,0,0,162.75,,,,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,0,0,0.00,,,,,,,,,
02140,ALASKA                   ,KOBUK,0,0,0.00,,,,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,0,0,0.00,,,,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0.00,,,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"34,194","29,282","12,437.34",,,,,,,,,
02180,ALASKA                   ,NOME,0,0,0.00,,,,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0.00,,,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,0.00,,,,,,,,,
02210,ALASKA                   ,SEWARD,0,0,0.00,,,,,,,,,
02220,ALASKA                   ,SITKA,0,0,0.00,,,,,,,,,
02230,ALASKA                   ,SKAGWAY,0,0,0.00,,,,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,0.00,,,,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0.00,,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,"3,227.88",,,,,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0.00,,,,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,0,0.00,,,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0.00,,,,,,,,,
03000,ARIZONA                  ,APACHE,0,0,0.00,,,,,,,,,
