"AGED - HOSPICE - 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,
1000,ALABAMA                  ,AUTAUGA                ,"4,504","2,054,210",38.01,"2,054,210",38.01,0,0,0,"4,195",0,0.00,
1010,ALABAMA                  ,BALDWIN                ,"22,219","12,773,124",47.91,"12,773,124",47.91,0,0,0,"20,925",0,0.00,
1020,ALABAMA                  ,BARBOUR                ,"2,935","1,696,843",48.18,"1,696,843",48.18,0,0,0,"2,817",0,0.00,
1030,ALABAMA                  ,BIBB                   ,"1,957","1,241,248",52.86,"1,241,248",52.86,0,0,0,"1,872",0,0.00,
1040,ALABAMA                  ,BLOUNT                 ,"3,946","2,367,634",50.00,"2,367,634",50.00,0,0,0,"3,694",0,0.00,
1050,ALABAMA                  ,BULLOCK                ,893,"293,842",27.42,"293,842",27.42,0,0,0,853,0,0.00,
1060,ALABAMA                  ,BUTLER                 ,"2,690","1,912,617",59.25,"1,912,617",59.25,0,0,0,"2,612",0,0.00,
1070,ALABAMA                  ,CALHOUN                ,"15,704","7,098,125",37.67,"7,098,125",37.67,0,0,0,"14,738",0,0.00,
1080,ALABAMA                  ,CHAMBERS               ,"4,777","2,755,407",48.07,"2,755,407",48.07,0,0,0,"4,615",0,0.00,
1090,ALABAMA                  ,CHEROKEE               ,"3,064","1,928,014",52.44,"1,928,014",52.44,0,0,0,"2,951",0,0.00,
1100,ALABAMA                  ,CHILTON                ,"3,250","2,505,044",64.23,"2,505,044",64.23,0,0,0,"3,089",0,0.00,
1110,ALABAMA                  ,CHOCTAW                ,"2,167","2,500,325",96.15,"2,500,325",96.15,0,0,0,"2,148",0,0.00,
