DISABLED -- 2010  REIMBURSEMENT FOR COST CONTRACTS,,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
01000,ALABAMA                  ,AUTAUGA,0,0,0.00,,,,,,,,,
01010,ALABAMA                  ,BALDWIN,0,0,254.59,,,,,,,,,
01020,ALABAMA                  ,BARBOUR,0,0,0.00,,,,,,,,,
01030,ALABAMA                  ,BIBB,0,0,0.00,,,,,,,,,
01040,ALABAMA                  ,BLOUNT,0,0,0.00,,,,,,,,,
01050,ALABAMA                  ,BULLOCK,0,0,0.00,,,,,,,,,
01060,ALABAMA                  ,BUTLER,0,0,0.00,,,,,,,,,
01070,ALABAMA                  ,CALHOUN,0,0,0.00,,,,,,,,,
01080,ALABAMA                  ,CHAMBERS,0,0,48.86,,,,,,,,,
01090,ALABAMA                  ,CHEROKEE,0,0,0.00,,,,,,,,,
01100,ALABAMA                  ,CHILTON,0,0,0.00,,,,,,,,,
01110,ALABAMA                  ,CHOCTAW,0,0,0.00,,,,,,,,,
01120,ALABAMA                  ,CLARKE,0,0,0.00,,,,,,,,,
01130,ALABAMA                  ,CLAY,0,0,0.00,,,,,,,,,
01140,ALABAMA                  ,CLEBURNE,0,0,"1,406.77",,,,,,,,,
01150,ALABAMA                  ,COFFEE,0,0,0.00,,,,,,,,,
01160,ALABAMA                  ,COLBERT,0,0,0.00,,,,,,,,,
01170,ALABAMA                  ,CONECUH,0,0,0.00,,,,,,,,,
01180,ALABAMA                  ,COOSA,0,0,0.00,,,,,,,,,
01190,ALABAMA                  ,COVINGTON,0,0,0.00,,,,,,,,,
01200,ALABAMA                  ,CRENSHAW,0,0,0.00,,,,,,,,,
01210,ALABAMA                  ,CULLMAN,0,0,"1,113.95",,,,,,,,,
01220,ALABAMA                  ,DALE,0,0,0.00,,,,,,,,,
01230,ALABAMA                  ,DALLAS,0,0,0.00,,,,,,,,,
01240,ALABAMA                  ,DEKALB,0,0,0.00,,,,,,,,,
01250,ALABAMA                  ,ELMORE,0,0,0.00,,,,,,,,,
01260,ALABAMA                  ,ESCAMBIA,0,0,0.00,,,,,,,,,
01270,ALABAMA                  ,ETOWAH,0,0,0.00,,,,,,,,,
01280,ALABAMA                  ,FAYETTE,0,0,"1,675.60",,,,,,,,,
01290,ALABAMA                  ,FRANKLIN,0,0,0.00,,,,,,,,,
01300,ALABAMA                  ,GENEVA,0,0,0.00,,,,,,,,,
01310,ALABAMA                  ,GREENE,0,0,0.00,,,,,,,,,
01320,ALABAMA                  ,HALE,0,0,0.00,,,,,,,,,
01330,ALABAMA                  ,HENRY,0,0,0.00,,,,,,,,,
01340,ALABAMA                  ,HOUSTON,0,0,0.00,,,,,,,,,
01350,ALABAMA                  ,JACKSON,"2,350","2,006","4,351.92",,,,,,,,,
01360,ALABAMA                  ,JEFFERSON,0,0,"12,986.65",,,,,,,,,
01370,ALABAMA                  ,LAMAR,0,0,0.00,,,,,,,,,
01380,ALABAMA                  ,LAUDERDALE,0,0,0.00,,,,,,,,,
01390,ALABAMA                  ,LAWRENCE,0,0,0.00,,,,,,,,,
01400,ALABAMA                  ,LEE,0,0,0.00,,,,,,,,,
01410,ALABAMA                  ,LIMESTONE,0,0,0.00,,,,,,,,,
01420,ALABAMA                  ,LOWNDES,0,0,0.00,,,,,,,,,
01430,ALABAMA                  ,MACON,0,0,0.00,,,,,,,,,
01440,ALABAMA                  ,MADISON,0,0,0.00,,,,,,,,,
01450,ALABAMA                  ,MARENGO,0,0,0.00,,,,,,,,,
01460,ALABAMA                  ,MARION,0,0,0.00,,,,,,,,,
