"DIALYSIS -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE ,,,,,,,,,
BENEFICIARIES ENROLLED IN BOTH PARTS A AND B,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
CODE,STATE,PART A ENROLLMENT (Months),PART A TOTAL REIMBURSEMENT (Thousands),PART A TOTAL PER CAPITA,PART A IME (Thousands),PART B ENROLLMENT (Months),PART B TOTAL REIMBURSEMENT (Thousands),PART B TOTAL PER CAPITA,Risk Score
01,AL,"67,153","144,956","2,158.60","3,714","66,871","248,164","3,711.08",0.9555
02,AK,"4,122","9,537","2,313.67",198,"4,072","14,662","3,600.59",0.9458
03,AZ,"52,423","153,335","2,924.96","3,236","51,705","183,709","3,553.02",0.9940
04,AR,"33,572","80,257","2,390.58","1,569","33,433","108,543","3,246.57",0.9750
05,CA,"327,732","1,088,296","3,320.69","24,136","324,640","1,244,588","3,833.75",0.9955
06,CO,"27,422","62,929","2,294.85","2,098","27,173","88,416","3,253.82",0.9560
07,CT,"34,054","115,208","3,383.11","9,817","33,756","142,950","4,234.81",1.0172
08,DE,"13,182","33,147","2,514.57","1,136","13,119","50,989","3,886.68",1.0111
09,DC,"14,441","53,375","3,696.05","4,146","14,239","54,987","3,861.70",1.0067
10,FL,"190,555","564,469","2,962.24","10,045","189,439","738,881","3,900.36",1.0236
11,GA,"141,154","323,360","2,290.83","8,021","140,144","523,835","3,737.83",0.9632
12,HI,"17,615","40,673","2,309.00",743,"17,452","59,187","3,391.42",0.9462
13,ID,"9,536","21,172","2,220.26",252,"9,472","32,408","3,421.45",0.9532
14,IL,"148,053","487,164","3,290.47","24,286","146,441","573,760","3,918.03",1.0117
15,IN,"71,966","208,250","2,893.73","6,079","71,632","284,001","3,964.72",1.0195
16,IA,"24,329","57,866","2,378.50","2,345","24,225","83,764","3,457.77",0.9924
17,KS,"23,328","54,654","2,342.86","1,735","23,196","77,924","3,359.35",0.9665
18,KY,"42,970","123,658","2,877.77","2,864","42,727","164,133","3,841.44",1.0103
19,LA,"71,997","185,830","2,581.08","4,032","71,544","261,255","3,651.67",0.9799
20,ME,"9,883","24,735","2,502.80","1,016","9,844","37,617","3,821.27",1.0240
21,MD,"72,434","276,290","3,814.37","2,947","71,684","286,324","3,994.25",1.0296
22,MA,"46,457","188,582","4,059.29","16,388","46,168","210,992","4,570.09",1.0659
23,MI,"123,328","408,550","3,312.71","30,774","122,730","500,969","4,081.88",1.0521
24,MN,"30,127","86,812","2,881.55","4,354","29,910","105,717","3,534.51",0.9846
25,MS,"60,745","140,478","2,312.58","1,990","60,516","217,634","3,596.31",0.9559
26,MO,"65,021","183,493","2,822.06","8,255","64,474","229,431","3,558.51",1.0051
27,MT,"6,619","11,039","1,667.75",93,"6,571","19,617","2,985.44",0.9402
28,NE,"14,368","34,847","2,425.30","1,235","14,271","48,639","3,408.24",0.9721
29,NV,"20,751","65,183","3,141.21","1,024","20,437","72,594","3,552.11",0.9727
30,NH,"7,949","22,589","2,841.78","1,067","7,844","29,999","3,824.49",1.0342
31,NJ,"100,833","353,568","3,506.48","17,715","100,028","467,742","4,676.11",1.0517
32,NM,"24,334","52,773","2,168.69","1,390","24,125","76,057","3,152.61",0.9524
33,NY,"180,153","657,755","3,651.09","62,307","178,455","693,787","3,887.74",1.0215
34,NC,"131,962","323,438","2,450.99","13,653","131,470","482,112","3,667.09",0.9703
35,ND,"5,969","13,366","2,239.19",293,"5,927","17,068","2,879.74",0.9826
36,OH,"116,386","354,613","3,046.87","19,441","115,505","438,687","3,797.99",1.0354
37,OK,"40,997","105,829","2,581.39","2,848","40,759","141,426","3,469.80",0.9763
38,OR,"21,902","49,549","2,262.29","1,450","21,798","74,624","3,423.43",0.9417
39,PA,"109,079","344,983","3,162.69","23,212","108,194","454,105","4,197.14",1.0324
40,PR,"30,460","35,344","1,160.34",853,"29,923","84,933","2,838.39",0.9322
