"ESRD - HOSPICE - 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,
1000,ALABAMA                  ,AUTAUGA                ,63,"12,280",16.24,"12,280",16.24,0,0,0,63,0,0,
1010,ALABAMA                  ,BALDWIN                ,197,"54,647",23.12,"54,647",23.12,0,0,0,190,0,0,
1020,ALABAMA                  ,BARBOUR                ,69,"19,622",23.70,"19,622",23.70,0,0,0,68,0,0,
1030,ALABAMA                  ,BIBB                   ,34,"20,753",50.87,"20,753",50.87,0,0,0,33,0,0,
1040,ALABAMA                  ,BLOUNT                 ,29,"34,914",100.33,"34,914",100.33,0,0,0,29,0,0,
1050,ALABAMA                  ,BULLOCK                ,26,0,0.00,0,0.00,0,0,0,26,0,0,
1060,ALABAMA                  ,BUTLER                 ,43,"2,924",5.67,"2,924",5.67,0,0,0,40,0,0,
1070,ALABAMA                  ,CALHOUN                ,224,"289,860",107.83,"289,860",107.83,0,0,0,217,0,0,
1080,ALABAMA                  ,CHAMBERS               ,84,"15,032",14.91,"15,032",14.91,0,0,0,83,0,0,
1090,ALABAMA                  ,CHEROKEE               ,35,"5,429",12.93,"5,429",12.93,0,0,0,33,0,0,
1100,ALABAMA                  ,CHILTON                ,40,"76,635",159.66,"76,635",159.66,0,0,0,36,0,0,
1110,ALABAMA                  ,CHOCTAW                ,41,"99,977",203.21,"99,977",203.21,0,0,0,41,0,0,
1120,ALABAMA                  ,CLARKE                 ,97,"71,956",61.82,"71,956",61.82,0,0,0,94,0,0,
1130,ALABAMA                  ,CLAY                   ,24,"27,519",95.55,"27,519",95.55,0,0,0,24,0,0,
1140,ALABAMA                  ,CLEBURNE               ,18,"58,749",271.99,"58,749",271.99,0,0,0,18,0,0,
1150,ALABAMA                  ,COFFEE                 ,73,"3,487",3.98,"3,487",3.98,0,0,0,69,0,0,
1160,ALABAMA                  ,COLBERT                ,100,"49,212",41.01,"49,212",41.01,0,0,0,97,0,0,
1170,ALABAMA                  ,CONECUH                ,32,"1,264",3.29,"1,264",3.29,0,0,0,32,0,0,
1180,ALABAMA                  ,COOSA                  ,21,"30,962",122.87,"30,962",122.87,0,0,0,19,0,0,
1190,ALABAMA                  ,COVINGTON              ,71,"26,995",31.68,"26,995",31.68,0,0,0,71,0,0,
1200,ALABAMA                  ,CRENSHAW               ,28,"7,648",22.76,"7,648",22.76,0,0,0,27,0,0,
1210,ALABAMA                  ,CULLMAN                ,65,"61,794",79.22,"61,794",79.22,0,0,0,63,0,0,
1220,ALABAMA                  ,DALE                   ,92,"15,084",13.66,"15,084",13.66,0,0,0,86,0,0,
1230,ALABAMA                  ,DALLAS                 ,122,"21,902",14.96,"21,902",14.96,0,0,0,116,0,0,
1240,ALABAMA                  ,DEKALB                 ,52,"50,115",80.31,"50,115",80.31,0,0,0,51,0,0,
1250,ALABAMA                  ,ELMORE                 ,79,"59,918",63.20,"59,918",63.20,0,0,0,74,0,0,
1260,ALABAMA                  ,ESCAMBIA               ,77,"9,726",10.53,"9,726",10.53,0,0,0,75,0,0,
1270,ALABAMA                  ,ETOWAH                 ,196,"119,643",50.87,"119,643",50.87,0,0,0,185,0,0,
1280,ALABAMA                  ,FAYETTE                ,29,0,0.00,0,0.00,0,0,0,27,0,0,
