Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,
County code,State,County name,Locality 2013,Carrier 2013, GPCI WK 2007 , GPCI WK 2008 , GPCI WK 2009 , GPCI WK 2010 , GPCI WK 2011 , GPCI WK 2013 , GPCI PE 2007 , GPCI PE 2008 , GPCI PE 2009 , GPCI PE 2010 , GPCI PE 2011 , GPCI PE 2013 ,GPCI MP 2007,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2013
1000,AL,AUTAUGA,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1010,AL,BALDWIN,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1020,AL,BARBOUR,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1030,AL,BIBB,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1040,AL,BLOUNT,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1050,AL,BULLOCK,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1060,AL,BUTLER,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1070,AL,CALHOUN,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1080,AL,CHAMBERS,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1090,AL,CHEROKEE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
