"SNF Wage Indices bt Fiscal Year -- Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,
County code,State,County name,CBSA 2013,SNF Wage 2007,SNF Wage 2008,SNF Wage 2009 A,SNF Wage 2009 B,SNF Wage 2010,SNF Wage 2011,SNF Wage 2013
1000,AL,AUTAUGA,33860, 0.8009 , 0.8088 , NA , 0.8283 , 0.8304 , 0.8442 , 0.7858 
1010,AL,BALDWIN,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1020,AL,BARBOUR,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1030,AL,BIBB,13820, 0.8894 , 0.8898 , NA , 0.8792 , 0.8554 , 0.8611 , 0.8516 
1040,AL,BLOUNT,13820, 0.8894 , 0.8898 , NA , 0.8792 , 0.8554 , 0.8611 , 0.8516 
1050,AL,BULLOCK,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1060,AL,BUTLER,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1070,AL,CALHOUN,11500, 0.7770 , 0.7926 , NA , 0.7927 , 0.7643 , 0.7918 , 0.7539 
1080,AL,CHAMBERS,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1090,AL,CHEROKEE,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1100,AL,CHILTON,13820, 0.8894 , 0.8898 , NA , 0.8792 , 0.8554 , 0.8611 , 0.8516 
1110,AL,CHOCTAW,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1120,AL,CLARKE,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1130,AL,CLAY,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1140,AL,CLEBURNE,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1150,AL,COFFEE,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1160,AL,COLBERT,22520, 0.7843 , 0.7680 , NA , 0.7871 , 0.7998 , 0.8144 , 0.7679 
1170,AL,CONECUH,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1180,AL,COOSA,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1190,AL,COVINGTON,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1200,AL,CRENSHAW,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1210,AL,CULLMAN,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1220,AL,DALE,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1230,AL,DALLAS,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1240,AL,DEKALB,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1250,AL,ELMORE,33860, 0.8009 , 0.8088 , NA , 0.8283 , 0.8304 , 0.8442 , 0.7858 
1260,AL,ESCAMBIA,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1270,AL,ETOWAH,23460, 0.8066 , 0.8159 , NA , 0.7983 , 0.8266 , 0.7180 , 0.7697 
1280,AL,FAYETTE,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1290,AL,FRANKLIN,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1300,AL,GENEVA,20020, 0.7381 , 0.7270 , NA , 0.7613 , 0.7406 , 0.7435 , 0.7398 
1310,AL,GREENE,46220, 0.8542 , 0.8303 , NA , 0.8496 , 0.8698 , 0.8843 , 0.8533 
1320,AL,HALE,46220, 0.8542 , 0.8303 , NA , 0.8496 , 0.8698 , 0.8843 , 0.8533 
1330,AL,HENRY,20020, 0.7381 , 0.7270 , NA , 0.7613 , 0.7406 , 0.7435 , 0.7398 
1340,AL,HOUSTON,20020, 0.7381 , 0.7270 , NA , 0.7613 , 0.7406 , 0.7435 , 0.7398 
1350,AL,JACKSON,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1360,AL,JEFFERSON,13820, 0.8894 , 0.8898 , NA , 0.8792 , 0.8554 , 0.8611 , 0.8516 
1370,AL,LAMAR,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1380,AL,LAUDERDALE,22520, 0.7843 , 0.7680 , NA , 0.7871 , 0.7998 , 0.8144 , 0.7679 
1390,AL,LAWRENCE,19460, 0.8159 , 0.7885 , NA , 0.7803 , 0.7799 , 0.7621 , 0.7261 
1400,AL,LEE,12220, 0.8096 , 0.8090 , NA , 0.7544 , 0.8138 , 0.7190 , 0.7437 
1410,AL,LIMESTONE,26620, 0.9007 , 0.9146 , NA , 0.9082 , 0.9064 , 0.9191 , 0.8667 
1420,AL,LOWNDES,33860, 0.8009 , 0.8088 , NA , 0.8283 , 0.8304 , 0.8442 , 0.7858 
1430,AL,MACON,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1440,AL,MADISON,26620, 0.9007 , 0.9146 , NA , 0.9082 , 0.9064 , 0.9191 , 0.8667 
1450,AL,MARENGO,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1460,AL,MARION,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1470,AL,MARSHALL,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1480,AL,MOBILE,33660, 0.7913 , 0.8033 , NA , 0.7908 , 0.7785 , 0.7960 , 0.7467 
1490,AL,MONROE,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1500,AL,MONTGOMERY,33860, 0.8009 , 0.8088 , NA , 0.8283 , 0.8304 , 0.8442 , 0.7858 
1510,AL,MORGAN,19460, 0.8159 , 0.7885 , NA , 0.7803 , 0.7799 , 0.7621 , 0.7261 
1520,AL,PERRY,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1530,AL,PICKENS,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1540,AL,PIKE,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1550,AL,RANDOLPH,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1560,AL,RUSSELL,17980, 0.8239 , 0.8729 , NA , 0.8739 , 0.8724 , 0.9027 , 0.8857 
1570,AL,ST. CLAIR,13820, 0.8894 , 0.8898 , NA , 0.8792 , 0.8554 , 0.8611 , 0.8516 
1580,AL,SHELBY,13820, 0.8894 , 0.8898 , NA , 0.8792 , 0.8554 , 0.8611 , 0.8516 
1590,AL,SUMTER,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1600,AL,TALLADEGA,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1610,AL,TALLAPOOSA,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1620,AL,TUSCALOOSA,46220, 0.8542 , 0.8303 , NA , 0.8496 , 0.8698 , 0.8843 , 0.8533 
1630,AL,WALKER,13820, 0.8894 , 0.8898 , NA , 0.8792 , 0.8554 , 0.8611 , 0.8516 
1640,AL,WASHINGTON,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1650,AL,WILCOX,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
1660,AL,WINSTON,NA, 0.7591 , 0.7533 , NA , 0.7587 , 0.7327 , 0.7380 , 0.7121 
2013,AK,ALEUTIANS EAST,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2016,AK,ALEUTIANS WEST,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2020,AK,ANCHORAGE,11260, 1.2023 , 1.1913 , NA , 1.1931 , 1.2013 , 1.1964 , 1.2147 
2050,AK,BETHEL,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2060,AK,BRISTOL BAY,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2068,AK,DENALI,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2070,AK,DILLINGHAM,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2090,AK,FAIRBANKS NORTH STAR,21820, 1.1059 , 1.1050 , NA , 1.1297 , 1.1114 , 1.1080 , 1.0816 
2100,AK,HAINES,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2105,AK,HOONAH-ANGOON,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2110,AK,JUNEAU,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2122,AK,KENAI PENINSULA,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2130,AK,KETCHIKAN GATEWAY,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2150,AK,KODIAK ISLAND,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2164,AK,LAKE AND PENINSULA,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
2170,AK,MATANUSKA-SUSITNA,11260, 1.2023 , 1.1913 , NA , 1.1931 , 1.2013 , 1.1964 , 1.2147 
2180,AK,NOME,NA, 1.0661 , 1.2109 , NA , 1.1898 , 1.1669 , 1.2626 , 1.2807 
