AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 HOME HEALTH REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,,
01000,ALABAMA                  ,AUTAUGA,"-18,512","-17,968","-41,803","-32,507","-76,472","-23,484","-24,325","-36,040","-47,386","-55,596",,,,,,
01010,ALABAMA                  ,BALDWIN,"-227,816","-179,450","-281,136","-140,235","-166,430","-294,863","-233,807","-400,547","-205,275","-207,199",,,,,,
01020,ALABAMA                  ,BARBOUR,"-31,069","-25,631","-42,406","-18,415","-24,453","-31,505","-30,114","-45,393","-26,077","-32,589",,,,,,
01030,ALABAMA                  ,BIBB,"-22,989","-27,509","-18,023","-7,571","-19,394","-59,022","-35,113","-44,673","-18,951","-28,703",,,,,,
01040,ALABAMA                  ,BLOUNT,"-59,346","-49,531","-54,735","-17,984","-21,358","-58,884","-57,982","-68,296","-20,508","-16,714",,,,,,
01050,ALABAMA                  ,BULLOCK,"-10,313","-6,527","-10,937","-5,081","-8,191","-13,628","-9,858","-6,774","-5,958","-5,036",,,,,,
01060,ALABAMA                  ,BUTLER,"-51,426","-35,380","-38,656","-18,772","-26,801","-72,417","-56,637","-76,058","-40,086","-40,301",,,,,,
01070,ALABAMA                  ,CALHOUN,"-145,585","-213,983","-260,578","-81,810","-204,267","-131,585","-201,605","-270,311","-93,990","-258,956",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-50,450","-35,615","-37,506","-23,292","-19,130","-38,024","-29,743","-30,426","-27,592","-19,519",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-49,341","-29,159","-37,779","-21,702","-22,858","-49,925","-42,232","-58,309","-32,642","-26,851",,,,,,
01100,ALABAMA                  ,CHILTON,"-56,246","-47,447","-47,561","-12,594","-23,348","-72,990","-52,393","-61,754","-22,161","-31,305",,,,,,
