AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
01000,ALABAMA                  ,AUTAUGA,"33,885","56,004","68,313","-161,659","-199,959"
01010,ALABAMA                  ,BALDWIN,"210,269","315,049","388,067","-810,387","-965,627"
01020,ALABAMA                  ,BARBOUR,"18,115","30,785","42,878","-94,387","-120,698"
01030,ALABAMA                  ,BIBB,"8,533","20,991","27,303","-66,378","-74,803"
01040,ALABAMA                  ,BLOUNT,"16,968","39,898","61,301","-137,214","-159,177"
01050,ALABAMA                  ,BULLOCK,"4,096","10,067","10,336","-28,563","-28,295"
01060,ALABAMA                  ,BUTLER,"16,798","28,115","39,376","-88,427","-100,163"
01070,ALABAMA                  ,CALHOUN,"74,751","169,338","271,640","-579,979","-688,491"
01080,ALABAMA                  ,CHAMBERS,"18,630","40,625","62,310","-129,658","-146,274"
01090,ALABAMA                  ,CHEROKEE,"17,585","34,888","44,274","-92,898","-113,959"
01100,ALABAMA                  ,CHILTON,"19,779","43,418","61,562","-125,649","-155,118"
01110,ALABAMA                  ,CHOCTAW,"20,156","21,433","17,621","-77,445","-94,547"
01120,ALABAMA                  ,CLARKE,"13,800","30,234","44,912","-111,348","-128,685"
01130,ALABAMA                  ,CLAY,"7,781","20,919","31,343","-65,489","-68,693"
01140,ALABAMA                  ,CLEBURNE,"5,755","17,317","28,192","-51,632","-64,324"
01150,ALABAMA                  ,COFFEE,"33,311","83,091","103,480","-220,033","-263,233"
01160,ALABAMA                  ,COLBERT,"50,962","110,644","152,055","-319,790","-374,791"
01170,ALABAMA                  ,CONECUH,"15,600","24,135","27,214","-62,538","-63,940"
01180,ALABAMA                  ,COOSA,"7,387","17,854","25,282","-54,891","-63,216"
01190,ALABAMA                  ,COVINGTON,"53,116","105,821","111,289","-221,699","-259,832"
01200,ALABAMA                  ,CRENSHAW,"9,986","21,888","25,892","-63,941","-73,373"
01210,ALABAMA                  ,CULLMAN,"58,665","130,546","176,377","-385,070","-487,729"
01220,ALABAMA                  ,DALE,"42,896","81,944","116,781","-257,634","-299,808"
01230,ALABAMA                  ,DALLAS,"37,697","74,075","92,595","-187,378","-219,378"
01240,ALABAMA                  ,DEKALB,"39,329","85,718","113,540","-255,633","-297,347"
01250,ALABAMA                  ,ELMORE,"52,936","94,102","119,413","-295,654","-338,895"
01260,ALABAMA                  ,ESCAMBIA,"72,230","80,569","76,382","-128,836","-154,690"
01270,ALABAMA                  ,ETOWAH,"57,638","143,693","211,155","-481,134","-573,272"
01280,ALABAMA                  ,FAYETTE,"11,317","21,376","29,309","-64,433","-84,664"
01290,ALABAMA                  ,FRANKLIN,"27,006","54,881","77,606","-170,749","-177,888"
01300,ALABAMA                  ,GENEVA,"23,788","48,370","61,882","-139,570","-171,704"
01310,ALABAMA                  ,GREENE,"5,609","12,700","18,369","-36,066","-38,307"
01320,ALABAMA                  ,HALE,"9,832","22,126","33,294","-69,272","-90,750"
01330,ALABAMA                  ,HENRY,"10,862","21,429","32,161","-74,831","-89,256"
01340,ALABAMA                  ,HOUSTON,"54,111","116,374","166,067","-382,526","-485,065"
01350,ALABAMA                  ,JACKSON,"43,886","90,918","103,086","-275,475","-330,988"
01360,ALABAMA                  ,JEFFERSON,"333,919","686,752","939,327","-2,026,964","-2,373,103"
01370,ALABAMA                  ,LAMAR,"19,011","28,279","30,809","-90,522","-104,828"
01380,ALABAMA                  ,LAUDERDALE,"87,357","176,499","237,345","-497,022","-565,446"
01390,ALABAMA                  ,LAWRENCE,"19,472","39,386","56,586","-132,543","-154,448"
