AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
01000,ALABAMA                  ,AUTAUGA,"-38,293","-51,912","-75,112","-98,093","-130,715",,,,,
01010,ALABAMA                  ,BALDWIN,"-432,999","-402,483","-317,387","-193,001","-190,215",,,,,
01020,ALABAMA                  ,BARBOUR,"-52,204","-60,047","-66,060","-39,262","-39,258",,,,,
01030,ALABAMA                  ,BIBB,"-38,950","-35,614","-18,701","-5,485","-7,572",,,,,
01040,ALABAMA                  ,BLOUNT,"-88,965","-72,194","-54,302","-17,398","-11,196",,,,,
01050,ALABAMA                  ,BULLOCK,"-39,532","-38,867","-36,441","-25,271","-22,533",,,,,
01060,ALABAMA                  ,BUTLER,"-95,253","-76,536","-98,357","-44,300","-59,283",,,,,
01070,ALABAMA                  ,CALHOUN,"-222,969","-323,515","-251,586","-169,096","-327,584",,,,,
01080,ALABAMA                  ,CHAMBERS,"-74,320","-64,809","-54,487","-38,813","-23,736",,,,,
01090,ALABAMA                  ,CHEROKEE,"-68,771","-50,336","-58,109","-29,242","-29,758",,,,,
01100,ALABAMA                  ,CHILTON,"-46,803","-42,501","-29,710","-14,888","-14,401",,,,,
01110,ALABAMA                  ,CHOCTAW,"-46,411","-45,528","-35,909","-23,624","-27,418",,,,,
01120,ALABAMA                  ,CLARKE,"-69,338","-82,196","-68,735","-44,831","-45,986",,,,,
01130,ALABAMA                  ,CLAY,"-45,885","-38,576","-44,375","-24,419","-24,905",,,,,
01140,ALABAMA                  ,CLEBURNE,"-24,297","-32,092","-29,959","-14,519","-22,491",,,,,
01150,ALABAMA                  ,COFFEE,"-113,083","-106,169","-110,081","-52,927","-52,420",,,,,
01160,ALABAMA                  ,COLBERT,"-66,101","-29,192","-94,329","-170,062","-210,422",,,,,
01170,ALABAMA                  ,CONECUH,"-46,700","-43,892","-49,150","-29,454","-36,690",,,,,
01180,ALABAMA                  ,COOSA,"-32,790","-31,716","-29,583","-19,616","-13,006",,,,,
01190,ALABAMA                  ,COVINGTON,"-171,017","-165,781","-180,270","-103,977","-99,149",,,,,
