"AGED - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01000,ALABAMA                  ,AUTAUGA                ,4648," 2,375,094.00 ", 42.58 ," 2,375,094.00 ", 42.58 ,0,0,0,4320,0,0
01010,ALABAMA                  ,BALDWIN                ,22721," 11,959,415.00 ", 43.86 ," 11,959,415.00 ", 43.86 ,0,0,0,21298,0,0
01020,ALABAMA                  ,BARBOUR                ,3098," 1,844,328.00 ", 49.61 ," 1,844,328.00 ", 49.61 ,0,0,0,2954,0,0
01030,ALABAMA                  ,BIBB                   ,2014," 1,067,758.00 ", 44.18 ," 1,067,758.00 ", 44.18 ,0,0,0,1912,0,0
01040,ALABAMA                  ,BLOUNT                 ,4017," 2,753,789.00 ", 57.13 ," 2,753,789.00 ", 57.13 ,0,0,0,3748,0,0
01050,ALABAMA                  ,BULLOCK                ,878," 492,192.00 ", 46.72 ," 492,192.00 ", 46.72 ,0,0,0,833,0,0
01060,ALABAMA                  ,BUTLER                 ,2755," 2,020,836.00 ", 61.13 ," 2,020,836.00 ", 61.13 ,0,0,0,2666,0,0
01070,ALABAMA                  ,CALHOUN                ,16321," 7,604,274.00 ", 38.83 ," 7,604,274.00 ", 38.83 ,0,0,0,15265,0,0
01080,ALABAMA                  ,CHAMBERS               ,4893," 2,507,373.00 ", 42.70 ," 2,507,373.00 ", 42.70 ,0,0,0,4715,0,0
01090,ALABAMA                  ,CHEROKEE               ,3098," 1,912,796.00 ", 51.45 ," 1,912,796.00 ", 51.45 ,0,0,0,2981,0,0
01100,ALABAMA                  ,CHILTON                ,3271," 2,535,184.00 ", 64.59 ," 2,535,184.00 ", 64.59 ,0,0,0,3099,0,0
01110,ALABAMA                  ,CHOCTAW                ,2211," 2,635,686.00 ", 99.34 ," 2,635,686.00 ", 99.34 ,0,0,0,2194,0,0
01120,ALABAMA                  ,CLARKE                 ,3761," 2,749,172.00 ", 60.91 ," 2,749,172.00 ", 60.91 ,0,0,0,3622,0,0
01130,ALABAMA                  ,CLAY                   ,1970," 457,510.00 ", 19.35 ," 457,510.00 ", 19.35 ,0,0,0,1895,0,0
01140,ALABAMA                  ,CLEBURNE               ,1948," 995,879.00 ", 42.60 ," 995,879.00 ", 42.60 ,0,0,0,1870,0,0
01150,ALABAMA                  ,COFFEE                 ,6189," 3,721,562.00 ", 50.11 ," 3,721,562.00 ", 50.11 ,0,0,0,5931,0,0
