"DISABLED -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
01000,ALABAMA,AUTAUGA,1177,3046899,215.72,2587508,183.20,86341,339308,33741,1002,"3,881,066",322.78,0.908
01010,ALABAMA,BALDWIN,4210,11333857,224.34,10417390,206.20,196111,654718,65636,3687,"16,169,747",365.47,0.923
01020,ALABAMA,BARBOUR,1138,3128937,229.13,2860239,209.45,22527,238550,7619,1042,"3,560,227",284.73,0.971
01030,ALABAMA,BIBB,926,2500814,225.06,2203415,198.29,72627,192541,32230,805,"3,108,610",321.8,0.962
01040,ALABAMA,BLOUNT,1093,2772148,211.36,2423048,184.74,102080,182190,64828,912,"3,598,002",328.76,0.916
01050,ALABAMA,BULLOCK,313,880259,234.36,766559,204.09,16914,91660,5125,279,"858,620",256.46,0.976
01060,ALABAMA,BUTLER,999,3342061,278.78,2773436,231.35,116136,429445,23042,925,"3,367,099",303.34,1.029
01070,ALABAMA,CALHOUN,5936,21906213,307.53,19717544,276.81,332859,1710625,145183,5305,"21,075,607",331.07,0.996
01080,ALABAMA,CHAMBERS,1949,5343632,228.48,4618584,197.48,55032,650009,20005,1818,"6,479,044",296.99,0.991
01090,ALABAMA,CHEROKEE,1048,3120019,248.09,2803354,222.91,40666,254658,21339,934,"3,764,388",335.87,0.954
01100,ALABAMA,CHILTON,1021,3187857,260.19,2824028,230.50,80082,249518,34228,863,"3,876,050",374.28,0.994
01110,ALABAMA,CHOCTAW,832,2288956,229.26,1988379,199.16,64229,224560,11786,790,"2,608,103",275.12,0.922
01120,ALABAMA,CLARKE,1431,2876578,167.52,2485887,144.76,78022,265116,47551,1306,"3,462,566",220.94,0.901
01130,ALABAMA,CLAY,681,1991097,243.65,1744052,213.42,49439,164718,32886,625,"2,350,868",313.45,0.990
01140,ALABAMA,CLEBURNE,670,2473555,307.66,2247493,279.54,40329,176151,9581,622,"2,537,630",339.98,0.954
01150,ALABAMA,COFFEE,1597,4616304,240.88,4097838,213.83,82707,409568,26188,1459,"5,275,424",301.32,0.935
01160,ALABAMA,COLBERT,2529,6873458,226.49,6192969,204.07,85992,564379,30116,2325,"10,738,863",384.91,0.989
01170,ALABAMA,CONECUH,821,2758653,280.01,2446180,248.29,46117,246169,20186,773,"2,808,895",302.81,0.969
01180,ALABAMA,COOSA,694,1779722,213.70,1532735,184.05,35414,198191,13381,631,"2,607,210",344.32,0.963
01190,ALABAMA,COVINGTON,1937,5843485,251.40,5100031,219.41,107405,607742,28306,1760,"6,839,111",323.82,0.984
01200,ALABAMA,CRENSHAW,564,1423742,210.36,1180298,174.39,42418,189657,11367,527,"1,895,626",299.75,0.928
01210,ALABAMA,CULLMAN,2854,8118933,237.06,7160418,209.08,225335,620853,112325,2536,"10,851,884",356.59,1.015
01220,ALABAMA,DALE,2246,5879864,218.16,5337158,198.02,39988,486299,16417,2041,"7,958,144",324.93,0.953
01230,ALABAMA,DALLAS,2635,9429713,298.22,7339245,232.11,304613,1629279,156574,2461,"8,113,547",274.74,1.047
01240,ALABAMA,DEKALB,2501,8561924,285.28,7587588,252.82,169574,742545,62214,2276,"9,669,257",354.03,0.950
01250,ALABAMA,ELMORE,2006,5369032,223.04,4555659,189.25,130429,635264,47678,1711,"6,491,061",316.14,0.909
01260,ALABAMA,ESCAMBIA,1698,6215827,305.06,5609824,275.32,113204,460359,32439,1562,"6,609,938",352.64,0.973
01270,ALABAMA,ETOWAH,4988,16137127,269.60,14600585,243.93,266032,1150617,119891,4504,"17,815,487",329.62,0.990
01280,ALABAMA,FAYETTE,865,2359718,227.33,2024221,195.01,82352,223236,29908,793,"3,025,903",317.98,0.986
01290,ALABAMA,FRANKLIN,1446,4756367,274.11,4250475,244.96,58197,428329,19365,1366,"6,439,011",392.81,0.998
01300,ALABAMA,GENEVA,1291,4343741,280.39,3954173,255.24,37270,339907,12389,1194,"4,963,861",346.44,0.974
01310,ALABAMA,GREENE,599,1774428,246.86,1580715,219.91,37076,138552,18083,563,"1,982,714",293.47,1.070
01320,ALABAMA,HALE,1244,3514883,235.46,3036581,203.42,110180,329221,38900,1148,"3,995,723",290.05,0.903
01330,ALABAMA,HENRY,746,1707868,190.78,1515618,169.30,21942,166306,4000,674,"2,309,076",285.49,0.955
01340,ALABAMA,HOUSTON,3959,12638632,266.03,11423220,240.45,84372,1094931,36107,3659,"14,470,012",329.55,0.955
01350,ALABAMA,JACKSON,2386,9159418,319.90,8082916,282.30,185979,826095,64426,2205,"10,578,851",399.81,0.994
01360,ALABAMA,JEFFERSON,16711,58544599,291.95,49787043,248.27,3056732,4035006,1665816,13802,"49,210,537",297.12,0.944
01370,ALABAMA,LAMAR,848,2892135,284.21,2581848,253.72,74319,213508,22457,780,"3,430,152",366.47,0.966
01380,ALABAMA,LAUDERDALE,3918,11039872,234.81,10061382,214.00,116788,820278,41422,3606,"15,331,957",354.32,0.952
01390,ALABAMA,LAWRENCE,1248,3810826,254.46,3408995,227.63,52384,327486,21959,1137,"5,469,763",400.89,1.036
01400,ALABAMA,LEE,3309,8371725,210.83,7242192,182.39,134359,941066,54106,3002,"10,585,630",293.85,0.910
01410,ALABAMA,LIMESTONE,2067,6465781,260.67,5735844,231.25,102056,600829,27050,1870,"9,671,964",431.01,0.943
01420,ALABAMA,LOWNDES,406,1094106,224.57,914491,187.70,29815,135929,13868,357,"1,157,945",270.3,0.931
01430,ALABAMA,MACON,887,2653610,249.31,2384703,224.04,25826,234436,8644,773,"2,397,471",258.46,0.942
01440,ALABAMA,MADISON,7274,24372868,279.22,21734995,249.00,569774,1895725,172373,6362,"31,717,348",415.45,0.940
01450,ALABAMA,MARENGO,1131,3407356,251.06,2995494,220.71,86245,295139,30476,1046,"3,260,555",259.76,0.948
01460,ALABAMA,MARION,1381,4836690,291.86,4288729,258.79,115865,383340,48755,1271,"5,937,603",389.3,0.979
01470,ALABAMA,MARSHALL,3903,11964126,255.45,10569551,225.67,205722,1108018,80834,3547,"17,287,949",406.16,1.008
01480,ALABAMA,MOBILE,10355,33312846,268.09,28858037,232.24,1295174,2469884,689749,9068,"34,140,994",313.75,0.959
01490,ALABAMA,MONROE,1021,3007224,245.45,2714948,221.59,40519,225430,26325,938,"3,702,111",328.9,0.929
01500,ALABAMA,MONTGOMERY,5870,16848906,239.20,14217140,201.83,380109,2100249,151407,5015,"16,605,346",275.93,0.928
01510,ALABAMA,MORGAN,4428,13594562,255.84,12091489,227.56,288689,1128845,85538,4015,"20,988,171",435.62,0.987
01520,ALABAMA,PERRY,618,1587132,214.01,1329599,179.29,43781,191895,21856,583,"1,859,534",265.8,0.988
01530,ALABAMA,PICKENS,1296,4353182,279.91,3868040,248.72,103851,341589,39701,1181,"4,752,812",335.37,0.954
01540,ALABAMA,PIKE,1080,2939732,226.83,2522665,194.65,60619,333663,22784,994,"3,687,680",309.16,0.928
01550,ALABAMA,RANDOLPH,989,3655587,308.02,3179887,267.94,84807,366192,24701,921,"3,579,161",323.85,0.936
01560,ALABAMA,RUSSELL,2036,5963225,244.07,5188716,212.37,89258,636849,48401,1830,"6,623,325",301.61,0.979
01570,ALABAMA,ST  CLAIR,1769,5174463,243.76,4579059,215.71,175612,295904,123888,1467,"6,448,582",366.31,0.925
01580,ALABAMA,SHELBY,2113,6206646,244.78,5420310,213.77,207923,473802,104609,1719,"7,480,011",362.61,0.903
01590,ALABAMA,SUMTER,818,2154551,219.49,1910152,194.60,39390,191895,13111,764,"2,549,414",278.08,0.954
01600,ALABAMA,TALLADEGA,4149,12861367,258.32,11188086,224.71,282656,1240040,150584,3659,"13,518,387",307.88,0.976
01610,ALABAMA,TALLAPOOSA,2314,6999677,252.08,6094183,219.47,149867,708976,46649,2107,"8,733,900",345.43,0.961
01620,ALABAMA,TUSCALOOSA,7434,28708966.33,321.82,25102611.56,281.39,888606,2345576,372477,6671,"26,722,859",333.82,0.969
01630,ALABAMA,WALKER,3346,11136397.39,277.36,9491274.07,236.38,455948,952749,247067,2993,"12,712,030",353.94,1.045
01640,ALABAMA,WASHINGTON,827,2662437,268.28,2369280,238.74,73142,179779,40234,765,"2,955,076",321.9,0.907
01650,ALABAMA,WILCOX,918,2609726,236.90,2185204,198.37,83812,307075,33635,872,"3,520,049",336.4,0.905
01660,ALABAMA,WINSTON,1197,4076115,283.77,3578574,249.13,95017,366620,35902,1117,"5,372,250",400.79,1.031
02010,ALASKA,ALEUTIAN ISLANDS,38,220076,482.62,215548,472.69,0,4528,0,31,"129,020",346.83,0.716
02020,ALASKA,ANCHORAGE,5245,24860469,394.99,21844916,347.08,358306,2546678,110566,4664,"22,558,069",403.05,0.821
02040,ALASKA,BARROW-NORTH SLOPE,70,457152,544.23,399874,476.04,0,57278,0,62,"349,590",469.88,0.918
02050,ALASKA,BETHEL,87,249462,238.95,214850,205.80,666,33822,124,82,"262,471",266.74,0.813
02060,ALASKA,BRISTOL BAY,112,473841,352.56,430150,320.05,1224,40783,1682,99,"250,482",210.84,0.773
