DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 HOME HEALTH REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,,
01000,ALABAMA                  ,AUTAUGA,"-2,107","-1,279","-4,567","-4,511","-6,150","-2,058","-2,880","-5,948","-6,901","-12,025",,,,,,
01010,ALABAMA                  ,BALDWIN,"-23,829","-13,721","-26,455","-18,414","-18,238","-34,504","-17,492","-35,351","-21,812","-26,985",,,,,,
01020,ALABAMA                  ,BARBOUR,"-4,441","-4,383","-3,391","-3,123","-3,868","-6,682","-6,391","-10,326","-3,923","-4,386",,,,,,
01030,ALABAMA                  ,BIBB,"-4,379","-4,478","-5,218","-2,020","-2,112","-6,990","-6,519","-5,869","-2,593","-3,765",,,,,,
01040,ALABAMA                  ,BLOUNT,"-4,246","-6,924","-7,528","-2,114","-2,799","-10,397","-8,928","-11,046","-3,617","-3,024",,,,,,
01050,ALABAMA                  ,BULLOCK,-526,"-1,329","-1,136","-1,105",-745,"-1,788",-155,-246,-399,-493,,,,,,
01060,ALABAMA                  ,BUTLER,"-7,515","-4,938","-5,816","-3,771","-3,208","-14,265","-10,109","-12,399","-5,790","-6,367",,,,,,
01070,ALABAMA                  ,CALHOUN,"-15,589","-26,473","-35,199","-10,990","-35,404","-21,450","-20,740","-31,237","-12,175","-36,499",,,,,,
01080,ALABAMA                  ,CHAMBERS,"-6,765","-6,585","-5,837","-2,690","-2,598","-6,341","-2,860","-4,309","-4,600","-1,844",,,,,,
01090,ALABAMA                  ,CHEROKEE,"-5,108","-6,651","-6,321","-3,347","-3,818","-3,621","-4,062","-3,930","-4,425","-2,412",,,,,,
01100,ALABAMA                  ,CHILTON,"-8,643","-5,706","-5,436","-1,788","-4,356","-14,974","-6,842","-7,119","-3,715","-4,778",,,,,,
01110,ALABAMA                  ,CHOCTAW,"-2,267","-2,454","-2,392",-757,"-1,348","-2,973",-833,"-2,201","-1,340","-2,763",,,,,,
01120,ALABAMA                  ,CLARKE,"-3,164","-2,839","-7,876","-3,840","-3,238","-7,288","-8,522","-8,796","-4,019","-2,795",,,,,,
01130,ALABAMA                  ,CLAY,"-3,427","-3,102","-2,788","-1,334","-2,264","-3,597","-2,148","-5,674","-1,751","-1,426",,,,,,
01140,ALABAMA                  ,CLEBURNE,"-3,694","-3,230","-5,239","-2,171","-1,510","-4,121","-3,916","-4,941","-2,472","-3,963",,,,,,
01150,ALABAMA                  ,COFFEE,"-9,521","-8,546","-12,062","-4,771","-7,877","-12,746","-7,623","-9,293","-5,109","-6,984",,,,,,
01160,ALABAMA                  ,COLBERT,"-15,235","-6,137","-22,993","-31,239","-37,210","-20,417","-10,071","-26,014","-49,098","-53,794",,,,,,
01170,ALABAMA                  ,CONECUH,"-4,357","-3,539","-4,926","-1,979","-2,516","-7,309","-4,065","-3,434","-2,290","-2,161",,,,,,
01180,ALABAMA                  ,COOSA,"-2,925",-797,"-2,256","-1,380","-1,926","-3,386","-3,376","-4,492","-1,280","-1,886",,,,,,
01190,ALABAMA                  ,COVINGTON,"-14,061","-9,319","-14,535","-7,972","-8,623","-13,133","-13,419","-15,992","-7,569","-11,184",,,,,,
01200,ALABAMA                  ,CRENSHAW,"-2,649","-3,175","-4,894","-1,358","-1,773","-2,946","-2,501","-2,934","-1,688","-1,927",,,,,,
01210,ALABAMA                  ,CULLMAN,"-17,080","-12,857","-15,305","-5,843","-7,857","-15,197","-17,757","-23,362","-9,323","-9,681",,,,,,
01220,ALABAMA                  ,DALE,"-12,013","-8,410","-17,308","-11,902","-11,082","-11,006","-8,140","-7,987","-8,618","-8,109",,,,,,
01230,ALABAMA                  ,DALLAS,"-9,452","-6,921","-8,233","-3,874","-6,054","-10,611","-7,194","-12,016","-2,687","-3,937",,,,,,
01240,ALABAMA                  ,DEKALB,"-15,298","-13,284","-18,664","-9,074","-9,736","-24,147","-21,614","-25,902","-10,694","-12,542",,,,,,
01250,ALABAMA                  ,ELMORE,"-3,585","-4,517","-10,468","-13,069","-15,481","-3,840","-5,030","-8,995","-9,571","-15,109",,,,,,
