DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX (Adjustment to Part A Reimbursement),,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
01000,ALABAMA                  ,AUTAUGA,"-37,969","-75,010","-88,265","-95,385","-86,745",,,,,
01010,ALABAMA                  ,BALDWIN,"-226,305","-275,367","-258,872","-244,045","-211,395",,,,,
01020,ALABAMA                  ,BARBOUR,"16,444","11,618","-32,515","-41,538","-15,786",,,,,
01030,ALABAMA                  ,BIBB,"-40,709","-32,282","-19,859","-21,197","-23,005",,,,,
01040,ALABAMA                  ,BLOUNT,"-66,237","-55,872","-42,320","-27,058","-20,409",,,,,
01050,ALABAMA                  ,BULLOCK,"-5,431","-10,850","-16,891","-16,491","-14,185",,,,,
01060,ALABAMA                  ,BUTLER,"-107,693","-124,169","-135,084","-100,859","-84,668",,,,,
01070,ALABAMA                  ,CALHOUN,"-465,674","-440,138","-355,408","-174,471","-265,684",,,,,
01080,ALABAMA                  ,CHAMBERS,"-127,149","-152,592","-119,589","-92,112","-116,403",,,,,
01090,ALABAMA                  ,CHEROKEE,"-28,189","-29,187","-21,286","-12,942","36,385",,,,,
01100,ALABAMA                  ,CHILTON,"-78,432","-66,466","-46,310","-16,586","-23,280",,,,,
01110,ALABAMA                  ,CHOCTAW,"-17,091","-20,044","-18,405","-28,110","-26,177",,,,,
01120,ALABAMA                  ,CLARKE,"-76,336","-93,105","-83,969","-64,638","-60,994",,,,,
01130,ALABAMA                  ,CLAY,"-63,531","-56,914","-41,956","-20,925","-27,203",,,,,
01140,ALABAMA                  ,CLEBURNE,"-60,120","-60,741","-46,183","-24,735","-39,993",,,,,
01150,ALABAMA                  ,COFFEE,"-25,271","-43,891","-92,651","-68,668","-28,152",,,,,
01160,ALABAMA                  ,COLBERT,"-178,472","-126,560","-163,697","-199,612","-190,725",,,,,
01170,ALABAMA                  ,CONECUH,"-116,977","-108,215","-84,423","-62,497","-60,588",,,,,
01180,ALABAMA                  ,COOSA,"-25,682","-45,312","-43,323","-30,418","-27,470",,,,,
01190,ALABAMA                  ,COVINGTON,"-130,558","-138,206","-161,492","-127,828","-82,194",,,,,
01200,ALABAMA                  ,CRENSHAW,"-30,510","-39,817","-50,728","-47,020","-34,459",,,,,
01210,ALABAMA                  ,CULLMAN,"-233,978","-185,362","-156,389","-93,203","-81,160",,,,,
01220,ALABAMA                  ,DALE,"37,894","-4,040","-129,975","-105,777","-17,337",,,,,
01230,ALABAMA                  ,DALLAS,"-62,935","-30,824","-87,674","-106,757","-75,089",,,,,
01240,ALABAMA                  ,DEKALB,"-83,921","-86,364","-68,424","-58,037","-28,234",,,,,
01250,ALABAMA                  ,ELMORE,"-65,067","-109,711","-126,443","-176,296","-178,936",,,,,
01260,ALABAMA                  ,ESCAMBIA,"-139,958","-140,205","-161,785","-117,670","-114,749",,,,,
01270,ALABAMA                  ,ETOWAH,"12,318","27,675","35,198","-32,539","154,059",,,,,
