"DISABLED -- PUERTO RiCO 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40010,PUERTO RICO,ADJUNTAS,254,107946,35.4,77914,25.55,6984,5387,17659,68,93434,113.95,1.029
40020,PUERTO RICO,AGUADA,736,367979,41.62,336938,38.11,4210,17893,8936,223,476876,177.61,0.917
40030,PUERTO RICO,AGUADILLA,1145,698413,50.82,621948,45.26,19843,37786,18836,384,679150,147.13,0.931
40040,PUERTO RICO,AGUAS BUENAS,443,88311,16.6,79928,15.03,485,5965,1931,116,222004,158.91,0.873
40050,PUERTO RICO,AIBONITO,707,599141,70.6,543016,63.98,5518,39531,11075,235,495573,175.36,0.964
40060,PUERTO RICO,ANASCO,331,241854,60.8,211754,53.23,8552,7247,14299,102,206044,167.11,0.947
40070,PUERTO RICO,ARECIBO,2460,1233235,41.77,1077058,36.48,38671,87728,29777,762,1394952,152.52,0.889
40080,PUERTO RICO,ARROYO,272,351043,107.19,304721,93.04,13008,24448,8865,91,186209,169.27,1.007
40090,PUERTO RICO,BARCELONETA,748,327909,36.5,301129,33.52,6149,15280,5349,269,589731,182.18,1.008
40100,PUERTO RICO,BARRANQUITAS,589,317697,44.95,280712,39.72,5313,25083,6587,176,357254,169.08,0.903
40110,PUERTO RICO,BAYAMON,3137,1857310,49.33,1732190,46.01,25556,63673,35890,1014,2474157,203.32,1.003
40120,PUERTO RICO,CABO ROJO,375,326391,72.47,280092,62.19,13123,13662,19512,135,387310,239.08,0.915
40130,PUERTO RICO,CAGUAS,2340,1557138,55.45,1424853,50.74,43941,64760,23582,785,1896138,201.29,0.967
40140,PUERTO RICO,CAMUY,550,195800,29.65,179821,27.23,1331,13876,771,149,261694,146.19,0.935
40145,PUERTO RICO,CANOVANAS,2,0,0,0,0,0,0,0,1,0,0,0.886
40150,PUERTO RICO,CAROLINA,1997,1308890,54.6,1145996,47.81,35114,59875,67904,691,1784493,215.21,0.949
40160,PUERTO RICO,CATANO,948,570941,50.17,500346,43.97,21301,33295,15998,277,673212,202.04,0.956
40170,PUERTO RICO,CAYEY,1301,863580,55.31,758335,48.57,28512,54915,21817,362,716201,164.76,0.907
40180,PUERTO RICO,CEIBA,152,30460,16.66,25558,13.98,1419,1550,1931,60,123044,170.41,1.021
40190,PUERTO RICO,CIALES,423,85512,16.82,79648,15.67,1201,4330,332,133,345289,215.26,0.979
40200,PUERTO RICO,CIDRA,843,416555,41.13,374587,36.99,5294,29800,6873,262,750352,237.83,0.923
40210,PUERTO RICO,COAMO,564,349809,51.68,305141,45.08,8377,23002,13288,150,367134,203.73,0.921
40220,PUERTO RICO,COMERIO,352,173568,40.99,142777,33.72,8960,12967,8862,108,190303,146.61,1.051
40230,PUERTO RICO,COROZAL,631,230342,30.39,215965,28.49,1699,11159,1517,200,369285,153.49,0.986
40240,PUERTO RICO,CULEBRA,16,6392,32.29,6392,32.29,0,0,0,6,8762,105.52,0.621
40250,PUERTO RICO,DORADO,367,134040,30.44,127725,29,776,4665,873,135,270230,166.5,0.903
40260,PUERTO RICO,FAJARDO,498,281943,47.16,254553,42.58,4655,15227,7506,176,386214,182.17,0.962
40265,PUERTO RICO,FLORIDA,1,0,0,0,0,0,0,0,1,0,0,0.945
40270,PUERTO RICO,GUANICA,209,116107,46.28,98456,39.24,5975,7647,4028,55,131337,197.49,0.881
40280,PUERTO RICO,GUAYAMA,569,388706,56.93,356383,52.19,2976,26331,3014,176,490975,231.38,0.929
40290,PUERTO RICO,GUAYANILLA,289,259382,74.62,224544,64.6,7316,12691,14830,85,191894,186.66,0.893
40300,PUERTO RICO,GUAYNABO,746,496456,55.43,461396,51.52,15011,16866,3181,227,491175,180.18,0.941
40310,PUERTO RICO,GURABO,523,305279,48.6,290948,46.32,1270,12641,419,163,427150,217.49,0.953
40320,PUERTO RICO,HATILLO,587,250786,35.58,232603,33,2641,12720,2820,168,442771,219.52,0.903
40330,PUERTO RICO,HORMIGUEROS,329,132231,33.44,110257,27.89,5502,7654,8817,109,272460,208.3,0.960
