"DISABLED - HOSPICE - 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01000,ALABAMA                  ,AUTAUGA                ,1177," 246,629 ",17.46 ," 246,629 ",17.46 ,0,0,0,1002,0,0
01010,ALABAMA                  ,BALDWIN                ,4210," 806,207 ",15.96 ," 806,207 ",15.96 ,0,0,0,3687,0,0
01020,ALABAMA                  ,BARBOUR                ,1138," 39,443 ",2.89 ," 39,443 ",2.89 ,0,0,0,1042,0,0
01030,ALABAMA                  ,BIBB                   ,926," 211,598 ",19.04 ," 211,598 ",19.04 ,0,0,0,805,0,0
01040,ALABAMA                  ,BLOUNT                 ,1093," 150,496 ",11.47 ," 150,496 ",11.47 ,0,0,0,912,0,0
01050,ALABAMA                  ,BULLOCK                ,313," 49,169 ",13.09 ," 49,169 ",13.09 ,0,0,0,279,0,0
01060,ALABAMA                  ,BUTLER                 ,999," 77,818 ",6.49 ," 77,818 ",6.49 ,0,0,0,925,0,0
01070,ALABAMA                  ,CALHOUN                ,5936," 799,017 ",11.22 ," 799,017 ",11.22 ,0,0,0,5305,0,0
01080,ALABAMA                  ,CHAMBERS               ,1949," 146,919 ",6.28 ," 146,919 ",6.28 ,0,0,0,1818,0,0
01090,ALABAMA                  ,CHEROKEE               ,1048," 140,519 ",11.17 ," 140,519 ",11.17 ,0,0,0,934,0,0
01100,ALABAMA                  ,CHILTON                ,1021," 339,034 ",27.67 ," 339,034 ",27.67 ,0,0,0,863,0,0
01110,ALABAMA                  ,CHOCTAW                ,832," 163,659 ",16.39 ," 163,659 ",16.39 ,0,0,0,790,0,0
01120,ALABAMA                  ,CLARKE                 ,1431," 164,379 ",9.57 ," 164,379 ",9.57 ,0,0,0,1306,0,0
01130,ALABAMA                  ,CLAY                   ,681," 30,635 ",3.75 ," 30,635 ",3.75 ,0,0,0,625,0,0
01140,ALABAMA                  ,CLEBURNE               ,670," 4,171 ",0.52 ," 4,171 ",0.52 ,0,0,0,622,0,0
01150,ALABAMA                  ,COFFEE                 ,1597," 113,047 ",5.90 ," 113,047 ",5.90 ,0,0,0,1459,0,0
01160,ALABAMA                  ,COLBERT                ,2529," 322,543 ",10.63 ," 322,543 ",10.63 ,0,0,0,2325,0,0
01170,ALABAMA                  ,CONECUH                ,821," 155,917 ",15.83 ," 155,917 ",15.83 ,0,0,0,773,0,0
01180,ALABAMA                  ,COOSA                  ,694," 161,443 ",19.39 ," 161,443 ",19.39 ,0,0,0,631,0,0
01190,ALABAMA                  ,COVINGTON              ,1937," 222,607 ",9.58 ," 222,607 ",9.58 ,0,0,0,1760,0,0
01200,ALABAMA                  ,CRENSHAW               ,564," 31,622 ",4.67 ," 31,622 ",4.67 ,0,0,0,527,0,0
01210,ALABAMA                  ,CULLMAN                ,2854," 469,597 ",13.71 ," 469,597 ",13.71 ,0,0,0,2536,0,0
01220,ALABAMA                  ,DALE                   ,2246," 270,474 ",10.04 ," 270,474 ",10.04 ,0,0,0,2041,0,0
01230,ALABAMA                  ,DALLAS                 ,2635," 219,505 ",6.94 ," 219,505 ",6.94 ,0,0,0,2461,0,0
01240,ALABAMA                  ,DEKALB                 ,2501," 268,647 ",8.95 ," 268,647 ",8.95 ,0,0,0,2276,0,0
01250,ALABAMA                  ,ELMORE                 ,2006," 365,147 ",15.17 ," 365,147 ",15.17 ,0,0,0,1711,0,0
01260,ALABAMA                  ,ESCAMBIA               ,1698," 133,865 ",6.57 ," 133,865 ",6.57 ,0,0,0,1562,0,0
01270,ALABAMA                  ,ETOWAH                 ,4988," 1,111,560 ",18.57 ," 1,111,560 ",18.57 ,0,0,0,4504,0,0
01280,ALABAMA                  ,FAYETTE                ,865," 45,721 ",4.40 ," 45,721 ",4.40 ,0,0,0,793,0,0
01290,ALABAMA                  ,FRANKLIN               ,1446," 71,317 ",4.11 ," 71,317 ",4.11 ,0,0,0,1366,0,0
01300,ALABAMA                  ,GENEVA                 ,1291," 143,484 ",9.26 ," 143,484 ",9.26 ,0,0,0,1194,0,0
01310,ALABAMA                  ,GREENE                 ,599," 73,027 ",10.16 ," 73,027 ",10.16 ,0,0,0,563,0,0
01320,ALABAMA                  ,HALE                   ,1244," 129,730 ",8.69 ," 129,730 ",8.69 ,0,0,0,1148,0,0
01330,ALABAMA                  ,HENRY                  ,746," 124,518 ",13.91 ," 124,518 ",13.91 ,0,0,0,674,0,0
01340,ALABAMA                  ,HOUSTON                ,3959," 664,838 ",13.99 ," 664,838 ",13.99 ,0,0,0,3659,0,0
01350,ALABAMA                  ,JACKSON                ,2386," 562,446 ",19.64 ," 562,446 ",19.64 ,0,0,0,2205,0,0
01360,ALABAMA                  ,JEFFERSON              ,16711," 2,634,939 ",13.14 ," 2,634,939 ",13.14 ,0,0,0,13802,0,0
01370,ALABAMA                  ,LAMAR                  ,848," 54,126 ",5.32 ," 54,126 ",5.32 ,0,0,0,780,0,0
01380,ALABAMA                  ,LAUDERDALE             ,3918," 513,009 ",10.91 ," 513,009 ",10.91 ,0,0,0,3606,0,0
01390,ALABAMA                  ,LAWRENCE               ,1248," 74,076 ",4.95 ," 74,076 ",4.95 ,0,0,0,1137,0,0
01400,ALABAMA                  ,LEE                    ,3309," 528,805 ",13.32 ," 528,805 ",13.32 ,0,0,0,3002,0,0
01410,ALABAMA                  ,LIMESTONE              ,2067," 226,368 ",9.13 ," 226,368 ",9.13 ,0,0,0,1870,0,0
01420,ALABAMA                  ,LOWNDES                ,406," 63,760 ",13.09 ," 63,760 ",13.09 ,0,0,0,357,0,0
01430,ALABAMA                  ,MACON                  ,887," 132,044 ",12.41 ," 132,044 ",12.41 ,0,0,0,773,0,0
01440,ALABAMA                  ,MADISON                ,7274," 915,452 ",10.49 ," 915,452 ",10.49 ,0,0,0,6362,0,0
01450,ALABAMA                  ,MARENGO                ,1131," 88,505 ",6.52 ," 88,505 ",6.52 ,0,0,0,1046,0,0
01460,ALABAMA                  ,MARION                 ,1381," 115,510 ",6.97 ," 115,510 ",6.97 ,0,0,0,1271,0,0
01470,ALABAMA                  ,MARSHALL               ,3903," 692,572 ",14.79 ," 692,572 ",14.79 ,0,0,0,3547,0,0
01480,ALABAMA                  ,MOBILE                 ,10355," 2,023,185 ",16.28 ," 2,023,185 ",16.28 ,0,0,0,9068,0,0
01490,ALABAMA                  ,MONROE                 ,1021," 123,248 ",10.06 ," 123,248 ",10.06 ,0,0,0,938,0,0
01500,ALABAMA                  ,MONTGOMERY             ,5870," 661,555 ",9.39 ," 661,555 ",9.39 ,0,0,0,5015,0,0
01510,ALABAMA                  ,MORGAN                 ,4428," 553,348 ",10.41 ," 553,348 ",10.41 ,0,0,0,4015,0,0
01520,ALABAMA                  ,PERRY                  ,618," 84,289 ",11.37 ," 84,289 ",11.37 ,0,0,0,583,0,0
01530,ALABAMA                  ,PICKENS                ,1296," 166,615 ",10.71 ," 166,615 ",10.71 ,0,0,0,1181,0,0
01540,ALABAMA                  ,PIKE                   ,1080," 38,010 ",2.93 ," 38,010 ",2.93 ,0,0,0,994,0,0
01550,ALABAMA                  ,RANDOLPH               ,989," 94,444 ",7.96 ," 94,444 ",7.96 ,0,0,0,921,0,0
01560,ALABAMA                  ,RUSSELL                ,2036," 423,819 ",17.35 ," 423,819 ",17.35 ,0,0,0,1830,0,0
