"ESRD -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,,
01000,ALABAMA,AUTAUGA,67,"1,451,633","1,805.51","1,254,098","1,559.82","33,980","152,673","10,880",65,"2,006,296","2,572.17",,
01010,ALABAMA,BALDWIN,195,"3,111,760","1,329.81","2,831,038","1,209.85","65,448","192,762","22,511",188,"6,361,646","2,819.88",,
01020,ALABAMA,BARBOUR,75,"1,079,480","1,199.42","958,098","1,064.55","13,384","105,123","2,874",75,"2,827,294","3,141.44",,
01030,ALABAMA,BIBB,34,"630,266","1,544.77","556,335","1,363.57","22,999","45,636","5,295",32,"1,201,946","3,130.07",,
01040,ALABAMA,BLOUNT,31,"697,121","1,873.98","579,328","1,557.33","43,492","56,304","17,996",30,"951,884","2,644.12",,
01050,ALABAMA,BULLOCK,25,"600,937","2,003.12","519,972","1,733.24","7,659","71,907","1,398",25,"997,778","3,325.93",,
01060,ALABAMA,BUTLER,50,"1,107,570","1,845.95","890,409","1,484.02","45,830","159,513","11,816",48,"2,007,428","3,485.12",,
01070,ALABAMA,CALHOUN,245,"5,649,527","1,921.61","5,054,306","1,719.15","98,222","458,406","38,592",233,"9,258,967","3,311.50",,
01080,ALABAMA,CHAMBERS,87,"1,641,842","1,572.65","1,442,236","1,381.45","15,537","180,193","3,875",85,"3,175,598","3,113.33",,
01090,ALABAMA,CHEROKEE,36,"609,773","1,411.51","566,579","1,311.53","7,178","34,307","1,708",34,"1,138,281","2,789.90",,
01100,ALABAMA,CHILTON,39,"957,614","2,046.18","828,958","1,771.28","52,542","57,680","18,433",36,"1,220,477","2,825.18",,
01110,ALABAMA,CHOCTAW,44,"1,038,842","1,967.50","937,954","1,776.43","12,726","85,022","3,138",43,"1,678,987","3,253.85",,
01120,ALABAMA,CLARKE,93,"1,387,542","1,243.32","1,170,972","1,049.26","46,947","151,661","17,960",93,"3,244,168","2,906.96",,
01130,ALABAMA,CLAY,17,"259,453","1,271.83","218,150","1,069.36","14,072","21,170","6,059",17,"630,439","3,090.39",,
01140,ALABAMA,CLEBURNE,18,"659,582","3,053.62","576,935","2,671.00","17,373","59,162","6,111",18,"943,066","4,366.05",,
01150,ALABAMA,COFFEE,78,"620,377",662.80,"535,937",572.58,"11,652","67,640","5,146",74,"2,264,237","2,549.82",,
01160,ALABAMA,COLBERT,100,"1,538,404","1,282.00","1,362,606","1,135.51","26,620","140,240","8,938",96,"3,201,777","2,779.32",,
01170,ALABAMA,CONECUH,28,"319,097",949.69,"278,578",829.10,"5,858","32,973","1,685",28,"985,813","2,933.97",,
01180,ALABAMA,COOSA,23,"457,444","1,657.41","397,314","1,439.54","18,103","35,442","6,584",21,"910,532","3,613.22",,
01190,ALABAMA,COVINGTON,68,"1,262,008","1,546.58","1,124,461","1,378.02","8,029","126,965","2,552",67,"2,821,421","3,509.23",,
01200,ALABAMA,CRENSHAW,23,"572,411","2,073.95","453,126","1,641.76","15,447","100,205","3,631",22,"1,182,877","4,480.59",,
01210,ALABAMA,CULLMAN,65,"863,322","1,106.82","765,027",980.80,"19,725","72,540","6,029",62,"1,963,585","2,639.23",,
01220,ALABAMA,DALE,95,"1,585,556","1,390.84","1,420,036","1,245.65","24,499","136,165","4,855",88,"3,052,256","2,890.39",,
