"ESRD - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01000,ALABAMA                  ,AUTAUGA                ,67," 64,287 ",79.96," 64,287 ",79.96,0,0,0,65,0,0
01010,ALABAMA                  ,BALDWIN                ,195," 136,164 ",58.19," 136,164 ",58.19,0,0,0,188,0,0
01020,ALABAMA                  ,BARBOUR                ,75," 44,015 ",48.91," 44,015 ",48.91,0,0,0,75,0,0
01030,ALABAMA                  ,BIBB                   ,34," 7,793 ",19.1," 7,793 ",19.1,0,0,0,32,0,0
01040,ALABAMA                  ,BLOUNT                 ,31," 7,887 ",21.2," 7,887 ",21.2,0,0,0,30,0,0
01050,ALABAMA                  ,BULLOCK                ,25, -   ,0, -   ,0,0,0,0,25,0,0
01060,ALABAMA                  ,BUTLER                 ,50," 9,031 ",15.05," 9,031 ",15.05,0,0,0,48,0,0
01070,ALABAMA                  ,CALHOUN                ,245," 341,320 ",116.1," 341,320 ",116.1,0,0,0,233,0,0
01080,ALABAMA                  ,CHAMBERS               ,87," 4,301 ",4.12," 4,301 ",4.12,0,0,0,85,0,0
01090,ALABAMA                  ,CHEROKEE               ,36," 4,039 ",9.35," 4,039 ",9.35,0,0,0,34,0,0
01100,ALABAMA                  ,CHILTON                ,39," 27,468 ",58.69," 27,468 ",58.69,0,0,0,36,0,0
01110,ALABAMA                  ,CHOCTAW                ,44," 176,857 ",334.96," 176,857 ",334.96,0,0,0,43,0,0
01120,ALABAMA                  ,CLARKE                 ,93," 106,042 ",95.02," 106,042 ",95.02,0,0,0,93,0,0
01130,ALABAMA                  ,CLAY                   ,17," 10,206 ",50.03," 10,206 ",50.03,0,0,0,17,0,0
01140,ALABAMA                  ,CLEBURNE               ,18," 19,655 ",91," 19,655 ",91,0,0,0,18,0,0
01150,ALABAMA                  ,COFFEE                 ,78," 16,211 ",17.32," 16,211 ",17.32,0,0,0,74,0,0
01160,ALABAMA                  ,COLBERT                ,100," 30,214 ",25.18," 30,214 ",25.18,0,0,0,96,0,0
01170,ALABAMA                  ,CONECUH                ,28, -   ,0, -   ,0,0,0,0,28,0,0
01180,ALABAMA                  ,COOSA                  ,23," 7,757 ",28.11," 7,757 ",28.11,0,0,0,21,0,0
01190,ALABAMA                  ,COVINGTON              ,68," 94,853 ",116.24," 94,853 ",116.24,0,0,0,67,0,0
01200,ALABAMA                  ,CRENSHAW               ,23, -   ,0, -   ,0,0,0,0,22,0,0
01210,ALABAMA                  ,CULLMAN                ,65," 74,654 ",95.71," 74,654 ",95.71,0,0,0,62,0,0
01220,ALABAMA                  ,DALE                   ,95," 22,185 ",19.46," 22,185 ",19.46,0,0,0,88,0,0
01230,ALABAMA                  ,DALLAS                 ,139," 34,447 ",20.65," 34,447 ",20.65,0,0,0,133,0,0
01240,ALABAMA                  ,DEKALB                 ,63," 11,605 ",15.35," 11,605 ",15.35,0,0,0,63,0,0
01250,ALABAMA                  ,ELMORE                 ,86," 44,637 ",43.25," 44,637 ",43.25,0,0,0,77,0,0
01260,ALABAMA                  ,ESCAMBIA               ,83," 3,641 ",3.66," 3,641 ",3.66,0,0,0,81,0,0
01270,ALABAMA                  ,ETOWAH                 ,207," 142,429 ",57.34," 142,429 ",57.34,0,0,0,201,0,0
01280,ALABAMA                  ,FAYETTE                ,31, -   ,0, -   ,0,0,0,0,29,0,0
01290,ALABAMA                  ,FRANKLIN               ,39," 25,548 ",54.59," 25,548 ",54.59,0,0,0,37,0,0
01300,ALABAMA                  ,GENEVA                 ,35," 3,695 ",8.8," 3,695 ",8.8,0,0,0,35,0,0
01310,ALABAMA                  ,GREENE                 ,33," 45,407 ",114.66," 45,407 ",114.66,0,0,0,33,0,0
01320,ALABAMA                  ,HALE                   ,49," 31,309 ",53.25," 31,309 ",53.25,0,0,0,46,0,0
01330,ALABAMA                  ,HENRY                  ,33," 33,676 ",85.04," 33,676 ",85.04,0,0,0,33,0,0
01340,ALABAMA                  ,HOUSTON                ,149," 18,113 ",10.13," 18,113 ",10.13,0,0,0,148,0,0
01350,ALABAMA                  ,JACKSON                ,76," 1,138 ",1.25," 1,138 ",1.25,0,0,0,74,0,0
01360,ALABAMA                  ,JEFFERSON              ,1285," 371,019 ",24.06," 371,019 ",24.06,0,0,0,1196,0,0
01370,ALABAMA                  ,LAMAR                  ,27," 14,876 ",45.91," 14,876 ",45.91,0,0,0,26,0,0
01380,ALABAMA                  ,LAUDERDALE             ,126," 100,650 ",66.57," 100,650 ",66.57,0,0,0,125,0,0
01390,ALABAMA                  ,LAWRENCE               ,40," 20,691 ",43.11," 20,691 ",43.11,0,0,0,39,0,0
01400,ALABAMA                  ,LEE                    ,186," 5,639 ",2.53," 5,639 ",2.53,0,0,0,181,0,0
01410,ALABAMA                  ,LIMESTONE              ,107, 283 ,0.22, 283 ,0.22,0,0,0,104,0,0
