AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,
,,,2009,2010,2011,2012,2013,,,
01000,ALABAMA                  ,AUTAUGA,0,0,-297,-385,-69,,,
01010,ALABAMA                  ,BALDWIN,-86,-50,-208,-207,0,,,
01020,ALABAMA                  ,BARBOUR,-452,0,0,0,0,,,
01030,ALABAMA                  ,BIBB,"-99,948","-90,069","-89,203","-100,260","-38,274",,,
01040,ALABAMA                  ,BLOUNT,"-169,835","-188,560","-209,802","-199,221","-100,393",,,
01050,ALABAMA                  ,BULLOCK,-142,-18,0,0,0,,,
01060,ALABAMA                  ,BUTLER,0,0,0,0,0,,,
01070,ALABAMA                  ,CALHOUN,"-3,908","-4,442","-4,721","-9,823","-3,520",,,
01080,ALABAMA                  ,CHAMBERS,0,0,0,0,0,,,
01090,ALABAMA                  ,CHEROKEE,0,0,0,0,0,,,
01100,ALABAMA                  ,CHILTON,"-151,347","-157,161","-151,376","-156,592","-65,451",,,
01110,ALABAMA                  ,CHOCTAW,0,0,0,0,0,,,
01120,ALABAMA                  ,CLARKE,0,0,0,0,0,,,
01130,ALABAMA                  ,CLAY,0,0,0,0,0,,,
01140,ALABAMA                  ,CLEBURNE,0,0,0,0,0,,,
01150,ALABAMA                  ,COFFEE,0,-759,-166,-385,-63,,,
01160,ALABAMA                  ,COLBERT,-25,0,0,0,0,,,
01170,ALABAMA                  ,CONECUH,0,0,0,0,0,,,
01180,ALABAMA                  ,COOSA,-820,-241,-107,0,0,,,
01190,ALABAMA                  ,COVINGTON,0,0,0,0,0,,,
01200,ALABAMA                  ,CRENSHAW,0,0,0,0,0,,,
01210,ALABAMA                  ,CULLMAN,-871,"-1,766",-775,"-1,212",-588,,,
01220,ALABAMA                  ,DALE,0,0,0,-262,0,,,
01230,ALABAMA                  ,DALLAS,-514,-710,-652,-383,"-1,097",,,
01240,ALABAMA                  ,DEKALB,0,0,0,0,0,,,
01250,ALABAMA                  ,ELMORE,"-1,025",-117,0,0,0,,,
01260,ALABAMA                  ,ESCAMBIA,0,0,-438,-110,0,,,
