AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,
01000,ALABAMA                  ,AUTAUGA,"-117,325","-142,574","-153,914","-111,552","-33,021",,,,,
01010,ALABAMA                  ,BALDWIN,"-381,390","-359,495","-290,578","-168,903","120,463",,,,,
01020,ALABAMA                  ,BARBOUR,"-74,861","-69,813","-86,001","-83,978","-109,701",,,,,
01030,ALABAMA                  ,BIBB,"-33,531","-37,272","-41,103","-32,330","-29,591",,,,,
01040,ALABAMA                  ,BLOUNT,"-102,799","-73,694","-73,622","-54,631","-52,689",,,,,
01050,ALABAMA                  ,BULLOCK,"-16,538","-19,166","-21,750","-19,725","-9,202",,,,,
01060,ALABAMA                  ,BUTLER,"-78,172","-80,356","-83,780","-53,813","-5,821",,,,,
01070,ALABAMA                  ,CALHOUN,"-360,456","-274,649","-358,050","-410,377","-131,544",,,,,
01080,ALABAMA                  ,CHAMBERS,"-66,162","-76,105","-92,668","-46,022","10,728",,,,,
01090,ALABAMA                  ,CHEROKEE,"-53,987","-51,051","-10,397","-2,968","-32,149",,,,,
01100,ALABAMA                  ,CHILTON,"-82,362","-68,064","-66,377","-49,081","-42,988",,,,,
01110,ALABAMA                  ,CHOCTAW,"-47,909","-58,013","-53,864","-43,082","-19,023",,,,,
01120,ALABAMA                  ,CLARKE,"-75,127","-77,289","-73,208","-55,585","-16,223",,,,,
01130,ALABAMA                  ,CLAY,"-63,200","-43,374","-42,946","-40,497","-24,930",,,,,
01140,ALABAMA                  ,CLEBURNE,"-39,772","-27,834","-37,742","-30,033","-13,655",,,,,
01150,ALABAMA                  ,COFFEE,"-150,985","-133,485","-101,507",-919,"-60,398",,,,,
01160,ALABAMA                  ,COLBERT,"-206,983","-235,784","-248,060","-145,740","-58,707",,,,,
01170,ALABAMA                  ,CONECUH,"-44,465","-37,669","-44,360","-27,097","-6,312",,,,,
01180,ALABAMA                  ,COOSA,"-57,210","-54,737","-44,081","-33,546","-22,450",,,,,
01190,ALABAMA                  ,COVINGTON,"-153,163","-136,931","-116,401","-60,208","-47,324",,,,,
01200,ALABAMA                  ,CRENSHAW,"-45,090","-52,606","-50,606","-33,243","-20,057",,,,,
01210,ALABAMA                  ,CULLMAN,"-254,218","-191,537","-163,672","-152,136","-71,375",,,,,
01220,ALABAMA                  ,DALE,"-189,304","-173,678","-111,627","54,903","-79,098",,,,,
01230,ALABAMA                  ,DALLAS,"-92,000","-115,149","-92,356","-69,789","-47,991",,,,,
01240,ALABAMA                  ,DEKALB,"-352,455","-295,950","-175,425","-122,749","-70,560",,,,,
01250,ALABAMA                  ,ELMORE,"-188,022","-258,504","-257,024","-194,277","-53,278",,,,,
01260,ALABAMA                  ,ESCAMBIA,"-128,670","-104,168","-97,417","-62,632","-1,357",,,,,
01270,ALABAMA                  ,ETOWAH,"-215,660","-268,770","-146,353","-287,523","-271,704",,,,,
01280,ALABAMA                  ,FAYETTE,"-8,208","-8,562","-20,950","-8,944","-21,259",,,,,
01290,ALABAMA                  ,FRANKLIN,"-90,461","-105,037","-97,566","-54,339","-21,037",,,,,
01300,ALABAMA                  ,GENEVA,"-93,691","-85,326","-52,629","35,948","-43,457",,,,,
01310,ALABAMA                  ,GREENE,"-9,219","-17,663","-22,667","-27,232","-23,222",,,,,
01320,ALABAMA                  ,HALE,"-23,872","-40,213","-42,971","-32,158","-22,338",,,,,
01330,ALABAMA                  ,HENRY,"-63,209","-56,828","-40,505","22,977","-36,561",,,,,
01340,ALABAMA                  ,HOUSTON,"-322,835","-307,385","-174,794","151,207","-176,287",,,,,
01350,ALABAMA                  ,JACKSON,"-141,493","-151,954","-148,404","10,318","84,446",,,,,
01360,ALABAMA                  ,JEFFERSON,"-1,177,806","-860,478","-963,171","-721,312","-744,206",,,,,
01370,ALABAMA                  ,LAMAR,"-23,889","-27,511","-28,687","-14,274","-19,200",,,,,
01380,ALABAMA                  ,LAUDERDALE,"-292,293","-334,652","-336,583","-173,677","-73,380",,,,,
01390,ALABAMA                  ,LAWRENCE,"-121,015","-121,762","-132,072","-83,067","-6,417",,,,,
01400,ALABAMA                  ,LEE,"-172,226","-178,031","-285,892","-342,395","-155,095",,,,,
01410,ALABAMA                  ,LIMESTONE,"-175,788","-187,242","-222,075","-113,784","36,523",,,,,
01420,ALABAMA                  ,LOWNDES,"-23,653","-24,080","-25,391","-15,879","-5,975",,,,,
01430,ALABAMA                  ,MACON,"-34,513","-38,448","-47,516","-49,973","-17,479",,,,,
01440,ALABAMA                  ,MADISON,"-604,841","-681,720","-811,739","-424,105","158,045",,,,,
01450,ALABAMA                  ,MARENGO,"-42,047","-45,486","-48,252","-35,316","-25,744",,,,,
01460,ALABAMA                  ,MARION,"-57,662","-45,854","-48,680","-31,052","-41,866",,,,,
01470,ALABAMA                  ,MARSHALL,"-347,353","-301,496","-332,067","-188,323","-55,049",,,,,
01480,ALABAMA                  ,MOBILE,"-402,872","-419,343","-447,420","-437,736","62,730",,,,,
01490,ALABAMA                  ,MONROE,"-61,168","-52,832","-61,708","-48,949","-10,698",,,,,
01500,ALABAMA                  ,MONTGOMERY,"-439,279","-576,275","-608,093","-432,900","-111,973",,,,,
01510,ALABAMA                  ,MORGAN,"-568,995","-586,574","-637,104","-439,890","9,623",,,,,
01520,ALABAMA                  ,PERRY,"-19,947","-27,316","-23,206","-19,224","-12,371",,,,,
01530,ALABAMA                  ,PICKENS,"-2,545","-4,217","-3,735","20,957","14,412",,,,,
01540,ALABAMA                  ,PIKE,"-105,779","-129,322","-156,665","-116,363","-71,318",,,,,
01550,ALABAMA                  ,RANDOLPH,"-53,758","-45,353","-62,468","-57,536","-29,490",,,,,
01560,ALABAMA                  ,RUSSELL,"-174,332","-157,948","-224,679","-224,472","-153,188",,,,,
01570,ALABAMA                  ,ST. CLAIR,"-121,636","-96,550","-99,497","-83,926","-88,106",,,,,
01580,ALABAMA                  ,SHELBY,"-196,954","-157,394","-161,433","-128,371","-129,153",,,,,
01590,ALABAMA                  ,SUMTER,"-30,248","-41,432","-37,972","-31,910","-18,439",,,,,
01600,ALABAMA                  ,TALLADEGA,"-376,340","-317,284","-291,759","-164,738","-105,716",,,,,
