AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,
01000,ALABAMA                  ,AUTAUGA,"-109,893","-136,184","-179,166","-81,608","-29,488",,,,,
01010,ALABAMA                  ,BALDWIN,"-330,146","-206,523","-204,861","-106,414","-12,061",,,,,
01020,ALABAMA                  ,BARBOUR,"-100,616","-78,245","-77,230","-44,990","-20,831",,,,,
01030,ALABAMA                  ,BIBB,"-46,300","-27,075","-27,940","-16,171","-8,322",,,,,
01040,ALABAMA                  ,BLOUNT,"-120,433","-79,483","-80,194","-51,138","-32,791",,,,,
01050,ALABAMA                  ,BULLOCK,"-51,623","-44,978","-37,339","-21,171","-8,199",,,,,
01060,ALABAMA                  ,BUTLER,"-142,034","-78,097","-102,306","-56,160","-21,242",,,,,
01070,ALABAMA                  ,CALHOUN,"-319,951","-251,756","-414,879","-376,895","-64,721",,,,,
01080,ALABAMA                  ,CHAMBERS,"-57,092","-42,176","-20,753","-19,664","11,393",,,,,
01090,ALABAMA                  ,CHEROKEE,"-85,196","-54,405","-53,758","-30,730","-14,694",,,,,
01100,ALABAMA                  ,CHILTON,"-65,795","-43,580","-54,843","-34,504","-33,560",,,,,
01110,ALABAMA                  ,CHOCTAW,"-51,814","-42,647","-47,004","-22,940","-11,815",,,,,
01120,ALABAMA                  ,CLARKE,"-95,737","-73,222","-74,283","-39,038","-17,335",,,,,
01130,ALABAMA                  ,CLAY,"-63,502","-42,954","-43,997","-28,185","-11,724",,,,,
01140,ALABAMA                  ,CLEBURNE,"-41,772","-26,132","-38,701","-28,926","-8,660",,,,,
01150,ALABAMA                  ,COFFEE,"-165,423","-101,886","-105,165","-47,105","-30,806",,,,,
01160,ALABAMA                  ,COLBERT,"-137,609","-219,750","-268,964","-69,601","-35,394",,,,,
01170,ALABAMA                  ,CONECUH,"-70,037","-49,473","-61,740","-43,029","-18,603",,,,,
