DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
01000,ALABAMA                  ,AUTAUGA,"-130,721","-130,488","-121,505","-63,307","-27,899",,,,,,,,,,,
01010,ALABAMA                  ,BALDWIN,"-217,983","-206,354","-170,974","-103,007","49,557",,,,,,,,,,,
01020,ALABAMA                  ,BARBOUR,"-61,717","-69,647","-51,820","6,138","-36,531",,,,,,,,,,,
01030,ALABAMA                  ,BIBB,"-57,082","-62,047","-62,909","-42,214","-30,528",,,,,,,,,,,
01040,ALABAMA                  ,BLOUNT,"-83,483","-78,787","-68,439","-51,713","-43,718",,,,,,,,,,,
01050,ALABAMA                  ,BULLOCK,"-26,240","-25,422","-22,323","-9,951","-4,755",,,,,,,,,,,
01060,ALABAMA                  ,BUTLER,"-166,983","-132,938","-109,770","-65,448","-12,481",,,,,,,,,,,
01070,ALABAMA                  ,CALHOUN,"-545,317","-359,314","-479,468","-437,027","-154,714",,,,,,,,,,,
01080,ALABAMA                  ,CHAMBERS,"-88,833","-79,488","-110,588","-39,155","13,169",,,,,,,,,,,
01090,ALABAMA                  ,CHEROKEE,"-74,782","-63,042","-8,467","-13,083","-43,855",,,,,,,,,,,
01100,ALABAMA                  ,CHILTON,"-105,278","-67,996","-80,417","-54,277","-38,110",,,,,,,,,,,
01110,ALABAMA                  ,CHOCTAW,"-46,931","-51,471","-58,477","-36,189","-21,724",,,,,,,,,,,
01120,ALABAMA                  ,CLARKE,"-97,331","-72,102","-66,604","-58,135","-7,569",,,,,,,,,,,
01130,ALABAMA                  ,CLAY,"-66,721","-48,751","-53,185","-39,768","-21,255",,,,,,,,,,,
01140,ALABAMA                  ,CLEBURNE,"-61,382","-43,585","-59,861","-44,873","-15,495",,,,,,,,,,,
01150,ALABAMA                  ,COFFEE,"-146,679","-118,342","-90,912","-18,830","-66,127",,,,,,,,,,,
