DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,
01000,ALABAMA                  ,AUTAUGA,"25,627","-18,158","-21,827","13,237","13,293",,,,,,
01010,ALABAMA                  ,BALDWIN,"92,822","-89,917","-100,688","55,637","54,524",,,,,,
01020,ALABAMA                  ,BARBOUR,"19,200","-16,628","-17,804","12,167","13,526",,,,,,
01030,ALABAMA                  ,BIBB,"17,646","-12,655","-15,399","10,814","10,225",,,,,,
01040,ALABAMA                  ,BLOUNT,"22,462","-18,053","-18,733","13,775","13,179",,,,,,
01050,ALABAMA                  ,BULLOCK,"5,858","-6,000","-6,200","2,641","2,813",,,,,,
01060,ALABAMA                  ,BUTLER,"19,905","-14,165","-14,620","11,089","11,851",,,,,,
01070,ALABAMA                  ,CALHOUN,"139,004","-104,562","-116,258","83,207","80,555",,,,,,
01080,ALABAMA                  ,CHAMBERS,"35,675","-29,055","-32,493","20,707","19,665",,,,,,
01090,ALABAMA                  ,CHEROKEE,"23,502","-22,132","-23,019","10,833","9,646",,,,,,
01100,ALABAMA                  ,CHILTON,"26,155","-20,681","-22,021","14,629","14,082",,,,,,
01110,ALABAMA                  ,CHOCTAW,"5,902","-21,801","-26,254",189,-125,,,,,,
01120,ALABAMA                  ,CLARKE,"22,992","-15,881","-19,038","13,425","12,020",,,,,,
01130,ALABAMA                  ,CLAY,"14,510","-10,880","-12,273","8,746","8,246",,,,,,
01140,ALABAMA                  ,CLEBURNE,"14,131","-10,804","-13,444","7,298","6,559",,,,,,
01150,ALABAMA                  ,COFFEE,"34,620","-27,084","-31,733","22,905","22,512",,,,,,
01160,ALABAMA                  ,COLBERT,"77,137","-65,770","-70,279","40,858","41,480",,,,,,
01170,ALABAMA                  ,CONECUH,"14,849","-11,709","-16,817","7,774","5,650",,,,,,
01180,ALABAMA                  ,COOSA,"15,577","-11,296","-12,834","9,703","9,343",,,,,,
01190,ALABAMA                  ,COVINGTON,"44,261","-36,411","-40,647","19,748","19,870",,,,,,
01200,ALABAMA                  ,CRENSHAW,"13,090","-10,187","-8,623","5,787","6,531",,,,,,
01210,ALABAMA                  ,CULLMAN,"71,785","-56,352","-66,379","41,845","42,038",,,,,,
01220,ALABAMA                  ,DALE,"48,420","-37,140","-41,739","32,188","31,180",,,,,,
01230,ALABAMA                  ,DALLAS,"58,161","-46,332","-52,340","33,834","31,381",,,,,,
01240,ALABAMA                  ,DEKALB,"57,429","-45,321","-48,371","35,197","31,878",,,,,,
01250,ALABAMA                  ,ELMORE,"40,665","-36,451","-34,545","22,999","26,140",,,,,,
01260,ALABAMA                  ,ESCAMBIA,"20,806","-35,653","-37,869","3,588","2,969",,,,,,
01270,ALABAMA                  ,ETOWAH,"111,191","-84,634","-97,227","73,534","74,968",,,,,,
01280,ALABAMA                  ,FAYETTE,"18,395","-12,101","-15,149","11,200","11,570",,,,,,
01290,ALABAMA                  ,FRANKLIN,"39,299","-34,225","-37,063","21,503","21,039",,,,,,
01300,ALABAMA                  ,GENEVA,"24,798","-21,689","-27,568","15,678","15,296",,,,,,
01310,ALABAMA                  ,GREENE,"11,441","-10,094","-11,228","7,866","8,313",,,,,,
01320,ALABAMA                  ,HALE,"23,831","-18,466","-21,219","14,562","16,198",,,,,,
