DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,
01000,ALABAMA                  ,AUTAUGA,"-4,997","-10,971","-8,458","-1,550","-2,408",,,,,
01010,ALABAMA                  ,BALDWIN,"-33,835","-16,045","-16,745","-10,501",-515,,,,,
01020,ALABAMA                  ,BARBOUR,"-12,573","-10,384","-10,353","-4,653","-2,264",,,,,
01030,ALABAMA                  ,BIBB,"-2,495","-2,229","-1,935",-598,-397,,,,,
01040,ALABAMA                  ,BLOUNT,"-6,275","-7,140","-2,611","-2,704","-1,650",,,,,
01050,ALABAMA                  ,BULLOCK,"-2,278","-3,780","-3,295","-1,176",-479,,,,,
01060,ALABAMA                  ,BUTLER,"-6,733","-4,879","-9,419","-3,482","-1,610",,,,,
01070,ALABAMA                  ,CALHOUN,"-28,956","-26,455","-50,239","-40,623","-7,149",,,,,
01080,ALABAMA                  ,CHAMBERS,"-7,050","-3,584","-4,733","-3,674",375,,,,,
01090,ALABAMA                  ,CHEROKEE,"-7,968","-5,456","-3,099","-2,612","-1,361",,,,,
01100,ALABAMA                  ,CHILTON,"-5,337","-3,871","-3,745","-4,096","-2,575",,,,,
01110,ALABAMA                  ,CHOCTAW,"-2,993","-2,671","-3,915","-3,104","-1,763",,,,,
01120,ALABAMA                  ,CLARKE,"-12,761","-8,018","-2,964","-2,645","-3,750",,,,,
01130,ALABAMA                  ,CLAY,"-2,547","-4,404","-2,616","-3,496",-891,,,,,
01140,ALABAMA                  ,CLEBURNE,"-4,717","-2,000","-1,718","-4,966",-769,,,,,
01150,ALABAMA                  ,COFFEE,"-9,830","-4,636","-5,812","-4,936","-1,805",,,,,
01160,ALABAMA                  ,COLBERT,"-19,050","-21,182","-28,110","-8,018","-4,210",,,,,
01170,ALABAMA                  ,CONECUH,"-9,325","-5,748","-6,147","-3,924","-1,935",,,,,
01180,ALABAMA                  ,COOSA,"-3,102","-4,297","-4,113","-2,205",-556,,,,,
01190,ALABAMA                  ,COVINGTON,"-13,742","-10,810","-9,083","-8,129","-3,515",,,,,
01200,ALABAMA                  ,CRENSHAW,"-7,275","-5,215","-4,900","-4,364",-730,,,,,
01210,ALABAMA                  ,CULLMAN,"-29,936","-19,347","-21,464","-12,952","-8,122",,,,,
01220,ALABAMA                  ,DALE,"-11,011","-16,334","-12,881","-7,063","-5,109",,,,,
01230,ALABAMA                  ,DALLAS,"-25,105","-17,906","-18,411","-13,039","-7,242",,,,,
01240,ALABAMA                  ,DEKALB,"-18,630","-15,203","-14,843","-10,194","-5,725",,,,,
01250,ALABAMA                  ,ELMORE,"-9,677","-23,998","-19,511","-7,148","-3,115",,,,,
01260,ALABAMA                  ,ESCAMBIA,"-16,187","-13,144","-10,967","-6,050","-1,724",,,,,
01270,ALABAMA                  ,ETOWAH,"-34,997","-39,281","8,311","-32,199","-13,064",,,,,
01280,ALABAMA                  ,FAYETTE,"-2,526","-3,315","-2,590","-2,028","-1,211",,,,,
01290,ALABAMA                  ,FRANKLIN,"-11,124","-10,042","-9,453","-7,029","-2,690",,,,,
01300,ALABAMA                  ,GENEVA,"-3,812","-7,607","-8,279",-119,"-2,954",,,,,
01310,ALABAMA                  ,GREENE,"-2,439","-2,913","-4,027","-4,544","-6,656",,,,,
01320,ALABAMA                  ,HALE,"-2,267","-6,330","-5,277","-5,461","-2,121",,,,,
01330,ALABAMA                  ,HENRY,"-1,236","-1,642","-2,993","-1,561","-1,239",,,,,
01340,ALABAMA                  ,HOUSTON,"-14,178","-13,640","-9,855","-5,388","-5,213",,,,,
01350,ALABAMA                  ,JACKSON,"-8,174","-10,835","-12,482","-6,122","-1,920",,,,,
01360,ALABAMA                  ,JEFFERSON,"-187,462","-123,669","-162,235","-99,898","-87,493",,,,,
01370,ALABAMA                  ,LAMAR,"-8,938","-6,694","-6,558","-2,178","-2,268",,,,,
01380,ALABAMA                  ,LAUDERDALE,"-18,660","-34,226","-41,557","-10,740","-6,201",,,,,
01390,ALABAMA                  ,LAWRENCE,"-8,432","-12,850","-8,762","-5,582","-3,091",,,,,
01400,ALABAMA                  ,LEE,703,2,"5,809","-4,649","3,856",,,,,
01410,ALABAMA                  ,LIMESTONE,"-10,597","-17,249","-13,314","-10,573","-2,065",,,,,
01420,ALABAMA                  ,LOWNDES,"-1,125","-1,526","-2,165","-2,635",0,,,,,
01430,ALABAMA                  ,MACON,"-9,498","-10,690","-6,919","-5,156",-514,,,,,
01440,ALABAMA                  ,MADISON,"-62,802","-75,516","-96,104","-44,677","-11,273",,,,,
01450,ALABAMA                  ,MARENGO,"-2,927","-3,524","-4,186","-3,692","-1,580",,,,,
01460,ALABAMA                  ,MARION,"-8,264","-9,542","-7,888","-7,676","-3,995",,,,,
01470,ALABAMA                  ,MARSHALL,"-33,625","-35,509","-29,942","-18,187","-8,674",,,,,
01480,ALABAMA                  ,MOBILE,"-68,558","-55,554","-96,214","-66,340","7,699",,,,,
01490,ALABAMA                  ,MONROE,"-5,990","-4,078","-8,944","-4,009","-1,589",,,,,
01500,ALABAMA                  ,MONTGOMERY,"-30,227","-51,211","-62,233","-38,500","-12,492",,,,,
01510,ALABAMA                  ,MORGAN,"-44,342","-56,711","-40,626","-19,479","-13,663",,,,,
01520,ALABAMA                  ,PERRY,"-1,485","-3,934","-5,062","-1,397",-514,,,,,
01530,ALABAMA                  ,PICKENS,"-1,587","2,045","4,796","5,867","2,048",,,,,
01540,ALABAMA                  ,PIKE,"-9,961","-8,930","-6,644","-6,279","-1,725",,,,,
01550,ALABAMA                  ,RANDOLPH,"-4,457","-3,395","-5,016","-4,400","-1,128",,,,,
01560,ALABAMA                  ,RUSSELL,"-7,215","-7,531","-20,043","-14,572","-11,989",,,,,
01570,ALABAMA                  ,ST. CLAIR,"-10,855","-9,326","-7,736","-4,657","-4,789",,,,,
01580,ALABAMA                  ,SHELBY,"-13,943","-14,887","-7,146","-6,037","-6,076",,,,,
01590,ALABAMA                  ,SUMTER,"-6,245","-4,152","-4,876","-2,245","-1,429",,,,,
01600,ALABAMA                  ,TALLADEGA,"-38,726","-28,159","-28,627","-19,511","-9,738",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-10,262","-8,285","-10,802","-5,602","-3,365",,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-20,070","-47,860","-55,997","-32,845","-17,760",,,,,
01630,ALABAMA                  ,WALKER,"-25,787","-19,949","-22,801","-13,811","-13,150",,,,,
01640,ALABAMA                  ,WASHINGTON,"-3,081","-2,467","-5,037",-919,57,,,,,
01650,ALABAMA                  ,WILCOX,"-2,644","-1,641","-4,232","-3,017",-350,,,,,
01660,ALABAMA                  ,WINSTON,"-7,522","-10,979","-8,260","-7,506","-3,790",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0,0,0,,,,,
02020,ALASKA                   ,ANCHORAGE,"7,965","7,765","7,077","4,398","2,555",,,,,
02040,ALASKA                   ,BARROW DIVISION,0,0,0,0,0,,,,,
02050,ALASKA                   ,BETHEL,0,10,590,0,0,,,,,
02060,ALASKA                   ,BRISTOL BAY,-2,-156,0,-330,312,,,,,
02070,ALASKA                   ,DILLINGHAM,0,586,0,0,0,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,-71,0,0,-27,0,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-1,094","1,283","1,420",167,874,,,,,
02100,ALASKA                   ,HAINES,0,0,330,0,0,,,,,
02110,ALASKA                   ,JUNEAU,"3,603","3,097","2,612",746,49,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"2,924",-306,"-1,190",611,-226,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"3,547","2,829",937,"1,051",249,,,,,
02140,ALASKA                   ,KOBUK,0,0,0,0,540,,,,,
02150,ALASKA                   ,KODIAK ISLAND,152,191,0,0,0,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,79,0,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,60,787,725,"1,254","1,483",,,,,
02180,ALASKA                   ,NOME,-11,0,0,-76,0,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,766,119,334,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,159,91,209,,,,,
02210,ALASKA                   ,SEWARD,0,73,0,0,0,,,,,
02220,ALASKA                   ,SITKA,222,480,381,394,68,,,,,
02230,ALASKA                   ,SKAGWAY,0,0,0,59,0,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,463,797,-344,117,59,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,0,0,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,82,8,0,0,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,0,0,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,"1,148",3,0,0,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,357,0,0,0,286,,,,,
03000,ARIZONA                  ,APACHE,"6,468","5,054","-3,306",-467,"-1,522",,,,,
03010,ARIZONA                  ,COCHISE,"5,614","-6,717","-10,947",-972,"-1,661",,,,,
03020,ARIZONA                  ,COCONINO,"8,116",229,"-4,784","-4,221",357,,,,,
03030,ARIZONA                  ,GILA,"17,785","4,374",252,"4,191","-1,244",,,,,
03040,ARIZONA                  ,GRAHAM,534,-125,255,"-1,913",-821,,,,,
03050,ARIZONA                  ,GREENLEE,-447,-683,-334,"-1,459",0,,,,,
03055,ARIZONA                  ,LA PAZ,-939,-891,"-1,061","-1,552",209,,,,,
03060,ARIZONA                  ,MARICOPA,"-21,142","-130,676","-149,905","-91,906","-45,781",,,,,
03070,ARIZONA                  ,MOHAVE,"-24,361","-70,734","-43,674","-25,803","-17,718",,,,,
03080,ARIZONA                  ,NAVAJO,"10,691","1,671",388,768,329,,,,,
03090,ARIZONA                  ,PIMA,"-83,376","-124,461","-138,803","-87,208","-49,271",,,,,
03100,ARIZONA                  ,PINAL,"-4,252","-21,651","-15,977","-10,120","-6,026",,,,,
