"DISABLED- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01000,ALABAMA,AUTAUGA,"1,193","204,240",14,"204,240",14,0,0,0,"1,018",0,0
01010,ALABAMA,BALDWIN,"4,308","706,167",14,"706,167",14,0,0,0,"3,779",0,0
01020,ALABAMA,BARBOUR,"1,127","51,460",4,"51,460",4,0,0,0,"1,045",0,0
01030,ALABAMA,BIBB,869,"205,591",20,"205,591",20,0,0,0,774,0,0
01040,ALABAMA,BLOUNT,"1,114","120,154",9,"120,155",9,0,0,0,953,0,0
01050,ALABAMA,BULLOCK,287,"22,290",6,"22,290",6,0,0,0,252,0,0
01060,ALABAMA,BUTLER,"1,042","136,093",11,"136,093",11,0,0,0,980,0,0
01070,ALABAMA,CALHOUN,"5,912","1,077,043",15,"1,077,043",15,0,0,0,"5,318",0,0
01080,ALABAMA,CHAMBERS,"1,953","253,905",11,"253,905",11,0,0,0,"1,832",0,0
01090,ALABAMA,CHEROKEE,"1,009","155,676",13,"155,677",13,0,0,0,923,0,0
01100,ALABAMA,CHILTON,953,"342,838",30,"342,838",30,0,0,0,803,0,0
01110,ALABAMA,CHOCTAW,837,"427,650",43,"427,651",43,0,0,0,793,0,0
01120,ALABAMA,CLARKE,"1,452","63,321",4,"63,321",4,0,0,0,"1,317",0,0
01130,ALABAMA,CLAY,660,"99,991",13,"99,991",13,0,0,0,604,0,0
01140,ALABAMA,CLEBURNE,681,"222,602",27,"222,602",27,0,0,0,633,0,0
01150,ALABAMA,COFFEE,"1,632","157,708",8,"157,709",8,0,0,0,"1,496",0,0
01160,ALABAMA,COLBERT,"2,535","314,121",10,"314,121",10,0,0,0,"2,340",0,0
01170,ALABAMA,CONECUH,820,"99,810",10,"99,810",10,0,0,0,777,0,0
01180,ALABAMA,COOSA,722,"135,855",16,"135,855",16,0,0,0,647,0,0
01190,ALABAMA,COVINGTON,"2,054","220,944",9,"220,944",9,0,0,0,"1,879",0,0
01200,ALABAMA,CRENSHAW,574,"77,590",11,"77,590",11,0,0,0,534,0,0
01210,ALABAMA,CULLMAN,"2,874","505,035",15,"505,035",15,0,0,0,"2,579",0,0
01220,ALABAMA,DALE,"2,216","283,375",11,"283,375",11,0,0,0,"2,012",0,0
01230,ALABAMA,DALLAS,"2,743","131,678",4,"131,679",4,0,0,0,"2,558",0,0
01240,ALABAMA,DE KALB,"2,428","711,597",24,"711,597",24,0,0,0,"2,229",0,0
01250,ALABAMA,ELMORE,"2,003","421,513",18,"421,513",18,0,0,0,"1,728",0,0
01260,ALABAMA,ESCAMBIA,"1,758","69,845",3,"69,845",3,0,0,0,"1,627",0,0
01270,ALABAMA,ETOWAH,"4,996","1,205,354",20,"1,205,354",20,0,0,0,"4,528",0,0
01280,ALABAMA,FAYETTE,886,"58,489",6,"58,489",6,0,0,0,814,0,0
01290,ALABAMA,FRANKLIN,"1,459","79,127",5,"79,127",5,0,0,0,"1,368",0,0
01300,ALABAMA,GENEVA,"1,273","152,824",10,"152,824",10,0,0,0,"1,187",0,0
01310,ALABAMA,GREENE,620,"98,280",13,"98,280",13,0,0,0,582,0,0
01320,ALABAMA,HALE,"1,345","143,572",9,"143,573",9,0,0,0,"1,239",0,0
01330,ALABAMA,HENRY,786,"147,927",16,"147,926",16,0,0,0,722,0,0
01340,ALABAMA,HOUSTON,"4,183","666,173",13,"666,173",13,0,0,0,"3,886",0,0
01350,ALABAMA,JACKSON,"2,386","373,618",13,"373,618",13,0,0,0,"2,230",0,0
01360,ALABAMA,JEFFERSON,"16,487","2,447,374",12,"2,447,374",12,0,0,0,"13,636",0,0
01370,ALABAMA,LAMAR,892,"14,901",1,"14,901",1,0,0,0,828,0,0
01380,ALABAMA,LAUDERDALE,"3,988","283,535",6,"283,535",6,0,0,0,"3,672",0,0
01390,ALABAMA,LAWRENCE,"1,255","92,188",6,"92,188",6,0,0,0,"1,142",0,0
01400,ALABAMA,LEE,"3,662","607,196",14,"607,196",14,0,0,0,"3,314",0,0
01410,ALABAMA,LIMESTONE,"2,055","283,815",12,"283,815",12,0,0,0,"1,850",0,0
01420,ALABAMA,LOWNDES,379,"81,059",18,"81,060",18,0,0,0,341,0,0
01430,ALABAMA,MACON,853,"170,575",17,"170,575",17,0,0,0,753,0,0
01440,ALABAMA,MADISON,"7,532","735,790",8,"735,790",8,0,0,0,"6,665",0,0
01450,ALABAMA,MARENGO,"1,162","82,136",6,"82,136",6,0,0,0,"1,086",0,0
01460,ALABAMA,MARION,"1,344","96,177",6,"96,177",6,0,0,0,"1,257",0,0
01470,ALABAMA,MARSHALL,"4,067","478,991",10,"478,991",10,0,0,0,"3,738",0,0
01480,ALABAMA,MOBILE,"9,881","2,117,286",18,"2,117,286",18,0,0,0,"8,617",0,0
01490,ALABAMA,MONROE,"1,085","265,157",20,"265,157",20,0,0,0,993,0,0
01500,ALABAMA,MONTGOMERY,"5,955","1,309,184",18,"1,309,184",18,0,0,0,"5,092",0,0
01510,ALABAMA,MORGAN,"4,572","495,284",9,"495,285",9,0,0,0,"4,153",0,0
01520,ALABAMA,PERRY,621,"37,243",5,"37,243",5,0,0,0,586,0,0
