"DISABLED -- PUERTO RICO 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PART A AND/OR PART B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
STATE,CODE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
40010,PUERTO RICO              ,ADJUNTAS,240,"173,561",60.06,"149,404",51.70,"5,449","6,276","12,431",49,"60,910",102.03,1.021,,,,,,
40020,PUERTO RICO              ,AGUADA,625,"175,767",23.42,"161,785",21.56,"3,306","4,543","6,131",163,"299,290",152.31,0.847,,,,,,
40030,PUERTO RICO              ,AGUADILLA,"1,127","592,430",43.79,"543,491",40.18,"7,564","31,103","10,270",325,"468,535",120.11,0.904,,,,,,
40040,PUERTO RICO              ,AGUAS BUENAS,431,"217,514",42.05,"210,789",40.75,327,"6,194",203,95,"120,223",104.91,0.913,,,,,,
40050,PUERTO RICO              ,AIBONITO,620,"574,337",77.10,"530,713",71.25,"7,639","29,581","6,403",176,"184,701",87.12,0.936,,,,,,
40060,PUERTO RICO              ,ANASCO,293,"212,457",60.31,"188,870",53.61,"8,685","3,428","11,472",83,"169,337",169.85,0.966,,,,,,
40070,PUERTO RICO              ,ARECIBO,"2,411","1,420,982",49.10,"1,324,450",45.76,"21,630","55,774","19,127",620,"1,036,222",139.15,0.923,,,,,,
40080,PUERTO RICO              ,ARROYO,269,"139,487",43.06,"126,901",39.18,"2,156","7,438","2,991",70,"79,215",93.74,0.948,,,,,,
40090,PUERTO RICO              ,BARCELONETA,673,"334,368",41.40,"317,116",39.27,"5,142","9,523","2,585",222,"437,847",164.05,0.994,,,,,,
40100,PUERTO RICO              ,BARRANQUITAS,549,"425,027",64.49,"394,146",59.80,"4,844","19,014","7,021",140,"314,573",186.69,0.944,,,,,,
40110,PUERTO RICO              ,BAYAMON,"3,030","2,253,556",61.97,"2,032,431",55.89,"62,931","94,263","63,930",803,"1,495,570",155.13,1.009,,,,,,
40120,PUERTO RICO              ,CABO ROJO,325,"321,739",82.35,"285,446",73.06,"10,829","14,322","11,140",103,"316,997",255.23,0.922,,,,,,
40130,PUERTO RICO              ,CAGUAS,"2,276","1,729,031",63.29,"1,642,815",60.13,"17,552","58,513","10,149",668,"1,170,759",145.89,0.970,,,,,,
40140,PUERTO RICO              ,CAMUY,474,"345,932",60.74,"298,960",52.50,"14,941","24,231","7,799",103,"211,037",170.20,0.907,,,,,,
40145,PUERTO RICO              ,CANOVANAS,1,0,0.00,0,0.00,0,0,0,1,0,0.00,0.872,,,,,,
40150,PUERTO RICO              ,CAROLINA,"1,827","1,838,567",83.83,"1,624,597",74.08,"58,465","81,468","74,036",562,"1,220,347",180.95,0.965,,,,,,
40160,PUERTO RICO              ,CATANO,907,"533,275",48.98,"492,374",45.22,"13,150","12,644","15,106",249,"511,193",171.03,0.902,,,,,,
40170,PUERTO RICO              ,CAYEY,"1,174","892,370",63.31,"826,505",58.64,"18,570","33,353","13,942",322,"659,674",170.59,0.927,,,,,,
40180,PUERTO RICO              ,CEIBA,140,"58,641",34.80,"51,998",30.86,"2,016","2,386","2,239",43,"77,681",149.68,0.968,,,,,,
40190,PUERTO RICO              ,CIALES,386,"202,918",43.77,"193,004",41.63,"3,662","5,190","1,060",118,"322,026",226.46,1.079,,,,,,
40200,PUERTO RICO              ,CIDRA,791,"455,923",48.02,"433,837",45.70,"2,592","13,807","5,684",250,"480,187",159.90,0.904,,,,,,
40210,PUERTO RICO              ,COAMO,552,"378,767",57.10,"341,173",51.44,"6,479","19,085","12,028",131,"259,466",164.12,0.904,,,,,,
