"ESRD- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
1000,ALABAMA,AUTAUGA,67,"23,845",29.66,"23,844",29.66,0,0,0,67,0,0
1010,ALABAMA,BALDWIN,176,"33,792",16,"33,792",16,0,0,0,168,0,0
1020,ALABAMA,BARBOUR,75,"9,731",10.81,"9,731",10.81,0,0,0,75,0,0
1030,ALABAMA,BIBB,30,"10,563",29.34,"10,563",29.34,0,0,0,29,0,0
1040,ALABAMA,BLOUNT,29,697,2,697,2,0,0,0,27,0,0
1050,ALABAMA,BULLOCK,24,"71,098",246.87,"71,097",246.86,0,0,0,24,0,0
1060,ALABAMA,BUTLER,59,0,0,0,0,0,0,0,56,0,0
1070,ALABAMA,CALHOUN,221,"188,959",71.25,"188,959",71.25,0,0,0,210,0,0
1080,ALABAMA,CHAMBERS,88,"5,935",5.62,"5,935",5.62,0,0,0,87,0,0
1090,ALABAMA,CHEROKEE,43,"21,075",40.84,"21,075",40.84,0,0,0,42,0,0
1100,ALABAMA,CHILTON,51,"23,142",37.81,"23,142",37.81,0,0,0,49,0,0
1110,ALABAMA,CHOCTAW,31,"42,411",114.01,"42,412",114.01,0,0,0,31,0,0
1120,ALABAMA,CLARKE,85,"65,461",64.18,"65,461",64.18,0,0,0,85,0,0
1130,ALABAMA,CLAY,15,0,0,0,0,0,0,0,15,0,0
1140,ALABAMA,CLEBURNE,19,395,1.73,395,1.73,0,0,0,19,0,0
1150,ALABAMA,COFFEE,86,"48,782",47.27,"48,782",47.27,0,0,0,83,0,0
1160,ALABAMA,COLBERT,114,"19,950",14.58,"19,949",14.58,0,0,0,110,0,0
1170,ALABAMA,CONECUH,30,"3,971",11.03,"3,971",11.03,0,0,0,30,0,0
1180,ALABAMA,COOSA,28,"58,476",174.04,"58,476",174.04,0,0,0,25,0,0
1190,ALABAMA,COVINGTON,73,"23,740",27.1,"23,739",27.1,0,0,0,73,0,0
1200,ALABAMA,CRENSHAW,25,0,0,0,0,0,0,0,24,0,0
1210,ALABAMA,CULLMAN,70,"68,232",81.23,"68,232",81.23,0,0,0,68,0,0
1220,ALABAMA,DALE,87,"25,014",23.96,"25,013",23.96,0,0,0,83,0,0
1230,ALABAMA,DALLAS,156,"61,710",32.96,"61,711",32.97,0,0,0,152,0,0
1240,ALABAMA,DE KALB,67,"28,394",35.32,"28,395",35.32,0,0,0,66,0,0
1250,ALABAMA,ELMORE,91,"2,430",2.23,"2,430",2.23,0,0,0,86,0,0
1260,ALABAMA,ESCAMBIA,95,"7,264",6.37,"7,264",6.37,0,0,0,94,0,0
1270,ALABAMA,ETOWAH,194,"156,936",67.41,"156,935",67.41,0,0,0,187,0,0
1280,ALABAMA,FAYETTE,26,0,0,0,0,0,0,0,25,0,0
1290,ALABAMA,FRANKLIN,31,0,0,0,0,0,0,0,31,0,0
1300,ALABAMA,GENEVA,31,"40,615",109.18,"40,615",109.18,0,0,0,30,0,0
1310,ALABAMA,GREENE,36,"23,022",53.29,"23,022",53.29,0,0,0,35,0,0
1320,ALABAMA,HALE,55,"29,604",44.85,"29,604",44.85,0,0,0,53,0,0
1330,ALABAMA,HENRY,32,264,0.69,264,0.69,0,0,0,32,0,0
1340,ALABAMA,HOUSTON,165,"39,291",19.84,"39,291",19.84,0,0,0,161,0,0
1350,ALABAMA,JACKSON,79,"21,902",23.1,"21,902",23.1,0,0,0,76,0,0
1360,ALABAMA,JEFFERSON,1308,"370,404",23.6,"370,404",23.6,0,0,0,"1,242",0,0
1370,ALABAMA,LAMAR,24,0,0,0,0,0,0,0,24,0,0
1380,ALABAMA,LAUDERDALE,127,"61,119",40.1,"61,118",40.1,0,0,0,125,0,0
1390,ALABAMA,LAWRENCE,52,"57,277",91.79,"57,277",91.79,0,0,0,51,0,0
1400,ALABAMA,LEE,201,"81,767",33.9,"81,767",33.9,0,0,0,197,0,0
1410,ALABAMA,LIMESTONE,106,"103,163",81.1,"103,162",81.1,0,0,0,103,0,0
1420,ALABAMA,LOWNDES,41,0,0,0,0,0,0,0,40,0,0
1430,ALABAMA,MACON,81,"109,154",112.3,"109,153",112.3,0,0,0,73,0,0
1440,ALABAMA,MADISON,521,"192,071",30.72,"192,071",30.72,0,0,0,502,0,0
1450,ALABAMA,MARENGO,48,"30,711",53.32,"30,712",53.32,0,0,0,48,0,0
1460,ALABAMA,MARION,35,649,1.55,649,1.55,0,0,0,35,0,0
1470,ALABAMA,MARSHALL,115,"36,313",26.31,"36,312",26.31,0,0,0,111,0,0
1480,ALABAMA,MOBILE,750,"114,559",12.73,"114,559",12.73,0,0,0,718,0,0
1490,ALABAMA,MONROE,31,"2,513",6.76,"2,513",6.76,0,0,0,30,0,0
1500,ALABAMA,MONTGOMERY,509,"70,932",11.61,"70,933",11.61,0,0,0,483,0,0
1510,ALABAMA,MORGAN,173,"84,740",40.82,"84,740",40.82,0,0,0,162,0,0
1520,ALABAMA,PERRY,35,0,0,0,0,0,0,0,33,0,0
1530,ALABAMA,PICKENS,54,0,0,0,0,0,0,0,52,0,0
1540,ALABAMA,PIKE,80,"6,833",7.12,"6,834",7.12,0,0,0,79,0,0
1550,ALABAMA,RANDOLPH,44,"2,139",4.05,"2,139",4.05,0,0,0,42,0,0
1560,ALABAMA,RUSSELL,146,"69,386",39.6,"69,385",39.6,0,0,0,141,0,0
1570,ALABAMA,ST. CLAIR,92,"8,468",7.67,"8,468",7.67,0,0,0,88,0,0
1580,ALABAMA,SHELBY,94,"94,058",83.38,"94,058",83.38,0,0,0,85,0,0
1590,ALABAMA,SUMTER,39,"23,033",49.22,"23,033",49.22,0,0,0,36,0,0
1600,ALABAMA,TALLADEGA,183,"415,179",189.06,"415,179",189.06,0,0,0,178,0,0
1610,ALABAMA,TALLAPOOSA,98,"150,699",128.15,"150,699",128.15,0,0,0,96,0,0
1620,ALABAMA,TUSCALOOSA,331,"83,192",20.94,"83,192",20.94,0,0,0,323,0,0
1630,ALABAMA,WALKER,79,"69,619",73.44,"69,620",73.44,0,0,0,77,0,0
1640,ALABAMA,WASHINGTON,35,"38,763",92.29,"38,763",92.29,0,0,0,32,0,0
1650,ALABAMA,WILCOX,43,"10,192",19.75,"10,192",19.75,0,0,0,43,0,0
1660,ALABAMA,WINSTON,28,778,2.32,778,2.32,0,0,0,26,0,0
2010,ALASKA,ALEUTIANS ISLANDS,2,0,0,0,0,0,0,0,1,0,0
2020,ALASKA,ANCHORAGE,349,"22,936",5.48,"22,936",5.48,0,0,0,322,0,0
2040,ALASKA,BARROW DIVISION,1,0,0,0,0,0,0,0,1,0,0
2050,ALASKA,BETHEL,4,0,0,0,0,0,0,0,4,0,0
2060,ALASKA,BRISTOL BAY BOROUGH,2,0,0,0,0,0,0,0,2,0,0
2070,ALASKA,DILLINGHAM,2,0,0,0,0,0,0,0,1,0,0
2080,ALASKA,CORDOVA-MC CARTHY,1,0,0,0,0,0,0,0,1,0,0
2090,ALASKA,FAIRBANKS NORTH STAR,56,0,0,0,0,0,0,0,53,0,0
2100,ALASKA,HAINES,1,0,0,0,0,0,0,0,1,0,0
2110,ALASKA,JUNEAU,18,0,0,0,0,0,0,0,17,0,0
2120,ALASKA,KENAI-COOK INLET DIVISION,41,0,0,0,0,0,0,0,40,0,0
2130,ALASKA,KETCHIKAN GATEWAY,7,0,0,0,0,0,0,0,7,0,0
2140,ALASKA,KOBUK,1,0,0,0,0,0,0,0,1,0,0
2150,ALASKA,KODIAK ISLAND BOROUGH,7,0,0,0,0,0,0,0,7,0,0
2160,ALASKA,KUSKOKWIN,1,0,0,0,0,0,0,0,1,0,0
2170,ALASKA,MATANUSKA-SUSITNA,45,528,0.98,528,0.98,0,0,0,42,0,0
2180,ALASKA,NOME,1,0,0,0,0,0,0,0,1,0,0
2190,ALASKA,OUTER KETCHIKAN DIVISION,1,0,0,0,0,0,0,0,1,0,0
2200,ALASKA,PRINCE OF WALES,1,0,0,0,0,0,0,0,1,0,0
2210,ALASKA,SEWARD,3,0,0,0,0,0,0,0,3,0,0
2220,ALASKA,SITKA BOROUGH,3,0,0,0,0,0,0,0,3,0,0
2230,ALASKA,SKAGWAY-YAKUTAT,1,0,0,0,0,0,0,0,1,0,0
2240,ALASKA,SOUTHEAST FAIRBANKS,3,0,0,0,0,0,0,0,3,0,0
2250,ALASKA,UPPER YUKON,1,0,0,0,0,0,0,0,1,0,0
2260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,4,0,0,0,0,0,0,0,4,0,0
2270,ALASKA,WADE HAMPTON,1,0,0,0,0,0,0,0,1,0,0
2280,ALASKA,WRANGELL-PETERSBURG CENSUS AREA,2,0,0,0,0,0,0,0,2,0,0
2290,ALASKA,YUKON-KOYUKUK,1,0,0,0,0,0,0,0,1,0,0
3000,ARIZONA,APACHE,187,0,0,0,0,0,0,0,170,0,0
3010,ARIZONA,COCHISE,128,"34,389",22.39,"34,389",22.39,0,0,0,125,0,0
3020,ARIZONA,COCONINO,180,"86,661",40.12,"86,662",40.12,0,0,0,167,0,0
3030,ARIZONA,GILA,119,"39,671",27.78,"39,671",27.78,0,0,0,112,0,0
3040,ARIZONA,GRAHAM,46,"1,353",2.45,"1,353",2.45,0,0,0,43,0,0
3050,ARIZONA,GREENLEE,10,0,0,0,0,0,0,0,9,0,0
3055,ARIZONA,LAPAZ,46,"15,552",28.17,"15,552",28.17,0,0,0,40,0,0
3060,ARIZONA,MARICOPA,3349,"1,572,342",39.12,"1,572,342",39.12,0,0,0,"3,100",0,0
3070,ARIZONA,MOHAVE,300,"69,913",19.42,"69,914",19.42,0,0,0,283,0,0
3080,ARIZONA,NAVAJO,259,"13,808",4.44,"13,808",4.44,0,0,0,248,0,0
3090,ARIZONA,PIMA,974,"288,967",24.72,"288,967",24.72,0,0,0,910,0,0
3100,ARIZONA,PINAL,524,"269,226",42.82,"269,225",42.82,0,0,0,487,0,0
3110,ARIZONA,SANTA CRUZ,47,"11,257",19.96,"11,257",19.96,0,0,0,45,0,0
3120,ARIZONA,YAVAPAI,179,"237,356",110.5,"237,355",110.5,0,0,0,170,0,0
3130,ARIZONA,YUMA,220,"177,000",67.05,"177,000",67.05,0,0,0,212,0,0
4000,ARKANSAS,ARKANSAS,40,0,0,0,0,0,0,0,35,0,0
4010,ARKANSAS,ASHLEY,55,"8,823",13.37,"8,824",13.37,0,0,0,55,0,0
4020,ARKANSAS,BAXTER,44,"11,659",22.08,"11,658",22.08,0,0,0,44,0,0
4030,ARKANSAS,BENTON,169,"37,570",18.53,"37,570",18.53,0,0,0,166,0,0
4040,ARKANSAS,BOONE,49,"4,411",7.5,"4,410",7.5,0,0,0,46,0,0
4050,ARKANSAS,BRADLEY,30,"4,740",13.17,"4,739",13.16,0,0,0,30,0,0
4060,ARKANSAS,CALHOUN,6,"2,039",28.32,"2,039",28.32,0,0,0,5,0,0
4070,ARKANSAS,CARROLL,12,0,0,0,0,0,0,0,11,0,0
4080,ARKANSAS,CHICOT,29,0,0,0,0,0,0,0,28,0,0
4090,ARKANSAS,CLARK,47,"8,715",15.45,"8,715",15.45,0,0,0,45,0,0
4100,ARKANSAS,CLAY,15,"9,353",51.96,"9,353",51.96,0,0,0,15,0,0
4110,ARKANSAS,CLEBURNE,15,389,2.16,389,2.16,0,0,0,15,0,0
4120,ARKANSAS,CLEVELAND,7,0,0,0,0,0,0,0,7,0,0
4130,ARKANSAS,COLUMBIA,43,519,1.01,518,1,0,0,0,43,0,0
4140,ARKANSAS,CONWAY,24,"2,853",9.91,"2,854",9.91,0,0,0,24,0,0
4150,ARKANSAS,CRAIGHEAD,111,"16,882",12.67,"16,883",12.67,0,0,0,108,0,0
4160,ARKANSAS,CRAWFORD,39,649,1.39,649,1.39,0,0,0,35,0,0
4170,ARKANSAS,CRITTENDEN,150,"62,177",34.54,"62,177",34.54,0,0,0,147,0,0
4180,ARKANSAS,CROSS,23,"1,686",6.11,"1,686",6.11,0,0,0,23,0,0
4190,ARKANSAS,DALLAS,13,778,4.99,778,4.99,0,0,0,12,0,0
4200,ARKANSAS,DESHA,32,"1,168",3.04,"1,167",3.04,0,0,0,32,0,0
4210,ARKANSAS,DREW,30,"2,916",8.1,"2,917",8.1,0,0,0,30,0,0
4220,ARKANSAS,FAULKNER,125,"4,615",3.08,"4,615",3.08,0,0,0,122,0,0
4230,ARKANSAS,FRANKLIN,13,0,0,0,0,0,0,0,13,0,0
4240,ARKANSAS,FULTON,14,"2,266",13.49,"2,266",13.49,0,0,0,14,0,0
4250,ARKANSAS,GARLAND,127,"54,089",35.49,"54,089",35.49,0,0,0,124,0,0
4260,ARKANSAS,GRANT,8,0,0,0,0,0,0,0,8,0,0
4270,ARKANSAS,GREENE,36,"1,690",3.91,"1,690",3.91,0,0,0,36,0,0
4280,ARKANSAS,HEMPSTEAD,42,0,0,0,0,0,0,0,41,0,0
4290,ARKANSAS,HOT SPRING,36,0,0,0,0,0,0,0,35,0,0
4300,ARKANSAS,HOWARD,27,0,0,0,0,0,0,0,26,0,0
4310,ARKANSAS,INDEPENDENCE,38,0,0,0,0,0,0,0,37,0,0
4320,ARKANSAS,IZARD,7,"4,340",51.67,"4,340",51.67,0,0,0,7,0,0
4330,ARKANSAS,JACKSON,29,"7,658",22.01,"7,658",22.01,0,0,0,25,0,0
4340,ARKANSAS,JEFFERSON,171,"26,254",12.79,"26,254",12.79,0,0,0,163,0,0
4350,ARKANSAS,JOHNSON,24,"5,541",19.24,"5,540",19.24,0,0,0,23,0,0
4360,ARKANSAS,LAFAYETTE,17,0,0,0,0,0,0,0,15,0,0
4370,ARKANSAS,LAWRENCE,20,0,0,0,0,0,0,0,20,0,0
4380,ARKANSAS,LEE,23,0,0,0,0,0,0,0,23,0,0
4390,ARKANSAS,LINCOLN,15,396,2.2,396,2.2,0,0,0,15,0,0
4400,ARKANSAS,LITTLE RIVER,17,"2,383",11.68,"2,384",11.69,0,0,0,16,0,0
4410,ARKANSAS,LOGAN,19,"5,320",23.33,"5,320",23.33,0,0,0,19,0,0
4420,ARKANSAS,LONOKE,64,"4,225",5.5,"4,225",5.5,0,0,0,59,0,0
4430,ARKANSAS,MADISON,21,0,0,0,0,0,0,0,20,0,0
4440,ARKANSAS,MARION,13,"6,408",41.08,"6,408",41.08,0,0,0,12,0,0
4450,ARKANSAS,MILLER,63,"62,036",82.06,"62,035",82.06,0,0,0,62,0,0
4460,ARKANSAS,MISSISSIPPI,91,"28,283",25.9,"28,283",25.9,0,0,0,90,0,0
4470,ARKANSAS,MONROE,20,0,0,0,0,0,0,0,20,0,0
4480,ARKANSAS,MONTGOMERY,5,"17,760",296,"17,760",296,0,0,0,5,0,0
4490,ARKANSAS,NEVADA,16,0,0,0,0,0,0,0,16,0,0
4500,ARKANSAS,NEWTON,1,0,0,0,0,0,0,0,1,0,0
4510,ARKANSAS,OUACHITA,50,396,0.66,396,0.66,0,0,0,49,0,0
4520,ARKANSAS,PERRY,8,"1,241",12.93,"1,241",12.93,0,0,0,8,0,0
4530,ARKANSAS,PHILLIPS,60,"37,918",52.66,"37,918",52.66,0,0,0,60,0,0
4540,ARKANSAS,PIKE,17,264,1.29,263,1.29,0,0,0,17,0,0
4550,ARKANSAS,POINSETT,41,"6,287",12.78,"6,287",12.78,0,0,0,40,0,0
4560,ARKANSAS,POLK,21,"47,787",189.63,"47,787",189.63,0,0,0,21,0,0
4570,ARKANSAS,POPE,53,"20,561",32.33,"20,562",32.33,0,0,0,48,0,0
4580,ARKANSAS,PRAIRIE,10,0,0,0,0,0,0,0,10,0,0
4590,ARKANSAS,PULASKI,649,"80,332",10.31,"80,331",10.31,0,0,0,619,0,0
4600,ARKANSAS,RANDOLPH,17,0,0,0,0,0,0,0,17,0,0
4610,ARKANSAS,ST. FRANCIS,82,"44,375",45.1,"44,375",45.1,0,0,0,79,0,0
4620,ARKANSAS,SALINE,48,"16,359",28.4,"16,359",28.4,0,0,0,46,0,0
4630,ARKANSAS,SCOTT,9,"30,442",281.87,"30,442",281.87,0,0,0,9,0,0
4640,ARKANSAS,SEARCY,7,"42,294",503.5,"42,294",503.5,0,0,0,7,0,0
4650,ARKANSAS,SEBASTIAN,139,"56,322",33.77,"56,322",33.77,0,0,0,131,0,0
4660,ARKANSAS,SEVIER,10,"1,994",16.62,"1,994",16.62,0,0,0,10,0,0
4670,ARKANSAS,SHARP,22,0,0,0,0,0,0,0,21,0,0
4680,ARKANSAS,STONE,11,779,5.9,778,5.89,0,0,0,11,0,0
4690,ARKANSAS,UNION,107,"15,415",12.01,"15,415",12.01,0,0,0,107,0,0
4700,ARKANSAS,VAN BUREN,10,"3,359",27.99,"3,360",28,0,0,0,10,0,0
4710,ARKANSAS,WASHINGTON,194,"51,720",22.22,"51,721",22.22,0,0,0,184,0,0
4720,ARKANSAS,WHITE,66,"1,316",1.66,"1,316",1.66,0,0,0,64,0,0
4730,ARKANSAS,WOODRUFF,16,"12,656",65.92,"12,656",65.92,0,0,0,16,0,0
4740,ARKANSAS,YELL,25,"28,275",94.25,"28,274",94.25,0,0,0,24,0,0
5000,CALIFORNIA,ALAMEDA,1523,"204,664",11.2,"204,664",11.2,0,0,0,"1,363",0,0
5010,CALIFORNIA,ALPINE,4,"16,742",348.79,"16,742",348.79,0,0,0,3,0,0
5020,CALIFORNIA,AMADOR,19,"1,059",4.64,"1,059",4.64,0,0,0,19,0,0
5030,CALIFORNIA,BUTTE,277,"6,094",1.83,"6,094",1.83,0,0,0,265,0,0
5040,CALIFORNIA,CALAVERAS,45,"1,791",3.32,"1,791",3.32,0,0,0,43,0,0
5050,CALIFORNIA,COLUSA,33,189,0.48,189,0.48,0,0,0,33,0,0
5060,CALIFORNIA,CONTRA COSTA,987,"144,427",12.19,"144,427",12.19,0,0,0,902,0,0
5070,CALIFORNIA,DEL NORTE,20,0,0,0,0,0,0,0,20,0,0
5080,CALIFORNIA,EL DORADO,107,"16,636",12.96,"16,635",12.96,0,0,0,98,0,0
