contractid,contract_name,breastcancer_screen,rectalcancer_screen,cv_cholscreen,diabetes_cholscreen,glaucoma_test,monitoring,flu_vaccine,pn_vaccine,primaryaccess,hospital_followup,depression_followup,nodelays,carequickly,overallrating_care,overallrating_plan,calltime,doctor_communicate,osteo_manage,diabetes_eye,diabetes_kidney,diabetes_bloodsugar,diabetes_chol,antidepressant,bloodpressure,ra_manage,copd_test,betablocker,appeals_timely,appeals_review,new_contract,year,org_type,org_marketing,physical_health,mental_health,osteo_test,physical_monitor,customer_service,bladder,falling,partc_score,cv_diab_cholscreen,diab_healthy,complaints_plan,leave_plan,audit_problems,hold_times,info_accuracy,ttyt_available,diab_cholscreen,corrective_action,low_score,partcd_score,org_parent,bmi_assess,older_medication,older_function,older_pain,readmissions,access_problems,coordination,improve,enroll_timely,specialneeds_manage
H0097,QCC INSURANCE COMPANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0104,BLUE CROSS AND BLUE SHIELD OF ALABAMA,,,,2.0,,1.0,3.0,3.0,4.0,,,4.0,4.0,3.0,3.0,4.0,4.0,,3.0,3.0,,,,,,,,,,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0117,"WELLCARE OF OHIO, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0141,COMMUNITY CHOICE MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150,"HEALTHSPRING OF ALABAMA, INC.",2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,,1.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0151,"UNITED HEALTHCARE OF ALABAMA, INC.",1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,5.0,2.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0154,"VIVA HEALTH, INC.",2.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,5.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,1.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0245,"UNISON HEALTH PLAN OF TENNESSEE, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0251,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0302,"SUN HEALTH MEDISUN, INC.",5.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,5.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,0.0,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
